	2410163_BL	2450523_BL	2463247_BL	2247707_BL	2620771_BL	2430935_BL	2264225_BL	2297941_BL	2263055_BL	2150901_BL	2370233_BL	2502699_BL	2512641_BL	4128869_BL	4235533_BL	4259035_BL
A1BG	0.210663114522101	0.00724705281203632	0.0331895974668624	0.341802020554168	0.000909486368992036	0.00310176298559784	0.000101869992621688	0.0252580832986746	0.0192571774738038	0.0015003278185178	0.0414894098473807	0.00503694105330355	0.0649137972454916	0.00175813922097544	0.0031730476927981	0.00970922931459862
A1CF	0	0	0	0	0	0	0	1.26110339714833e-05	0	0	0	0	0	0	0	0
A2ML1	0.00471946143557809	0.0069246972235111	0.00123001238862847	0.0240463733053184	0.000272162653950034	0.000973177125150927	0.00105133300300224	9.70770932791903e-06	0.0121667278255704	0.000165666909541625	0.00360173801243735	0.000412403256014774	0.000220121430839543	0.00453483869652467	0.000823111886477442	0.000768026675883484
A2M	0.0315526091836587	0.00210011943554513	0.0848677401495695	0.730837988672354	0.0547874284695004	0.0464842087441814	0.0354824888513257	0.0293506221707203	0.0575339077204424	0.443417106463752	2.91048767606886	0.0908423803434094	0.00306475335174554	0.324071248689303	0.0244102764755741	0.0251259109965627
A4GALT	0.000147424266127547	0.00214259668589128	0.0101963967197293	0.418801739807937	0.000142475713351187	0.000233406835355589	0.000136533323926691	0.000520064484905178	0.0268492884858806	0.001207817442867	0.237443673510632	0.00721837370910974	0.00143835597464214	0.0149139777786726	9.40693692957321e-05	4.27357802930717e-05
A4GNT	5.74536890513488e-06	0	0.000950312331597987	0.000111124021915965	0.000167554247072734	3.54482665680099e-05	0	0	0.00178223409128204	0	0	0	0.00033516568764327	0	7.13180032686088e-05	0
AAAS	0.0973249759299896	0.0466359800072024	1.47580432272208	0.165311264513062	0.20151626693206	0.126974144165169	1.36473954662659	0.290427724385249	0.399862622243413	0.111708356208	0.0302042216371543	5.12121542278875	0.188777053505339	0.550687811514668	0.134688709858443	0.235865559817787
AACS	0.307793101963854	0.00368162693152466	0.0998416446197432	0.188778490316931	0.0125979428949923	0.0337932287228043	0.0991144680777463	0.458851249444612	0.0868075591822052	0.0147051815095092	0.0868973544420575	0.0129733324624807	0.00943028547490832	0.43827959393137	0.0185668920749302	0.0925952886148314
AADACL2	0	0	0	0	0	0	0	0	0.00080959367955533	5.88028326805275e-05	0	0	0.000158411401420793	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	5.08258502016665e-05	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	5.12173648328521e-05	0	0	0	0	0	3.68533766632974e-05	0	0	0
AADAT	0.0011103924469628	0.00348215077041977	0.0130504831651112	0.00788401129620035	0.0015787805173135	0.015301607404397	0.000394350496442643	0.00659348572213291	0.00950819475515146	0.0505183831650753	4.85100018768144e-05	0.00204156941614794	0.306393716346011	0.00609488919459932	0	0.000518234318848972
AAGAB	0.0204471960389181	0.0292890499284384	0.104790372190244	1.11927502088586	0.0324065943590411	1.15323322055668	0.00710489121164307	0.0245647723253905	0.251565340519152	0.0903792537962483	0.031895749738899	0.030587429935809	3.20310277453849	0.073252675645093	0.0813191064252464	0.0283986713574848
AAK1	0.0280432641420882	0.444031646553342	0.951401984133711	1.99256791377205	0.128543680082972	0.175751449633007	0.0216162694005108	3.28974213841716	0.167048331147778	0.41079327812176	0.179576149409313	1.40717762628666	0.0546798961748053	0.0393496348683465	0.0277584342442055	0.0942075073125776
AAMP	0.0312850958018611	0.372135475440618	0.102114680434766	2.05066668155098	0.103230227418593	0.581746154790377	0.254348659551672	0.0831329850628523	0.855148257665693	0.140792468231004	0.00643917077498814	0.307338164618764	0.0797981852832229	0.0377000880664316	0.268479116810567	0.0853302235108877
AANAT	8.73109184584738e-05	0.0136136188419307	0.000751880144187644	0.00147228990925488	0.000120749165957028	0.00135683231591012	0.000873552213711592	0.00142065296867238	0.000534839587608678	0.000393597599581742	9.13527866935254e-05	0.000580113505070561	0.00102949624679756	0.00152049766618936	0.000233696549247643	3.28511806617554e-05
