ID,NAME,EQUATION,GENE ASSOCIATION,SUBSYSTEM
MAR03905,NA,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,Glycolysis / Gluconeogenesis
MAR03907,NA,ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c],ENSG00000117448,Glycolysis / Gluconeogenesis
MAR04097,NA,acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c],ENSG00000131069,Glycolysis / Gluconeogenesis
MAR04099,NA,acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m],ENSG00000111058 or ENSG00000154930,Glycolysis / Gluconeogenesis
MAR04108,NA,acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c],ENSG00000131069,Glycolysis / Gluconeogenesis
MAR04133,NA,acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c],ENSG00000131069,Glycolysis / Gluconeogenesis
MAR04137,NA,CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m],ENSG00000091140 and ENSG00000110435 and (ENSG00000131828 or ENSG00000163114) and ENSG00000150768 and ENSG00000168291,Glycolysis / Gluconeogenesis
MAR04281,NA,H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x],ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,Glycolysis / Gluconeogenesis
MAR04388,NA,H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c],ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,Glycolysis / Gluconeogenesis
MAR04283,NA,acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,Glycolysis / Gluconeogenesis
MAR08357,NA,acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m],ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,Glycolysis / Gluconeogenesis
MAR04379,NA,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]",ENSG00000067057 or ENSG00000141959 or ENSG00000152556,Glycolysis / Gluconeogenesis
MAR04301,NA,"fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]",ENSG00000067057 or ENSG00000141959 or ENSG00000152556 or ENSG00000160226,Glycolysis / Gluconeogenesis
MAR04355,NA,"DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]",ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,Glycolysis / Gluconeogenesis
MAR04358,NA,ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c],ENSG00000067225 or ENSG00000121900 or ENSG00000143627 or ENSG00000143630,Glycolysis / Gluconeogenesis
MAR04360,NA,H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c],ENSG00000180011,Glycolysis / Gluconeogenesis
MAR04363,NA,2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c],ENSG00000074800 or ENSG00000108515 or ENSG00000111674,Glycolysis / Gluconeogenesis
MAR04365,NA,2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c],ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,Glycolysis / Gluconeogenesis
MAR04368,NA,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]",ENSG00000096006 or ENSG00000102144 or ENSG00000154305 or ENSG00000170950,Glycolysis / Gluconeogenesis
MAR04370,NA,"1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]",ENSG00000119640 or ENSG00000170634,Glycolysis / Gluconeogenesis
MAR04371,NA,"1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]",ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,Glycolysis / Gluconeogenesis
MAR04372,NA,"2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]",ENSG00000172331,Glycolysis / Gluconeogenesis
MAR04373,NA,"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]",ENSG00000105679 or ENSG00000111640,Glycolysis / Gluconeogenesis
MAR04375,NA,"DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]",ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,Glycolysis / Gluconeogenesis
MAR04377,NA,"fructose-1,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]",ENSG00000130957 or ENSG00000165140,Glycolysis / Gluconeogenesis
MAR04381,NA,fructose-6-phosphate[c] <=> glucose-6-phosphate[c],ENSG00000105220,Glycolysis / Gluconeogenesis
MAR04391,NA,DHAP[c] <=> GAP[c],ENSG00000111669,Glycolysis / Gluconeogenesis
MAR04394,NA,ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c],ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,Glycolysis / Gluconeogenesis
MAR04396,NA,glucose-1-phosphate[c] <=> glucose-6-phosphate[c],ENSG00000079739 or ENSG00000154330 or ENSG00000169299,Glycolysis / Gluconeogenesis
