	IDH2_2	IDH1_13	IDH2_14	IDH2_18	IDH2_19	IDH1_24	IDH2_30	IDH1_31	IDH2_32	IDH2_35	IDH2_39	IDH2_44	IDH1_46	IDH2_52	IDH2_54	IDH1_58	IDH2_59	IDH1_64	IDH2_66	IDH1_68	IDH1_81	IDH1_82	IDH2_84	IDH2_95	IDH1_112	IDH2_113	IDH1_115	IDH2_117	IDH2_129	IDH1_133	IDH2_142	IDH2_143	IDH2_149	IDH2_156	IDH1_158	IDH1_160	IDH2_163	IDH2_175
A0A096LPI6	28.2724301371381	29.4163562381419	29.28343702526	27.3696572062874	29.2534334589629	29.3688972230552	28.8554139323104	28.2045643561031	28.6097634525576	29.0978912628722	28.6711646680977	30.2104344419998	30.8451344804274	27.5209759546873	29.4458741121397	28.7406859533865	28.4483292081801	29.6429432263148	28.3444355433162	29.3657580427076	28.0896772003874	29.1905269444014	29.2798037565588	29.3943565069864	30.1671208559897	28.6855402377319	30.2792317977616	30.4260559039119	29.7054041174432	29.3001137175815	28.5779013369698	28.3842922933211	28.6691180031674	29.7416439583088	28.7249286254304	27.4440387741454	27.6775638474816	28.1866753035714
A0A0A6YYC8	18.9029439210333	20.4311649617831	20.2769515700978	22.6870874851237	21.1052217105763	21.929250717051	21.3082000840568	21.7968343319949	22.9315898836764	22.1022197287504	22.5388018464438	21.6283321600655	20.4530270001938	23.0024695135736	21.9833608897368	21.3743427824092	22.1500564568241	21.3211464106084	21.7434853723816	20.3779122074736	21.8410043045371	20.1230299159599	18.0174193468136	21.791122810295	20.6264487080377	22.1376812443021	20.5566358051532	18.7346861237546	22.9830944396691	20.6665360765889	23.033393463627	23.4526124194471	22.0640417244159	22.0845833096418	22.8601280260598	23.8622597961305	19.1295957302158	20.1763707741433
A1BG	26.7417306987549	25.2859203360768	24.6646921327052	26.0708132879255	26.4434530469723	26.2247165048426	27.6006299204973	27.1272606882201	26.9663318236793	28.0593960915891	27.1552239999828	25.7579024451058	30.1593782466417	23.1887935781044	28.8045528856134	26.4306426539151	24.9783446688836	27.3317169169098	30.518548116035	27.7997558566738	29.1423973447737	31.7588559370432	33.0976220702137	31.1106298084791	28.1097944468309	23.1448987870987	25.2656356994659	27.2568877075911	23.5836451043399	26.8989065184763	24.9281569955785	21.3572709959608	26.1368708134983	23.6540912446249	22.564779497289	25.0298184657714	25.5591825841923	26.7194833008882
A2M	29.1861610412852	26.7837840353294	26.8964115184067	28.4056853690506	28.374038696789	27.9210517608702	29.3690566477181	29.4915781751298	28.4565925200664	28.6907627223333	29.6487059739033	28.8639671603381	32.4272227161671	26.9527128050315	31.6045209940203	29.0155337856263	28.5566034709989	29.5477253536161	32.4275077671889	29.7599744626305	30.8231514943597	34.3677390872843	38.3655364503173	33.8538134400766	29.6477939221209	25.0871414128458	26.7096147389413	30.8833613779729	27.1432210056756	30.6811335454724	27.2880165548118	26.2917929790653	28.8676184138433	26.0408859202716	25.280422080556	27.6575864940978	28.0820811099965	31.6014334767027
AAAS	21.9801445702019	23.6471918930319	22.8526383074479	22.3279862624961	24.3453560759579	23.1392967556458	21.8965744025825	22.5831464101306	22.6600602500307	23.0660121508162	23.0001612935697	22.2019909891741	23.3695360140035	22.6040404241313	23.424021730618	23.7271187089917	23.0953391015153	23.0510387532867	23.0655134000506	23.2754353545452	22.2648103997486	23.3381768032337	23.7737148521549	23.1906668425109	24.8979080503494	23.6744832827082	25.0928296874683	23.5445592553261	23.8457106585174	21.7095901642008	22.8763705353767	21.6375866424055	24.4075699757863	23.5893286642394	22.4573708514948	21.8849741078405	23.0571742825803	23.6864333816753
AAK1	20.367658749951	20.2761906604908	21.3817241515592	21.1135977118279	20.4967362231809	19.5156219136475	21.5599647956423	20.7671684543622	22.3505588829087	19.4150415186401	20.9443641411541	21.8126653054398	18.9695778935975	23.067794745025	21.1558887220846	21.7202289184623	20.3344680287166	19.3086878172229	20.9202835820503	20.1489132236333	21.3707434290089	20.8067086688867	21.3921283056061	20.9906146129569	19.959490790635	20.7034403963528	21.4053877246586	20.2677227281038	21.507967614261	20.6658868638205	21.423417932747	22.9459523480373	20.9751387884041	20.8582636709853	21.5702432439018	23.5547060673138	23.5085214261224	22.6182619734011
AAMDC	22.4858813167855	23.5544554558035	24.2065354685701	22.1045560815136	22.2900638668068	23.4385549879773	22.18263197529	22.7904039797047	21.2766744022726	21.6947305144513	22.0455732658647	23.2847191904108	22.3250680852512	22.2184080397017	21.2200165166521	22.1602509059334	21.8158128697509	23.4384456526166	22.7445281804032	22.8605595416368	22.339484295065	23.4264120319345	22.7934179988213	22.9447594727914	19.8107633588699	21.8362589694091	21.8626210639675	22.1358829635013	20.914890109902	24.3568634294796	21.5930211617539	22.8810887789989	22.2833890784327	23.6820939553686	22.8609792161339	21.2744255665365	24.7217269668571	21.4097596184998
AARS	27.5703714493903	24.9139647006348	24.2512157339864	25.0444223280354	22.8636072803122	24.2689702535128	25.0426306243483	24.6737557938827	24.4106264126453	24.8800280413292	24.5059598155472	26.3396115125427	25.0910030176434	25.1964768509062	26.5289034359168	24.3185082601529	24.4240179533228	25.0495609125788	24.6797448813013	24.9209444642823	24.6654405208375	25.2457803210492	25.0038576326697	24.2230738407215	24.3974515676154	25.1826622515031	23.2051642151179	25.0209989332214	23.1150433281088	25.5356606934891	25.6811428182697	24.4377134472668	24.5511037054044	24.6533739646967	23.1786173832865	24.4998155886001	24.8378639176487	24.6787767386003
AARS2	21.6684070257666	24.6998254757157	22.5735056709367	22.1619464902402	24.5967456868328	24.1723818205253	23.4237680920163	22.2506052032057	22.1534434594721	23.6031707953904	23.9693638220389	22.3037009895568	23.5091167592095	21.8314483758345	23.8978893437484	22.9856311657764	22.6702490077174	23.1143586386313	22.8834597128408	23.0515146572489	22.1259942829143	22.7895631600349	22.059230492513	23.1653619714938	23.7934384348464	23.178181761692	25.7369930232252	24.2145756862157	23.7694930795072	22.6453798755228	22.7929250542116	22.4394365461316	22.8378889173983	24.1461223883201	23.8156970863926	21.8403515502258	22.2610807320674	21.9334002105408
AASDHPPT	23.8406873757834	24.7100397566052	23.973698915921	23.9356390543602	23.0665656186644	24.1343090983963	23.36285750739	23.6931559745905	23.2895513772217	24.3588400308577	24.6169030641916	23.9585010553571	22.9989365119	23.3632298354982	24.0972409444984	23.3272757784093	22.7329485341944	23.3543509586832	22.7086050738851	23.2226615699495	22.9783096591707	22.8032543359729	19.5925811990567	23.1590718211155	22.416313883566	23.087046715959	23.0943652359777	23.5721435845079	21.8148432764084	24.4850036030113	24.0581686050712	22.8432468880764	23.1041815680456	24.0298123141236	22.8446046274199	21.6537389466869	21.4356716183237	23.3307802001954
