"source"	"target"
267	265
273	267
269	267
265	267
267	269
267	273
278	276
276	278
278	282
1198	1191
1202	1198
1225	1198
1252	1198
1191	1198
1205	1198
1203	1198
1198	1202
1244	1238
1245	1238
1247	1245
1245	1247
1198	1252
1245	1252
1244	1252
1244	1255
1245	1255
1245	1297
2385	2372
2375	2372
2372	2375
2372	2385
2372	2390
5690	5698
5747	5698
5704	5698
7068	6989
6989	7068
8370	8354
8370	8357
8357	8370
8483	8401
640403	8987
9776	9785
9776	9802
9776	9811
16728	16657
16657	16728
181672	31716
36345	36303
36345	36309
36345	36352
36345	36436
36625	36535
36625	36575
36625	36580
36646	36580
36625	36581
36646	36610
36535	36625
36577	36625
36580	36625
36673	36625
36646	36625
36581	36625
36610	36625
36575	36625
36599	36625
36625	36646
36580	36646
36610	36646
228396	37066
37170	37163
37227	37170
37184	37170
37179	37170
37163	37170
37231	37170
37180	37170
37170	37179
37170	37180
37170	37184
37170	37219
37170	37227
37170	37231
37431	37338
37431	37339
37433	37431
37431	37433
37477	37455
37431	37458
37477	37458
37477	37470
37477	37473
37477	37480
37493	37488
37493	37496
37488	37498
37496	37498
37746	37701
37748	37746
37746	37748
37778	37790
37778	37799
37746	38026
38832	38771
39069	38832
38783	38832
40865	40826
40966	40826
40856	40826
40856	40827
40826	40966
54313	54296
58744	58590
58754	58744
58689	58744
58590	58744
59290	59329
59345	59329
61087	61048
61233	61087
61048	61087
61287	61233
61087	61233
61023	61287
77621	77619
77619	77621
86017	85907
86010	85907
86461	86536
86929	86536
94475	94456
94475	94470
94475	94473
103850	103808
103856	103808
103847	103809
103856	103809
103808	103856
103860	103880
103882	103880
103863	103880
103864	103880
103884	103880
103884	103899
104043	103995
104043	104003
104060	104013
104043	104027
104041	104043
104029	104043
103995	104043
104200	104070
104200	104110
104200	104112
104200	104168
104168	104200
104112	104200
104225	104219
104225	104222
104219	104225
104225	104230
105240	105225
105240	105235
117453	117455
122314	122346
122309	122346
122323	122346
122555	122563
122555	122564
122555	122581
122555	122600
123009	122994
123006	122994
122994	123006
122994	123009
127068	126956
127040	126956
127025	126956
126956	127001
126956	127025
126956	127040
126956	127068
144499	128009
131160	130920
131160	130938
131160	130973
130920	131160
130938	131160
130973	131160
138217	138182
138182	138193
138182	138217
138339	138320
138339	138333
138339	138335
138339	138337
138335	138339
138337	138339
138371	138339
138339	138371
139915	139902
139902	139915
128009	144499
144826	144824
144830	144826
144824	144826
144826	144830
144826	144879
150400	150370
150400	150373
150400	150376
159893	159828
159893	159869
159869	159893
159828	159893
159850	159893
160627	160610
160627	160621
160627	160623
160621	160627
161506	160627
160627	160637
161137	161118
161148	161118
161118	161137
161118	161148
161118	161201
161118	161245
161423	161433
161438	161433
161483	161433
161484	161433
161453	161449
161453	161450
161450	161453
161433	161484
161453	161489
161533	161490
160627	161506
161490	161533
31716	181672
184893	184734
184734	184893
