"TF"	"size"	"nes"	"pval"	"pval.fdr"
"ZNF92"	368	-3.11782344082905	0.00182191912655786	0.118177698990194
"NR2F6"	32	3.04003590036047	0.00236549950041464	0.118177698990194
"BHLHE22"	20	3.02120918113076	0.00251767362187894	0.118177698990194
"SREBF1"	23	3.01204867229726	0.00259490987396527	0.118177698990194
"HMGN3"	449	3.00095552393546	0.00269133871766174	0.118177698990194
"MEF2B"	34	3.00055333739972	0.00269489551716648	0.118177698990194
"KDM5B"	16	2.98055782356862	0.00287723912294361	0.118177698990194
"ZNF143"	47	2.97536958501913	0.00292635749226983	0.118177698990194
"ADNP"	323	2.91680244340892	0.00353639683555279	0.118177698990194
"MEF2C"	66	2.91122956840739	0.00360009400069181	0.118177698990194
"ZKSCAN1"	39	2.86059753492289	0.00422843463964872	0.118177698990194
"ZNF263"	298	2.83592832359704	0.00456926994079481	0.118177698990194
"ZNF197"	332	2.8298284553313	0.00465729680194346	0.118177698990194
"CTCFL"	49	2.81832585393132	0.00482747901616834	0.118177698990194
"MAF"	36	2.81106461412396	0.00493778686588553	0.118177698990194
"POU5F1"	67	-2.75424871342181	0.00588270448631434	0.131993181911678
"SP1"	315	-2.71624842734353	0.00660263533507399	0.139432122664209
"NR3C1"	10	2.65091944395186	0.00802729847265848	0.15033455828618
"THAP11"	104	2.64896715151178	0.00807381787287343	0.15033455828618
"TBX21"	76	2.6365581540862	0.00837518430563679	0.15033455828618
"TEAD1"	121	-2.54091022354641	0.0110564305350555	0.189012312480234
"ZNF318"	350	2.51172270090105	0.0120143453350101	0.19605227160312
"EGR2"	19	-2.49496395388593	0.0125969926076024	0.196622623744751
"DEAF1"	122	2.47626272197326	0.0132765841534495	0.197201653827586
"NEUROD1"	31	2.4641801827484	0.0137327056982999	0.197201653827586
"KLF5"	77	-2.43287587790898	0.0149794348699365	0.2068314276272
"STAT5A"	21	-2.38804443593472	0.0169382936428263	0.214859527773767
"IRF4"	62	-2.38670540532093	0.0170001076938361	0.214859527773767
"E2F6"	65	2.35290306860083	0.018627489151223	0.214859527773767
"CBX2"	347	2.35225334463667	0.0186600608644779	0.214859527773767
"EPAS1"	13	-2.35136324534592	0.0187047638678048	0.214859527773767
"SREBF2"	16	2.318063778516	0.0204458551001163	0.214859527773767
"GATA2"	39	2.31351761372531	0.0206941974863523	0.214859527773767
"TCF3"	14	2.3082318920545	0.0209862422462267	0.214859527773767
"MAFB"	51	-2.30060450554701	0.0214139961398802	0.214859527773767
"MXI1"	67	-2.29828098064536	0.0215458022280101	0.214859527773767
"SNAI2"	60	2.25651283835611	0.024038532196097	0.22767860680792
"STAT4"	10	-2.23076645653966	0.0256966029472194	0.22767860680792
"BCL6"	43	2.2228228222117	0.0262277495365104	0.22767860680792
"FOXO4"	14	-2.21817473647617	0.0265429205889887	0.22767860680792
"MBD3"	384	2.19499342891292	0.0281640691089159	0.22767860680792
"EOMES"	21	-2.18795446323284	0.0286729194700305	0.22767860680792
"CXXC4"	459	2.17744452121666	0.029447416931179	0.22767860680792
"RUNX2"	62	-2.17703870469557	0.0294776797328707	0.22767860680792
"TCF12"	74	2.17468738115982	0.0296535511550287	0.22767860680792
"STAT3"	75	2.16824697594396	0.0301399003886052	0.22767860680792
"POU2F1"	32	2.16512898433821	0.030377808877599	0.22767860680792
"MBD4"	28	2.15010487130511	0.0315469203883567	0.22767860680792
"ZNF740"	37	2.14279740722478	0.0321293696098298	0.22767860680792
"MYBL2"	26	-2.13033941353937	0.0331436018313982	0.22767860680792
"FOXP2"	33	2.1291284828081	0.0332436318233651	0.22767860680792
"PPARG"	40	2.11876808265836	0.0341100713672471	0.22767860680792
"NFIA"	15	-2.11181017964873	0.0347027338203916	0.22767860680792
"ASCL1"	49	2.10484555592293	0.0353047541845172	0.22767860680792
"GATA6"	50	-2.10364825481646	0.035409141331803	0.22767860680792
"ATF3"	46	2.09599210040993	0.0360828917114729	0.22767860680792
"PKNOX1"	33	2.09502605750373	0.0361686761721246	0.22767860680792
"EBF1"	70	-2.08063205585054	0.0374675974421037	0.22767860680792
"ZBTB7A"	84	2.07638893097884	0.0378579941716338	0.22767860680792
"GLI1"	76	-2.0742927057264	0.0380521348425494	0.22767860680792
"BACH2"	48	-2.06461421993917	0.0389595167092379	0.229286336042892
"SMAD1"	17	2.0409509076613	0.0412557069793274	0.232680550000676
"IRF3"	62	2.03125936545555	0.0422286910798052	0.232680550000676
"PBX3"	51	2.02548723556475	0.0428173578514539	0.232680550000676
"HSF1"	12	2.02447207934498	0.0429216019514872	0.232680550000676
"MAZ"	68	2.01785982610046	0.0436058620609667	0.232680550000676
"SOX6"	28	-2.01401752006931	0.0440076940886053	0.232680550000676
"ZEB2"	51	2.01339400208679	0.0440731961004067	0.232680550000676
"TGIF2"	15	1.98823912112994	0.0467852502058422	0.243418910491266
"KLF2"	12	1.97475474734519	0.0482959867127458	0.247689417569654
"TERF1"	433	1.9676380732627	0.0491096957588209	0.248315222217136
"FOXO3"	38	-1.94928939745433	0.0512608740437087	0.255592413634603
"SNAPC4"	28	1.93833924065881	0.0525818479208746	0.255661316966877
"ETS1"	139	-1.93737934057982	0.0526989901268771	0.255661316966877
"BCL11A"	36	1.91961130167184	0.0549070154315058	0.262821580532141
"GLYR1"	416	1.90666728269442	0.0565636862680392	0.267188991713501
"STAT5B"	16	1.89577013833086	0.0579904461566644	0.270371041171981
"IRF7"	9	1.86261402270821	0.0625165900176597	0.284606308501522
"PCGF2"	336	1.86181448977427	0.0626292433749867	0.284606308501522
"SMAD3"	33	1.85554131976316	0.0635189644237196	0.284952158681193
"SIX5"	25	1.84687551380152	0.0647651843024105	0.284952158681193
"FOXK1"	74	1.8446630745214	0.0650865654926403	0.284952158681193
"CEBPZ"	283	1.83728818563198	0.0661673630663267	0.286193775190497
"DUX4"	34	1.82096644916112	0.0686119570705781	0.293234435575447
"TCF4"	60	1.81494860608579	0.0695318079048508	0.293669635739311
"JUND"	19	-1.79308206794337	0.072959802494323	0.304564756923976
"KLF1"	43	1.76780723651295	0.077093134733897	0.318119946775506
"TAL1"	18	1.75692309612474	0.0789309183183546	0.31844476970273
"ETV6"	83	1.75495267981797	0.0792674021750639	0.31844476970273
"CTCF"	110	1.75117972238001	0.0799149571954647	0.31844476970273
"TFAP4"	38	1.74376369279899	0.081200303893752	0.31844476970273
"GRHL2"	73	-1.7397637754936	0.0819005056498894	0.31844476970273
"HHEX"	11	1.73639481194121	0.0824940489759161	0.31844476970273
"PBX2"	43	1.73125986756662	0.0834054258633356	0.318537743456782
"ESRRA"	62	1.72182832121313	0.0851006225953117	0.321590773807546
"RUNX3"	12	1.70483907248336	0.088224442127425	0.325659553549734
"ZNF589"	272	1.6996691126113	0.0891931823315503	0.325659553549734
"GATA1"	15	-1.69457111693552	0.0901568100907865	0.325659553549734
"RFX1"	33	1.69135636202292	0.0907687614130864	0.325659553549734
"E2F4"	218	-1.689504411956	0.0911228070842215	0.325659553549734
"ZNF24"	20	1.68691292072951	0.091620097238226	0.325659553549734
"NR2F1"	63	-1.66707104474814	0.0955002789037678	0.336123530651496
"ELF3"	49	-1.65325236515753	0.09827951317275	0.340556133446444
"TEAD4"	64	-1.65139997460849	0.0986569300234824	0.340556133446444
"EGR1"	124	1.64499657201235	0.0999705180054109	0.341183712320045
