TF	size	nes	pval	pval.fdr
ZNF219	95	2.56211618537461	0.0104036508314006	0.99999996220925
ZNF229	324	2.0696963341582	0.038480790263926	0.99999996220925
LTF	30	2.02835202094439	0.0425243331719619	0.99999996220925
CREB5	2	-1.98660920985937	0.0469657198205743	0.99999996220925
TIGD5	54	-1.92227619934872	0.0545710131541694	0.99999996220925
TSHZ1	27	-1.92121064270665	0.0547051569726753	0.99999996220925
NACC2	155	1.91645738332329	0.0553069027353883	0.99999996220925
IRX3	209	1.91349155961411	0.0556851530163193	0.99999996220925
ZNF703	41	1.88243160970059	0.0597774374609228	0.99999996220925
TWIST2	38	-1.87100055975075	0.0613450034329572	0.99999996220925
ZFP30	5	-1.84987120454687	0.0643321150591893	0.99999996220925
EGR1	2	-1.8260096336278	0.0678488107423837	0.99999996220925
ZBTB7C	62	-1.81573002228037	0.0694117963293751	0.99999996220925
NR1H2	165	-1.80277642781259	0.0714233335981767	0.99999996220925
GATA6	129	-1.7733359609691	0.0761730535750642	0.99999996220925
FEZF2	350	-1.77287192441855	0.0762499318397489	0.99999996220925
FIZ1	62	-1.75346857279499	0.0795216094344963	0.99999996220925
GLI1	537	1.75133262090216	0.0798886318019191	0.99999996220925
ZNF691	29	1.71575458566379	0.0862069694309331	0.99999996220925
ZFP42	131	1.71353722740967	0.0866137506692906	0.99999996220925
ARX	301	1.71039934115567	0.0871920527834751	0.99999996220925
SCMH1	95	1.66926341410774	0.0950651874754403	0.99999996220925
POU4F1	36	-1.62374295102191	0.104430680155123	0.99999996220925
UBP1	79	1.61655837114648	0.105973643944061	0.99999996220925
JRK	70	-1.58618894327157	0.112696455188449	0.99999996220925
SIX6	111	-1.58075964079058	0.11393300581572	0.99999996220925
ZNF668	162	1.5584871207049	0.119117818720201	0.99999996220925
ZNF182	332	1.55745690300109	0.119362045138147	0.99999996220925
ZNF678	7	1.55084550375136	0.120938712826649	0.99999996220925
FOXL2	378	-1.55077196330497	0.120956341739497	0.99999996220925
FOXO4	164	-1.50530353450008	0.132246056908887	0.99999996220925
KDM2A	155	1.47219283870284	0.140968810707702	0.99999996220925
ZNF845	254	-1.46961762343979	0.141665344477043	0.99999996220925
ZNF579	412	1.46073425940994	0.144088383303199	0.99999996220925
ZNF518B	121	1.45858956655913	0.144678106955916	0.99999996220925
ZNF157	367	-1.45629349002873	0.145311504387438	0.99999996220925
NCOA2	111	1.45151186581829	0.146637380544856	0.99999996220925
EN1	73	1.44086831093018	0.149621890151741	0.99999996220925
ZNF41	32	-1.43372026999731	0.151652105360207	0.99999996220925
SNAI2	308	-1.43109878697297	0.152401904904341	0.99999996220925
NFATC4	179	1.41992438105404	0.155629697047244	0.99999996220925
EGR4	2	-1.38638048711655	0.165630751536964	0.99999996220925
RLF	73	1.37337657163804	0.169635309255399	0.99999996220925
PRDM9	210	1.36857936862385	0.17113079674871	0.99999996220925
E4F1	242	-1.35864945322554	0.174257696458738	0.99999996220925
HES7	169	-1.33021221628085	0.183448360268253	0.99999996220925
ZNF275	135	-1.3268216303893	0.184567693458107	0.99999996220925
DEAF1	17	1.31220116455032	0.189452269045341	0.99999996220925
MLX	31	1.28634468725525	0.198322793208217	0.99999996220925
PHF21A	165	1.27327605306266	0.202920101221995	0.99999996220925
KLF3	476	1.2592882549794	0.207926233939381	0.99999996220925
DNMT1	8	-1.24063336445676	0.2147412207325	0.99999996220925
ZFP3	344	-1.22948787687563	0.218888940431061	0.99999996220925
RXRB	214	-1.22626698438633	0.220098221307841	0.99999996220925
ZNF141	10	1.21577303768913	0.224071392449047	0.99999996220925
HOXD10	188	1.20328883198341	0.228864569286542	0.99999996220925
HOXC10	243	-1.20231203240347	0.229242656812145	0.99999996220925
CEBPD	381	-1.19714067362659	0.231251728863247	0.99999996220925
ZNF609	172	-1.17578340184084	0.239681440734178	0.99999996220925
SMAD9	101	1.15361636671489	0.248657485331771	0.99999996220925
ZNF2	256	1.14843871621531	0.25078749856288	0.99999996220925
