TF	nes_1	pval_1	nes_2	pval_2	nes_3	pval_3	combine_nes	fisher_pval
SREBF1	-1.74963897359225	0.0801806301908337	-2.9769196979473	0.00291160260992179	-2.59137206928353	0.00955940763799957	-2.43931024694102	0.000220219472655181
NFIA	3.06566480918043	0.00217186643922403	0	1	3.17072798598597	0.00152057458192366	2.0787975983888	0.000308001558709399
DPF3	2.86366675945664	0.00418768318768801	0	1	3.24198675017022	0.00118699540901059	2.03521783654229	0.00043632168692751
RUNX1	-2.39513984110444	0.016614027449224	-1.62473960506595	0.104218054620884	-2.84190950792644	0.00448442182876193	-2.28726298469895	0.000636583788813813
PPARG	-2.32925932294205	0.0198453318967371	-2.32503088935552	0.0200703085553489	-2.31425503283204	0.0206537368247389	-2.32284841504321	0.000668385835094562
PRDM8	-2.89550374675403	0.00378550510743491	0	1	-2.88488888125118	0.00391551837530251	-1.9267975426684	0.00109595053473648
POU2AF1	2.69531964863316	0.0070321134739807	0	1	3.02513234092209	0.00248524356029233	1.90681732985175	0.00125755511159855
ETS1	2.87190119124633	0.00408010518041689	1.845391570143	0.0649805985264422	1.82929395410067	0.0673555838918181	2.18219557183	0.00128038962498686
PBX1	2.13695095531565	0.0326019808904757	0	1	3.36288890822375	0.000771313963727783	1.83327995451313	0.00170173714285608
KLF5	2.52725114295107	0.0114959263358082	0	1	3.01570921043326	0.00256379003666545	1.84765345112811	0.00194067869367048
GATA1	2.33127506439174	0.0197388602020492	1.73987560549226	0.0818808630195862	2.29480540346696	0.0217442788501927	2.12198535778365	0.00224391628306444
FOXO3	1.5847702943765	0.113018533969974	1.63845713144349	0.10132636962993	2.882631841981	0.00394368062631429	2.03528642260033	0.00275749674308616
BHLHA15	2.31554272054656	0.0205832494252323	0	1	3.04375894107819	0.00233642273356005	1.78643388720825	0.00290317697636517
TBX21	-2.81975273404206	0.00480606675809477	0	1	-2.55988600146402	0.0104706503765972	-1.79321291183536	0.00301296308093305
NR3C1	-1.37190728932076	0.170092300911729	-2.95843830996331	0.00309202123873109	-1.63915103198682	0.101181809157699	-1.98983221042363	0.003153786135571
ETV6	-2.23696008362968	0.0252889490089163	0	1	-3.05825738202644	0.00222628271878687	-1.76507248855204	0.00330235678694688
ZNF675	-2.44497706552917	0.0144861353426855	0	1	-2.85798476409686	0.0042634086178813	-1.76765394320868	0.00356122943960179
ZNF446	-2.69127446467109	0.00711796082242522	0	1	-2.56740686017135	0.0102462311456981	-1.75289377494748	0.00407677691623726
IRF4	2.58578147840157	0.00971585059917136	0	1	2.66798370652702	0.00763079585958526	1.75125506164286	0.00413146463887994
USF2	-2.33674675405304	0.019452355921413	-1.22408777868034	0.220919115868063	-2.35474099894022	0.0185356199715464	-1.97185851055786	0.00437894211767137
ZNF773	-2.88821582094124	0.00387433939499342	0	1	-2.27429218202882	0.0229484249108732	-1.72083600099002	0.00478625712719705
ESR2	1.52718024796778	0.126716196500384	1.27260976580066	0.203156551450471	2.90537114801575	0.00366817846895171	1.90172038726139	0.0050248729134984
SOX6	2.25479190964779	0.0241463933412006	0	1	2.86191700636489	0.00421087155744472	1.70556963867089	0.00533356932758291
ZNF263	-1.5962699875392	0.110428527767429	-2.57358794597954	0.0100650063263388	-1.68256594147835	0.0924591495689376	-1.95080795833236	0.0053794820054573
TCF3	-0.771611050312367	0.440344827459068	-2.29879659012932	0.0215164925407157	-2.54481267373672	0.0109336375571184	-1.87174010472614	0.0054143498625738
EPAS1	0.640433171421561	0.521891023060936	2.17516511076228	0.0296177456561218	2.69377727105691	0.00706473570379786	1.83645851774692	0.00564905429918584
ZNF74	-2.14118684043005	0.032258973830247	0	1	-2.8959638811474	0.00377995903416625	-1.67905024052582	0.00617249144046042
KLF4	3.15723714556347	0.00159271759107477	0.711238606535609	0.476936388618034	1.33173456285588	0.182947427517144	1.73340343831832	0.00685399797447091
PLAGL1	-2.33254265136205	0.0196721618775616	0	1	-2.68486173818167	0.00725598157636387	-1.67246812984791	0.00700220728804627
SALL2	-1.53022156896236	0.125961894237719	0	1	-3.25128701048744	0.0011488381816948	-1.59383619314993	0.00707927382203165
ZNF609	-2.91336562222301	0.00357555688684559	0	1	-2.04870844536215	0.0404906328901941	-1.65402468919505	0.00708188138595682
PLAG1	2.86096737638029	0.00422350510309006	0	1	2.11555696434013	0.0343825052926862	1.65884144690681	0.00709899554870988
ELK1	-3.04759752874266	0.00230678656413536	-1.07752701855098	0.281244886908357	-1.1827216619185	0.236919476245676	-1.76928206973738	0.00742845150640249
ZNF831	-3.12669421690175	0.00176783694340741	0	1	-1.68863783766943	0.0912888549193447	-1.60511068485706	0.00772273769731558
RFX7	-3.00765639549749	0.00263270620338308	0	1	-1.85935039165754	0.0629774886012478	-1.62233559571834	0.00789061362093024
BACH2	1.85687647361921	0.0633287304211032	0	1	3.00924169636889	0.00261900674700064	1.62203938999603	0.00789277862400951
KLF1	-1.95393023838679	0.0507094679270612	0	1	-2.91920290910281	0.00350927718225709	-1.62437771582987	0.00834724374702359
ZNF517	-2.37557584649924	0.0175215909742248	0	1	-2.56941511433546	0.0101870346031848	-1.64833032027823	0.00836734447181998
ZNF626	-2.83370939792137	0.00460111523212103	0	1	-2.06631643658782	0.0387986104230389	-1.6333419448364	0.00836823181873637
ZNF445	-1.89842962964695	0.0576395095577389	0	1	-2.92227726103269	0.00347482061212298	-1.60690229689321	0.00916810313192941
ZNF821	-2.82234130288802	0.00476744105714067	0	1	-1.93861170739853	0.0525486369049863	-1.58698433676218	0.0109403880301277
EBF1	2.62901916478434	0.00856315349045746	0	1	2.16743068692712	0.0302020294980403	1.59881661723716	0.0112178506076666
IRF6	1.87042242532949	0.0614251802446755	0	1	2.84230480847164	0.00447886477263979	1.57090907793371	0.0117761785197508
PRDM16	-1.68772346508108	0.0914643252355648	0	1	-2.96543826442065	0.00302252002400806	-1.55105390983391	0.0118211062456715
NR2C1	-2.27913262532164	0.0226591826436565	0	1	-2.49192263619576	0.0127053708200365	-1.59035175383913	0.0122032154791877
SP1	1.17534148045731	0.239858125493678	2.6606451765438	0.00779910971728294	1.40146899716393	0.161073872217509	1.74581855138834	0.0126468654758872
MSC	2.08808538717698	0.0367901329655653	0	1	2.63165331568789	0.00849705194273275	1.57324623428829	0.0130162156110156
STAT4	-1.42678123468816	0.153642961760861	2.14081701981217	0.0322887968958281	1.85774640043474	0.0632050359075489	0.857260728519585	0.0130471140912893
TP63	-1.80098286739763	0.0717055803791799	-1.35272447305581	0.176143669032459	-2.21776926186968	0.0265705689659962	-1.79049220077437	0.0137583361225785
ZNF131	-2.84775286731785	0.00440291004104987	0	1	-1.73972569078518	0.0819071959961251	-1.52915951936768	0.0145519760681974
RUNX3	-2.06574385536881	0.038852671961703	-1.73067525918272	0.083509700329116	-1.59224418936462	0.111329847745199	-1.79622110130538	0.0145704502732391
ZNF483	-2.31703050574625	0.0205020700623833	0	1	-2.36506433286966	0.0180269391846729	-1.56069827953864	0.0148326458430452
EOMES	2.20223090664042	0.0276490019348071	0	1	2.46060956592362	0.0138701214093304	1.55428015752135	0.0152648690053588
