""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"ZFP90"	-1.04020951142857	7.17236304066986	-10.4036555229424	1.1085317299673e-22	2.45850167072148e-18	39.7569239745919	"ZFP90"
"CCDC3"	1.38709928010953	5.27060585796172	8.55196364616196	2.35060725937688e-16	2.60658838992303e-12	26.0463246592724	"CCDC3"
"ROGDI"	-1.10224583238095	7.62777151196172	-7.68237342096983	1.13482865904478e-13	6.29205750007379e-10	20.2376317821815	"ROGDI"
"HENMT1"	-1.05617671523809	8.05767648325359	-7.47241935094106	4.69999903386585e-13	2.08473157146153e-09	18.9034149655991	"HENMT1"
"SPINT2"	-1.58543420571428	7.65612240669856	-7.2479966366823	2.07936975643018e-12	5.76453280726357e-09	17.5081045581629	"SPINT2"
"PLTP"	-1.32686950666667	6.97441602631579	-7.00881654175089	9.77475882864291e-12	2.16784601301642e-08	16.0570113869095	"PLTP"
"NKX2-3"	1.92667721428571	6.36535293301435	6.66709741291276	8.33342891701569e-11	1.54015655434645e-07	14.0500690949147	"NKX2-3"
"HOXB-AS3"	1.23196016666667	6.32425207416268	6.45392186821489	3.04332073125229e-10	5.19190516751642e-07	12.838632507146	"HOXB-AS3"
"PRICKLE1"	0.988066372380955	7.25520286602871	6.1890729561122	1.45344279704006e-09	1.69655022909234e-06	11.3781346514931	"PRICKLE1"
"SPATC1L"	-1.02695656095238	7.19680486363636	-6.13251553737241	2.01612016798912e-09	2.12921490884108e-06	11.0727622453672	"SPATC1L"
"MXD1"	1.06366845904762	8.80840672248804	6.1242363947663	2.11462945407503e-09	2.13173872874891e-06	11.0282546240009	"MXD1"
"HOXA4"	1.11482870571428	5.8810554569378	6.09752024632878	2.46569217715711e-09	2.37757048282566e-06	10.8849712469812	"HOXA4"
"RASGRP3"	1.67895412571428	6.77848209808612	6.08824468105969	2.60042441521944e-09	2.40300886169736e-06	10.8353460690587	"RASGRP3"
"FAM26F"	-1.55395786	7.66674881818182	-6.00647033873347	4.14515835301811e-09	3.67725287812943e-06	10.4005603321133	"FAM26F"
"HOXB6"	1.62823622095238	6.46685747368421	5.94469977714539	5.87577366423234e-09	4.3466558654979e-06	10.0753807175399	"HOXB6"
"ZNF286A; ZNF286B"	-0.998432425714286	6.37552726315789	-5.94359707514209	5.91233065840569e-09	4.3466558654979e-06	10.0696012548743	"ZNF286A; ZNF286B"
"IFI16"	-0.786898171428572	9.89425609808612	-5.93789412432409	6.10496854159427e-09	4.3466558654979e-06	10.0397253557136	"IFI16"
"LPAR6"	-1.59569088095238	7.4613108923445	-5.93729160716986	6.1256750925193e-09	4.3466558654979e-06	10.0365703657208	"LPAR6"
"FGFRL1"	0.801340761904763	6.1833224354067	5.93271249754261	6.28530050173811e-09	4.3466558654979e-06	10.0126013020893	"FGFRL1"
"MGMT"	-0.770378395238094	5.92645508133971	-5.92761829348976	6.46765459290426e-09	4.3466558654979e-06	9.98595419024561	"MGMT"
"HOXB3"	2.21041075142857	8.06225663157895	5.86419307191168	9.21893515333371e-09	6.01345717148926e-06	9.65579208021194	"HOXB3"
"CD200"	-1.58853079181143	6.73331890206938	-5.55534056464354	4.95785969300035e-08	2.68183932369175e-05	8.09103125185708	"CD200"
"CD93"	-1.56678565643238	8.5620707957799	-5.51173774577094	6.2499660949331e-08	3.08026106785392e-05	7.87593638049874	"CD93"
"HOXA3"	1.73728204761905	6.98239988038277	5.47711405549935	7.50398906581995e-08	3.61790151090771e-05	7.70617158977008	"HOXA3"
"HOXA9; MIR196B; HOXA10-HOXA9"	2.17566947142857	8.02352974162679	5.38773046521009	1.19793776796181e-07	5.42201302405246e-05	7.27216883020395	"HOXA9; MIR196B; HOXA10-HOXA9"
"HOXA7"	1.46610909428571	7.01702213875598	5.3104037192992	1.78643469830414e-07	7.92390974779783e-05	6.90168665804588	"HOXA7"
"HOXA5"	2.07933569238095	7.37027624401914	5.29291495616158	1.95414387967777e-07	8.45756767003185e-05	6.81853933459956	"HOXA5"
"NFIL3"	1.0370470752381	9.01868147607656	5.29005178962651	1.98301703869445e-07	8.45756767003185e-05	6.80494957377301	"NFIL3"
"HOXB4"	1.14753738285714	6.51255125119617	5.2817309491887	2.06929574289746e-07	8.65902660112828e-05	6.76549169474264	"HOXB4"
"SFMBT2"	-0.914455327619049	6.72435019617225	-5.24301522909193	2.52098890224159e-07	9.98401640605606e-05	6.58260967402251	"SFMBT2"
"JAG1"	1.39178867809524	7.44266370574163	5.22661219370023	2.73997019985754e-07	0.000101113563846901	6.50547951551833	"JAG1"
