2260553_BL	2280935_BL	2283265_BL	2410163_BL	2450523_BL	2463247_BL	2480485_BL	2297625_BL	1825001_BL	2247707_BL	2620771_BL	2430935_BL	2295595_BL	2264225_BL	2297941_BL	2151503_BL	2263055_BL	757509_BL	1794247_BL	2010157_BL	2150901_BL	2152641_BL	2163337_BL	2210551_BL	2219711_BL	2292915_BL	2296723_BL	2361361_BL	2361405_BL	2366711_BL	2370233_BL	2382431_BL	2419959_BL	2498789_BL	2502699_BL	2512641_BL	2583919_BL	2616045_BL	4128869_BL	4235533_BL	4259035_BL
AATF	1.09626999175898	0.708983629708612	1.24457858893378	1.03839026656299	0.793854287940158	0.993904646006764	1.40788184196735	0.744331383662714	0.593849574775853	0.955236753441881	1.38828156543335	0.544292351331368	1.11985073987735	0.857489722052016	1.20217693745983	1.66141060173261	1.30002986685566	1.65003723676754	1.30692970644346	1.45206758739137	1.0055487061663	0.734015822678808	1.17717456260512	0.989050593988149	0.779168416075615	1.00730715255193	1.17060488069648	1.65952150930913	0.589020188665183	1.19587509706249	0.810675630139557	1.2010525417985	0.454987236857904	1.23339742634408	0.784038650524985	0.899461172504637	0.851202339094737	1.1710572183627	0.803869336499099	1.23391020418071	0.467108666763768
ABCA1	-0.994369393079361	-1.09241083063659	-1.05053761089736	-0.977234202584027	-1.04326481959096	-1.39253166442393	-1.00659869440302	-1.32278317065417	-1.50784879883384	-1.30303787639234	-0.940834705388164	-1.71519516823435	-0.96484643382848	-1.28590060903052	-1.13182371944512	-1.92422540944243	-1.28767462611955	-1.5654520445461	-1.37327567151193	-0.907747408118669	-1.5709033900605	-1.42518960396878	-1.18471970214895	-1.24113179253706	-1.46099213971682	-1.84783521969475	-1.2459397178279	-1.37314750983843	-1.40386652172211	-1.46046271227344	-1.23929626901612	-1.2388591757601	-1.73319042067131	-1.34652893549447	-1.02001606605102	-1.17912125084512	-1.0758960842589	-1.19850781761297	-1.1397355006725	-0.882825268952876	-1.34574253170126
ABCC8	-2.04711664279243	-3.01649215929709	-1.77647086620749	-1.56667460012618	-2.30912482758148	-1.75071558085281	-1.85095928503179	-2.63643717697678	-2.2716637177073	-2.14121867528722	-1.54617337854841	-2.51931538026333	-1.93128927296349	-1.81157546137918	-2.70162317577254	-2.03333425071201	-1.52765599275129	-2.87454607969803	-2.65002078717686	-2.49029089650911	-2.45620682866989	-2.67422388633571	-2.90339549738917	-1.89570587603984	-2.16883419390457	-2.53127490030215	-2.04577330677338	-2.58967855524888	-2.69801951099013	-2.46242130496732	-2.40805754165443	-2.00253895383533	-2.30501328245276	-2.80302928950747	-2.07805376402116	-1.88463589741104	-2.14481134323171	-2.17399417496336	-2.1446502067108	-1.61627036708802	-2.4548365850989
ABCC9	-3.66370243581057	-2.6623019482466	-2.36101216264703	-3.45113877557754	-2.80756710900332	-1.29209058999679	-2.65852420039487	-2.78070252879089	-2.324831181962	-2.52687697468073	-3.11787904396591	-3.37845877272093	-1.14871280090059	-2.8510990223951	-2.77994261119189	-2.44688316350068	-3.06064057120758	-3.02291475327763	-3.21764162453036	-3.15367942808333	-2.76858100660203	-2.64915839359996	-2.14727066252749	-3.46406713226943	-2.82393157107129	-2.30300528827502	-1.73269197917692	-3.53956181464908	-2.70529933144651	-3.41385263440826	-1.75910417723779	-2.84986668303678	-2.83109471272103	-3.21169236985801	-2.11008635730103	-3.08054342103238	-2.77463913629829	-2.27643122231266	-2.45384496976283	-3.44928403888042	-2.86576662253983
ABCG1	-0.252640280888105	-1.27221676672432	0.543596407721012	-0.932252497706394	-0.312956323997744	-0.680651068464392	-0.0760860221954343	-0.870505831214225	-1.39286143894604	-0.788965132885222	0.112930382575754	-0.864389398290688	-0.726701234284642	-0.338913784371514	-0.924160840268397	-0.48414143084024	-0.754823896710276	-0.369815438363059	-0.916800543149213	0.554596200206714	-0.401262514604998	-0.810005338631948	-1.04784636868995	-0.521017814596021	-1.21180880260723	-1.21040329253805	-0.73871954216898	-0.526869402651899	-0.57533293110085	-0.516632595529765	-1.16953176412856	-0.647701307606376	-0.671217007406332	-0.837137244837044	-1.00465621625215	-0.68999962422771	-0.753993417396333	-0.253085028813069	-0.922116151482843	0.190884504711563	-0.280763350361319
ABCG4	-4.04607167730934	-4.46611481382047	-3.52636257885703	-3.43861645023601	-4.18996984553196	-4.01174437641497	-3.20005557443421	-4.27915855567953	-4.5295751552562	-4.35946431465958	-3.38379116554297	-4.34712740085135	-4.02653607039101	-4.03170864551432	-4.04250693739389	-3.75428965609928	-4.00085268238118	-4.53968116624972	-3.82474665668397	-3.558707428625	-4.1134653300673	-4.33161711668033	-4.41904162714088	-4.12364974647597	-4.34298232633458	-4.44898629529985	-4.28086152309912	-3.77738200433534	-4.25247656322787	-3.89146835711804	-4.11872242722523	-4.12798459776949	-4.43656790248883	-4.2451312470767	-4.49579144480971	-4.08088428945499	-4.03750116533735	-4.25188868479502	-4.15351548569371	-3.68071090397221	-4.27222313642516
ABI1	2.83005729721448	2.46762516460189	2.72247686930816	2.65261466265778	2.41210366706717	2.33230235867099	2.51021084633461	2.40672255365301	2.21969488354699	2.55461846390885	2.9552585356222	2.37197809149241	2.43510499073721	2.60559498289036	2.54299592372369	3.16898900632502	2.62885044503917	2.95089207352364	2.87599829070661	3.11332777328742	2.76603218135436	2.54682043586305	2.4512987830383	2.72718836109019	2.64017654057082	2.53507712324584	2.31623279044986	2.66644221473649	2.32944500773942	2.74558822345392	2.36495498942821	2.87128536378316	2.42750633298195	2.64735153704619	2.29821380245031	2.6221316968583	2.47520458841627	2.54598474895353	2.47023724502364	2.76625617808753	2.44859609809736
ABL1	2.67783666159472	1.59935471542854	3.30024067128128	2.60836733403186	2.33284528312908	2.64779449348897	3.35006127796085	1.63498535622659	1.91983107338341	2.20705283041543	2.92206130901798	1.97549720669656	2.57459492420328	2.78991683422375	2.23592913867913	2.38052940504246	2.58441377254269	1.63861258878584	1.81656934146903	2.55122770336431	2.17024887545569	1.96429186004691	1.792223953802	2.98491015528092	1.95209680155192	1.91122892686653	2.23189147502407	1.77870723554766	1.94644018347468	2.06617550813944	2.0327208410074	2.4460514012476	1.94890765865994	1.8485085121743	2.33941336310097	2.49309912160652	2.13134822808907	2.46591173199214	2.35602054223828	3.24381641614356	2.32995338228368
ABL2	2.77743407047451	1.41169061973752	2.80994386126543	3.06696744571985	2.16140521438061	2.22131609834448	3.0812319710835	1.60810639077702	1.60537965708945	2.19607765803709	3.24028989591926	0.959868071236671	2.40850379507815	2.34613354994172	1.80825749211022	2.81505423545878	2.75762548233193	1.95474139189577	1.69363440859046	2.85203616515653	2.54474432888981	1.68540990440421	1.7740646600756	2.572620233277	1.95899025680804	1.51219367657671	1.89197211672008	2.29237138236736	1.90707804683427	1.98340249940236	1.95332750500897	2.34629659369489	1.16153716314488	1.92980680911692	2.24095913953132	2.72289408428608	2.36372104035998	2.2301597464647	2.34145195268631	2.87679558966241	1.61945844380135
ABLIM3	0.208623728379673	3.32326019104425	0.97287596977907	0.441797025389817	1.9917109507584	1.9784465188307	-0.114644734245238	2.79025467635418	2.2625442374102	1.71782376727853	0.858517560104903	3.88172431269363	2.15827893267089	2.16064736826775	3.6069741962662	0.903941240284161	1.05850745303159	2.70156153362501	2.78987612032482	2.01950821814843	1.86181465979084	2.63844486635874	3.16262547758125	1.25391893309659	3.61475914699305	3.45846258287571	2.56706601163706	3.46200710477501	2.02588906671886	2.62990438258064	2.27613745042368	2.16632180126668	2.80758234833398	2.92609595154888	1.67543259191908	0.22607244815027	1.15126197203463	1.86887253311142	1.35005374588702	0.263302071122754	2.34833143595506
