"TF"	"size"	"nes"	"pval"	"pval.fdr"
"TEAD1"	121	-3.21284574284358	0.00131426856614156	0.142325810037742
"EGR2"	19	-3.16729799788508	0.00153862562514958	0.142325810037742
"KLF5"	77	-3.0530777065198	0.00226507276164789	0.142325810037742
"HMGN3"	449	3.04646552113624	0.00231549033627442	0.142325810037742
"CEBPZ"	283	2.9824286953546	0.00285971254327711	0.142325810037742
"ATF7"	26	2.93523441306356	0.00333295794272919	0.142325810037742
"ZNF143"	47	2.92516324783354	0.00344275566737195	0.142325810037742
"ZNF197"	332	2.91948962369432	0.00350605066073804	0.142325810037742
"RUNX2"	62	-2.89222158702389	0.00382528049543376	0.142325810037742
"CXXC4"	459	2.88097210626902	0.00396450724339116	0.142325810037742
"DUX4"	34	2.82266321655976	0.00476265726970283	0.155435814529392
"ADNP"	323	2.78196455944143	0.00540309400119044	0.159755154469555
"ZNF766"	271	2.7597248845413	0.00578500559360505	0.159755154469555
"ZNF175"	414	2.70975015252856	0.00673339084882441	0.162233053323145
"MEF2C"	66	2.6553581035284	0.00792242562504631	0.162233053323145
"THAP11"	104	2.65042943373737	0.00803895186649527	0.162233053323145
"MXI1"	67	-2.64274150725269	0.00822377928119178	0.162233053323145
"KLF2"	12	2.64194181382264	0.00824322160876568	0.162233053323145
"HIF1A"	144	2.61876329378084	0.00882491594954593	0.162233053323145
"E2F6"	65	2.59819275640502	0.00937158701550234	0.162233053323145
"CTCF"	110	2.57528626505427	0.0100157153819752	0.162233053323145
"BHLHE22"	20	2.57364217436597	0.0100634291030082	0.162233053323145
"ZNF318"	350	2.56244646296736	0.0103937610764132	0.162233053323145
"TGIF2"	15	2.52865971783115	0.011449897709551	0.165855279065465
"FOXK1"	74	2.50900818022361	0.0121070680632701	0.165855279065465
"ZNF584"	198	2.49144625904488	0.0127224212066309	0.165855279065465
"NR2F6"	32	2.48788765660212	0.0128504318976979	0.165855279065465
"ZNF644"	291	2.48553221689248	0.0129357877822647	0.165855279065465
"TCF4"	60	2.45980847824696	0.0139011176201803	0.172086249160163
"ZKSCAN1"	39	2.41534640175635	0.0157202512278817	0.17625434690806
"HSF1"	12	2.41390833878982	0.0157824321801889	0.17625434690806
"MEF2B"	34	2.40995299501374	0.0159545759183824	0.17625434690806
"ZNF263"	298	2.40434098641052	0.016201653058401	0.17625434690806
"PKNOX1"	33	2.37929525108997	0.0173457763246283	0.183150991192399
"MBD3"	384	2.35138309182359	0.0187037661079892	0.187494573111324
"SREBF1"	23	2.34943979913531	0.0188016842117205	0.187494573111324
"ZC3H8"	337	2.32407732174892	0.0201213502706529	0.190231741897261
"KDM5B"	16	2.32099617508554	0.0202870502851021	0.190231741897261
"TCF3"	14	2.31403424370831	0.020665843827279	0.190231741897261
"ZNF592"	12	2.29118189074581	0.021952895893631	0.193683832882357
"HINFP"	14	2.28830302231834	0.0221198806355895	0.193683832882357
"EOMES"	21	-2.27309068566048	0.023020715616105	0.196647914621435
"SNAPC4"	28	2.25246296415478	0.0242930306312408	0.196647914621435
"PBX3"	51	2.24066968053657	0.0250474794514598	0.196647914621435
"ZNF92"	368	-2.24018073951224	0.0250791915417104	0.196647914621435
"TCF12"	74	2.23836556285051	0.0251972258289304	0.196647914621435
"SNAI2"	60	2.20944667357484	0.027143587673359	0.204960223148194
"BCL6"	43	2.19105088618486	0.0284481102751877	0.204960223148194
"TBP"	44	2.18994422235195	0.0285282822719356	0.204960223148194
"DEAF1"	122	2.18757182273127	0.0287008061957724	0.204960223148194
"POU2F1"	32	2.18190002613613	0.0291169119235596	0.204960223148194
"GLYR1"	416	2.1715387901389	0.0298904682525047	0.206359194281715
"ZEB2"	51	2.14762601473874	0.0317434770803077	0.213655913401556
"TP73"	37	2.14269423897836	0.0321376582832425	0.213655913401556
"ELF5"	18	2.13411644165765	0.0328332503224122	0.214311579377199
"TERF1"	433	2.1125145989846	0.034642335121337	0.220548777599077
"EHF"	20	2.10758196446661	0.0350671649905026	0.220548777599077
"SMAD1"	17	2.09043653802863	0.0365786035755201	0.220548777599077
"ETV6"	83	2.07385630946068	0.0380926577260374	0.220548777599077
"POU5F1"	67	-2.07212730681332	0.0382535703576021	0.220548777599077
"EPAS1"	13	-2.06857336962771	0.0385861390557257	0.220548777599077
"STAT3"	75	2.06710450444596	0.0387243077558922	0.220548777599077
"FOXO4"	14	-2.06433083678765	0.0389863591735379	0.220548777599077
"GATA6"	50	-2.05423799148183	0.0399526630135637	0.220548777599077
"FOXO3"	38	-2.04128873575557	0.0412221360407836	0.220548777599077
"PPARG"	40	2.03713233150555	0.0416367827012843	0.220548777599077
"KLF1"	43	2.03607763711059	0.0417425599222146	0.220548777599077
"SOX11"	29	2.03575208621737	0.0417752559240592	0.220548777599077
"ATF6"	10	2.02113965219276	0.0432653106474838	0.222659570100402
"CREB1"	74	2.01486862829418	0.0439184158665356	0.222659570100402
"GATA1"	15	-2.01375048470463	0.0440357367050934	0.222659570100402
"MAF"	36	1.9866669797355	0.0469593133362481	0.234144353996015
"ZNF589"	272	1.95857935987801	0.0501620687310695	0.243617720506975
"CTCFL"	49	1.95042767219457	0.0511251662966219	0.243617720506975
"NEUROD1"	31	1.93786000091806	0.0526403051042696	0.243617720506975
"MBD4"	28	1.92907179784518	0.0537219495622573	0.243617720506975
"ZNF740"	37	1.9255726703515	0.0541577539383966	0.243617720506975
"MYBL2"	26	-1.92263276767838	0.0545261857823674	0.243617720506975
"ATF3"	46	1.90992480327383	0.0561428959940525	0.243617720506975
"TEAD2"	29	1.90906773886543	0.0562533538214021	0.243617720506975
"NFIA"	15	-1.89949643164827	0.0574992353486465	0.243617720506975
"ZNF148"	10	1.89770469478988	0.0577349937804577	0.243617720506975
"RARG"	51	1.89734429736491	0.0577825121534275	0.243617720506975
"SATB1"	291	1.89524204527643	0.0580603422328572	0.243617720506975
"E2F4"	218	-1.88522815303187	0.0593990414194439	0.243617720506975
"ASCL1"	49	1.87289624985301	0.0610827131531931	0.243617720506975
"ONECUT1"	49	1.87228039040192	0.0611678222522934	0.243617720506975
"CUX1"	39	1.87048081655495	0.0614170784982687	0.243617720506975
"USF2"	37	1.86919642499352	0.0615954914786024	0.243617720506975
"BRF2"	314	1.8689905324299	0.0616241315814347	0.243617720506975
"NCOA1"	20	1.86806736853868	0.061752681242715	0.243617720506975
"PGR"	11	-1.8629503749064	0.0624692484499835	0.243765871668957
"CEBPG"	42	1.85198206837286	0.0640283978820981	0.244936878878675
"HNF4G"	54	1.84484871430385	0.0650595488076354	0.244936878878675
"GTF2B"	442	1.84243735021323	0.0654112026510842	0.244936878878675
"ELF1"	48	1.84074637567065	0.065658734419642	0.244936878878675
"STAT5B"	16	1.83540365910091	0.0664459019634894	0.244936878878675
"PCGF2"	336	1.83259385954543	0.0668629920058777	0.244936878878675
"HHEX"	11	1.82363424027838	0.068207386504259	0.247337896515444
"FOXP1"	159	1.75979574035259	0.078442445579999	0.281608379632196
"ESR1"	153	-1.73248001525204	0.0831881323124516	0.295688509902675
"IRF3"	62	1.72331567474918	0.0848314546938238	0.297385594567484
"ZNF382"	10	-1.7206060803961	0.0853223293605873	0.297385594567484
"PPARA"	31	1.70367312198773	0.0884421722317437	0.305295575299961
"THAP1"	48	1.69154937575311	0.0907319258571126	0.310216775073366
"CBX2"	347	1.6826858718489	0.0924359181644148	0.313061270009669
"SETDB1"	370	1.67387979827517	0.0941542252303088	0.315563057848761
"MYNN"	430	1.66993300650073	0.0949326190742792	0.315563057848761
"ZFX"	50	1.65212871497347	0.0985083143685037	0.321911756893127
"HNF1B"	34	1.65150297213546	0.0986359143683675	0.321911756893127
"MEF2A"	99	1.63775724104651	0.101472344553698	0.325158603808122
"TFAP2C"	15	1.63662994087779	0.101707815640184	0.325158603808122
"NR2C2"	74	1.63357570411146	0.102347972786401	0.325158603808122
