Mixture	Cancer.cells	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	P-value	Correlation	RMSE
TUH06_163_S74	0.387257732159187	0.0203193476860331	0.140908323548392	0	0	0.0132061083050636	0.0723219060699845	0	0.0112143578096175	0.0216043634987256	0.333167860922996	0.18	0.163156003388486	1.02922071127441
TUH93_164_S75	0.198367645824419	0.0140210910219191	0.022761554555394	0	0.457842701133609	0	0.0550660566003505	0.0862326073797737	0.00363833381758891	0	0.162070009666946	0.01	0.329396690077886	0.951586749133663
TUH31_165_S76	0.659547522414486	0.0120427301819856	0.0229927570416112	0.0130070757524471	0.0288482779975503	0.00343040959923697	0.0516644707280906	0.138892855357041	0.0168371448849468	0	0.0527367560426045	0.05	0.236614997262101	1.04360126761059
TUH88_166_S77	0.333551802867429	0.00432406200989076	0.108809170003792	0.0291313284079256	0	0	0.0803375828416685	0.108878140174388	0.00435815577676122	0	0.330609757918145	0.0600000000000001	0.228683124883919	0.989966539772736
TUH67_167_S78	0.285541133922251	0.0248499296249572	0.0642878445972314	0.101272064132629	0	0.0369709509428658	0.0558489450954278	0.220211612533461	0.0222390588126974	0.0122476882062545	0.176530772132224	0.07	0.226876177651419	0.980321956946536
TUH86_168_S79	0.246245836648148	0.011764839044624	0.0421174095014352	0.0234017638847989	0	0.00965368836403679	0.195592634739269	0.0356180890482552	0.00821361442500004	0.0128956648139307	0.414496459530502	0.08	0.212635128228334	0.995500721265683
TUH76_169_S80	0.134320830694359	0.0174649335258335	0.00798671902502366	0	0	0	0.0734743156063575	0.44291216995626	0.0013480579522218	0	0.322492973239944	0.01	0.324177126517535	0.947632484391867
TUH97_170_S81	0.454374927732136	0.00902354329412691	0.0252272774225096	0	0.0354790824483651	0	0.0699434429338507	0.0515104321829278	0.0178344305796245	0.0018002671442547	0.334806596262204	0.09	0.20968975398193	1.01164605552033
TUH128_171_S82	0.0287366907734416	0.143767896459394	0.0319853792693656	0.0152447749621552	0	0.000820749936946125	0.0666595994256916	0.317013149087445	0.142861985636361	0	0.252909774449201	0	0.381817085470234	0.925899208003476
TUH142_172_S83	0.152250966150968	0.00489303616347701	0	0	0.425192591304984	0	0.0147728923360425	0.00983603283910747	0	0	0.393054481205421	0	0.450955049374273	0.894651340128536
TUH179_173_S84	0.406972435322668	0	0	0	0.122234523380527	0	0.0852798688315213	0.141857039133943	0	0	0.243656133331341	0	0.356903553124839	0.936255477947716
TUH53_174_S85	0.0166177892953901	0.00925665041926898	0	0.0148585321579119	0.5857266192446	0	0.00611069148016771	0.0315847036981374	0	0	0.335845013704524	0.01	0.338515480681578	0.980283904272963
TUH81_175_S86	0.168819395583693	0.00988410387280384	0.00521096164532853	0	0.149977366291944	0	0.0589439397081973	0.108458405605942	0.00973449342381747	0	0.488971333868275	0	0.495118491779695	0.87172905266646
TUH99_176_S87	0.289093531567057	0.0109984069720416	0	0.00129677775108928	0.0701453105440612	0	0.0116924181871969	0.290252426748319	0.00595217681519852	0	0.320568951415036	0.01	0.311276550141558	0.950860058393552
TUH110_177_S88	0.67158598222301	0	0	0.0285332587690685	0	0	0.139069212844056	0	0.000197708522505909	0	0.16061383764136	0.01	0.329028422463424	0.997049048343409
TUH162_178_S89	0.308232746961828	0.000144130018847406	0.0685314230092043	0	0.0672173994372584	0	0.131119383578455	0.0748610469494181	0.000255076849080412	0	0.349638793195908	0.01	0.317955720018127	0.95157884081877
TUH109_180_S91	0.0914466820259537	0.00708051898438808	0	0	0.413267103219991	0.0126869151946179	0.0288063033967491	0.0361238338177188	0.000407585771893925	0	0.410181057588687	0	0.459700127844966	0.890211144673506
TUH163_181_S92	0.170764107710463	0	0	0	0.405447142831766	0.347548234916037	0.0251669417320999	0.0163697437030646	0.00478386158492071	0	0.0299199675216482	0	0.57094521765018	0.829323648565293
TUH167_182_S93	0.357790871703656	0.0018071634759833	0	0	0	0	0.029431422302952	0.0720741995642064	0.00331184000776485	0	0.535584502945437	0.02	0.269778772669408	0.97912760566323
TUH180_183_S94	0.0274206887579279	0.0842689210014752	0	0.00445711981634987	0.198514050175721	0.0446696915011989	0.0924213660292572	0.139282201416057	0.0118294773638017	0	0.397136483938211	0.11	0.192230728516331	1.00761478026967
TUH105_184_S95	0.556570949556781	0	0	0	0.382723771082985	0.02669533471629	0.00166377219911882	0.0267345840924644	0.00561158835236171	0	0	0	0.440609813516938	0.908741488647243
TUH164_185_S96	0.472218243881007	0.000786342117971518	0	0	0.233418771479462	0.185802969417296	0.00310903222420633	0.0248065910739729	0.00166968176405748	0	0.0781883680420272	0	0.396974771074411	0.932535313078217
TUH169_186_S97	0.828278651021671	0	0	0	0.00804622946601571	0	0.0100805194826632	0.0180820325813727	0.00360373330274364	0	0.131908834145534	0	0.45283639630396	0.952686822883109
TUH82_187_S98	0.0180045415551161	0	0.00147954070196248	0.0378545202120494	0.418177497560002	0	0.0099969178045186	0.0671504245739711	0.00401190607799037	0	0.443324651514389	0	0.692369107270034	0.737213490182348
TUH86_188_S99	0.243131888592234	0.0210443079760691	0.0633912362444424	0	0	0.0112363397206978	0.137136859174473	0.090103316224322	0.00994705642384325	0	0.424008995643918	0.01	0.32806305337393	0.945274769804405
TUH119_189_S100	0.315261510233853	0.00515716124503712	0.0222678429612297	0	0.0533384861859746	0	0.176789559824915	0.0162125466556223	0	0	0.410972892893368	0.08	0.22112577743556	0.997289909323292
TUH130_190_S101	0.0543079243246176	0.00936280902720421	0	0	0.846128032581539	0	0.0116091219270508	0.0312394790316539	0.00218637998966837	0	0.045166253118266	0	0.612222698512961	0.793490427368926
TUH144_191_S102	0.00642118057941388	0	0.00332563421454517	0	0.970221779607971	0	0.00525651787656283	0.010534197343442	0.00222904727506	0.00201164310300519	0	0	0.828584172593678	0.568070321043473
TUH165_192_S103	0.0268550940609383	0	0.107721093118826	0	0.589300990690635	0	0.0027892034708394	0	0	0	0.273333618658761	0	0.710687759469659	0.708164008731535
TUH168_193_S104	0.347989869531378	0	0.00741248848420674	0	0.246014791116652	0.0538465623638109	0.00749430411751268	0.0105416603068611	0	0	0.326700324079578	0	0.475052929903608	0.878960060074468
TUH170_194_S105	0.0910658930967328	0	0.20075725197389	0	0.100800277170086	0.0306126282442422	0.023504123682843	0.0455746575944691	0.00825863720244547	0.0104353668889225	0.488991164146369	0	0.534201444244303	0.844467374711818
TUH171_195_S106	0.381794845133312	0.0272355094642226	0.0228229494202328	0.0137230761986234	0.0286130292835901	0.007541672438885	0.131309910565317	0.151230747022033	0.0215973271670254	0	0.214130933306759	0.25	0.132465855280993	1.02872623113954
TUH178_196_S107	0.435878493198255	0.0142757695121728	0.0111500344097418	0.00169773256421268	0	0.000859694714405261	0.0281857343563605	0.134597820616746	0.0288266028376981	0.00111352367969578	0.343414594110712	0.02	0.287817491372145	0.970535359159991
TUH181_197_S108	0.108678466151488	0.00723764543615333	0.00596194480725974	4.61440928622413e-05	0.170679799271209	0	0.0415056643008425	0.0724663269292949	0.0250313769645006	0.00803955693872167	0.560353075107668	0	0.396039481812036	0.919852311054583
