""	"x"
"1"	"TTLL10"
"2"	"DNALI1"
"3"	"RP3-423B22.5"
"4"	"HENMT1"
"5"	"RNU6-160P"
"6"	"LAMC2"
"7"	"PM20D1"
"8"	"LYST"
"9"	"PROSER2-AS1"
"10"	"SYNPO2L"
"11"	"RNU2-43P"
"12"	"TRIM21"
"13"	"PRDM11"
"14"	"AP001652.1"
"15"	"GLYATL1"
"16"	"GLYATL2"
"17"	"CREBZF"
"18"	"CCDC81"
"19"	"C11orf52"
"20"	"CRYAB"
"21"	"HSPB2-C11orf52"
"22"	"HSPB2"
"23"	"LRTM2"
"24"	"CLECL1"
"25"	"SLC38A4"
"26"	"CAPS2"
"27"	"GLIPR1L2"
"28"	"EID3"
"29"	"PABPC3"
"30"	"REC8"
"31"	"snoU13"
"32"	"TSHR"
"33"	"MKRN3"
"34"	"RP11-73C9.1"
"35"	"CLN6"
"36"	"HMGN2P40"
"37"	"PRSS21"
"38"	"AC010547.9"
"39"	"ZNF19"
"40"	"TRPV3"
"41"	"ALOX15B"
"42"	"ALDOC"
"43"	"FBXO47"
"44"	"RAPGEFL1"
"45"	"ANKRD30B"
"46"	"ARHGEF18"
"47"	"CTB-133G6.2"
"48"	"AXL"
"49"	"CTD-2195B23.3"
"50"	"CTC-435M10.3"
"51"	"TMEM91"
"52"	"SHANK1"
"53"	"SYT3"
"54"	"SIGLEC18P"
"55"	"SIGLEC9"
"56"	"CTC-550B14.6"
"57"	"GP6"
"58"	"RDH13"
"59"	"ZNF835"
"60"	"ZNF418"
"61"	"APOB"
"62"	"GCKR"
"63"	"AC016747.3"
"64"	"C2orf74"
"65"	"KIAA1841"
"66"	"AC007365.2"
"67"	"VAMP5"
"68"	"PAX8-AS1"
"69"	"PAX8"
"70"	"RP11-65I12.1"
"71"	"GALNT5"
"72"	"SLC52A3"
"73"	"UBE2C"
"74"	"C20orf197"
"75"	"AP000688.14"
"76"	"SETD4"
"77"	"RAB36"
"78"	"RTDR1"
"79"	"ADORA2A-AS1"
"80"	"UPB1"
"81"	"TRIOBP"
"82"	"ENTPD3"
"83"	"SOCS5P3"
"84"	"ZNF502"
"85"	"AMT"
"86"	"NICN1-AS1"
"87"	"MAATS1"
"88"	"ILDR1"
"89"	"Y_RNA"
"90"	"P2RY12"
"91"	"RP11-362A9.3"
"92"	"BCHE"
"93"	"EHHADH"
"94"	"MAP3K13"
"95"	"TMPRSS11D"
"96"	"HPGDS"
"97"	"GRIA2"
"98"	"RNU6-582P"
"99"	"RP11-392C20.1"
"100"	"FAM198B"
"101"	"RP11-597D13.9"
"102"	"MARVELD2"
"103"	"CTD-2377O17.1"
"104"	"FAM169A"
"105"	"BHMT"
"106"	"CMYA5"
"107"	"MTX3"
"108"	"THBS4"
"109"	"CTD-2201I18.1"
"110"	"CKMT2"
"111"	"NUDT12"
"112"	"KLHL3"
"113"	"PCDHGA12"
"114"	"CTC-340A15.2"
"115"	"GNMT"
"116"	"FAM83B"
"117"	"RP11-524H19.2"
"118"	"FILIP1"
"119"	"RPL26P20"
"120"	"SMIM11P1"
"121"	"C6orf58"
"122"	"SOGA3"
"123"	"TMEM196"
"124"	"AC005083.1"
"125"	"MACC1"
"126"	"CREB5"
"127"	"RARRES2"
"128"	"RP4-584D14.7"
"129"	"MYOM2"
"130"	"GATA4"
"131"	"CTD-2544N14.3"
"132"	"HTRA4"
"133"	"PLEKHA2"
"134"	"MCMDC2"
"135"	"MIR1208"
"136"	"OR1J4"
