""	"x"
"1"	"RP11-54O7.16"
"2"	"RP11-54O7.1"
"3"	"C1orf159"
"4"	"TNFRSF18"
"5"	"TNFRSF4"
"6"	"RP5-902P8.10"
"7"	"UBE2J2"
"8"	"SCNN1D"
"9"	"ERRFI1"
"10"	"RP11-431K24.1"
"11"	"SLC45A1"
"12"	"CASZ1"
"13"	"C1orf127"
"14"	"SRM"
"15"	"EXOSC10"
"16"	"RP4-635E18.6"
"17"	"MTOR"
"18"	"FBXO2"
"19"	"FBXO44"
"20"	"FBXO6"
"21"	"C1orf167"
"22"	"CLCN6"
"23"	"MTHFR"
"24"	"NPPA-AS1"
"25"	"NPPA"
"26"	"FAM131C"
"27"	"C1orf134"
"28"	"RSG1"
"29"	"FBXO42"
"30"	"SZRD1"
"31"	"PADI1"
"32"	"PADI3"
"33"	"snoU13"
"34"	"RP1-43E13.2"
"35"	"UBR4"
"36"	"EMC1"
"37"	"MRTO4"
"38"	"AKR7A2"
"39"	"PQLC2"
"40"	"RN7SL85P"
"41"	"RNU6-1099P"
"42"	"CAPZB"
"43"	"PLA2G2F"
"44"	"RP3-340N1.2"
"45"	"PLA2G2C"
"46"	"UBXN10-AS1"
"47"	"UBXN10"
"48"	"CAMK2N1"
"49"	"MUL1"
"50"	"SLC30A2"
"51"	"TRIM63"
"52"	"PDIK1L"
"53"	"FAM110D"
"54"	"RP11-96L14.7"
"55"	"ZNF593"
"56"	"FAM46B"
"57"	"TMEM222"
"58"	"GPR3"
"59"	"RP1-144C9.2"
"60"	"AL136115.1"
"61"	"TXLNA"
"62"	"CCDC28B"
"63"	"IQCC"
"64"	"RP4-622L5.7"
"65"	"ADC"
"66"	"AK2"
"67"	"OSCP1"
"68"	"SNORA63"
"69"	"LINC01137"
"70"	"ZC3H12A"
"71"	"MEAF6"
"72"	"DNALI1"
"73"	"RP3-423B22.5"
"74"	"C1orf109"
"75"	"CDCA8"
"76"	"RP5-864K19.4"
"77"	"RRAGC"
"78"	"RP11-420K8.1"
"79"	"KIAA0754"
"80"	"PABPC4"
"81"	"SMAP2"
"82"	"HECTD3"
"83"	"UROD"
"84"	"MUTYH"
"85"	"TOE1"
"86"	"RP4-533D7.4"
"87"	"FAAH"
"88"	"KNCN"
"89"	"EFCAB14"
"90"	"CYP4A22-AS1"
"91"	"LINC00853"
"92"	"PDZK1IP1"
"93"	"RP1-18D14.7"
"94"	"TAL1"
"95"	"RP5-850O15.3"
"96"	"RNU6-1026P"
"97"	"CYB5RL"
"98"	"MRPL37"
"99"	"RP11-446E24.4"
"100"	"MYSM1"
"101"	"ACADM"
"102"	"RP4-682C21.5"
"103"	"RABGGTB"
"104"	"SNORD45A"
"105"	"SNORD45B"
"106"	"SNORD45C"
"107"	"PIGK"
"108"	"AK5"
"109"	"ZZZ3"
"110"	"USP33"
"111"	"FAM73A"
"112"	"RNA5SP21"
"113"	"DNAJB4"
"114"	"FUBP1"
"115"	"GIPC2"
"116"	"IFI44L"
"117"	"IFI44"
"118"	"DNASE2B"
"119"	"UOX"
"120"	"RP4-620F22.2"
"121"	"GBP6"
"122"	"ZNF644"
"123"	"TGFBR3"
"124"	"RP5-837M10.4"
"125"	"GPR88"
"126"	"VCAM1"
"127"	"RNU7-122P"
"128"	"CELSR2"
"129"	"PSRC1"
"130"	"RP4-663N10.1"
"131"	"ZNF697"
"132"	"PHGDH"
"133"	"HMGCS2"
"134"	"REG4"
"135"	"ADAM30"
"136"	"RNU2-38P"
"137"	"HFE2"
"138"	"TXNIP"
"139"	"ANKRD35"
"140"	"ACP6"
"141"	"HIST2H2AA3"
"142"	"HIST2H2BD"
"143"	"HIST2H2BE"
"144"	"BOLA1"
"145"	"HIST2H2AB"
"146"	"HIST2H2AC"
"147"	"SF3B4"
"148"	"MTMR11"
"149"	"VPS45"
"150"	"PLEKHO1"
"151"	"RNU6-160P"
"152"	"PGLYRP4"
"153"	"S100A9"
"154"	"S100A12"
"155"	"NPR1"
"156"	"GATAD2B"
"157"	"DENND4B"
"158"	"CRTC2"
"159"	"CREB3L4"
"160"	"RP11-422P24.10"
"161"	"SLC39A1"
"162"	"JTB"
"163"	"RP11-422P24.11"
"164"	"RAB13"
"165"	"RP11-422P24.9"
"166"	"RPS27"
"167"	"U3"
"168"	"HAX1"
"169"	"UBAP2L"
"170"	"CKS1B"
"171"	"MIR4258"
"172"	"SHC1"
"173"	"CCT3"
"174"	"RHBG"
"175"	"C1orf61"
"176"	"TTC24"
"177"	"AL365181.1"
"178"	"APOA1BP"
"179"	"HAPLN2"
"180"	"RP11-284F21.11"
"181"	"BCAN"
"182"	"RP11-284F21.10"
"183"	"RP11-284F21.9"
"184"	"NES"
"185"	"RP11-284F21.7"
"186"	"CRABP2"
"187"	"RP11-66D17.5"
"188"	"ISG20L2"
"189"	"RRNAD1"
"190"	"NTRK1"
"191"	"SH2D2A"
"192"	"INSRR"
"193"	"PEAR1"
"194"	"OR10R3P"
"195"	"RP11-144L1.4"
"196"	"POU2F1"
"197"	"RP11-277B15.3"
"198"	"MPZL1"
"199"	"ANKRD36BP1"
"200"	"AL049798.1"
"201"	"SELL"
"202"	"C1orf112"
"203"	"METTL18"
"204"	"SCYL3"
"205"	"AL356475.1"
"206"	"RP11-332H17.1"
"207"	"CACYBP"
"208"	"ACBD6"
"209"	"COLGALT2"
"210"	"TSEN15"
"211"	"C1orf21"
"212"	"RP11-382D12.2"
"213"	"RP11-134G8.2"
"214"	"TNNI1"
"215"	"TIMM17A"
"216"	"GPR37L1"
"217"	"TMEM183A"
"218"	"PPFIA4"
"219"	"ADORA1"
"220"	"RP11-335O13.7"
"221"	"MYBPH"
"222"	"BTG2"
"223"	"LINC01136"
