TF	size	nes	pval	pval.fdr
TIGD2	9	3.45852998109184	0.000543131819642864	0.625260845984838
ZNF57	4	-3.2456781510182	0.00117171225970761	0.625260845984838
ZMAT1	11	-3.12280516349646	0.00179136291355654	0.625260845984838
TCF7L2	16	-2.9732058523863	0.00294706728239126	0.625260845984838
IRF2	20	-2.92753750078246	0.00341657855942315	0.625260845984838
RBAK	18	-2.89891946195182	0.00374451064971784	0.625260845984838
POU2F2	12	2.86394629477821	0.0041839894332001	0.625260845984838
ARNT	9	2.83631050994155	0.00456380512551945	0.625260845984838
AHDC1	11	-2.83474237423542	0.00458626537397192	0.625260845984838
ZNF445	18	-2.74777369643017	0.0060001406980188	0.736217263646906
ZFP3	18	2.68899425386609	0.00716676528422732	0.752162942491134
IKZF4	15	2.65747123562067	0.00787293086256125	0.752162942491134
XBP1	22	-2.61681697872811	0.00887539155300166	0.752162942491134
ZBTB32	11	2.54337633724152	0.0109786911052869	0.752162942491134
ZNF607	27	-2.5289266672168	0.0114411929475561	0.752162942491134
ZSCAN5B	5	-2.4807263620594	0.0131114983772788	0.752162942491134
HOXA5	16	-2.44640149297607	0.014429022085564	0.752162942491134
JUNB	8	2.43374983697384	0.0149433188471673	0.752162942491134
EGR4	2	-2.4173409951535	0.0156343630225566	0.752162942491134
NCOA1	22	2.3994564003412	0.0164194350551882	0.752162942491134
PLAGL2	22	-2.39942810846421	0.0164207039189352	0.752162942491134
E2F8	14	-2.3827740004809	0.0171827394834181	0.752162942491134
ZNF236	12	2.3816496725209	0.0172352851716856	0.752162942491134
ZNF12	13	-2.34756807145251	0.0188964199314473	0.752162942491134
ZBTB6	17	2.33130994983957	0.0197370219483483	0.752162942491134
NR2F6	10	-2.29665612852489	0.0216383940040627	0.752162942491134
ZNF124	15	-2.29171425497404	0.0219221372989547	0.752162942491134
PBX3	15	-2.28273837060588	0.0224457841423895	0.752162942491134
GFI1	14	-2.26672038755627	0.0234073121656654	0.752162942491134
ZNF577	14	-2.26507607587509	0.0235080114667977	0.752162942491134
KIN	15	-2.25743433329862	0.023980948400746	0.752162942491134
DMTF1	11	2.23784337277886	0.025231270874996	0.752162942491134
ZNF677	6	-2.23686148656645	0.0252953943992297	0.752162942491134
ZNF462	23	-2.2248551337268	0.0260909647857385	0.752162942491134
PRDM8	29	-2.19674685206637	0.0280385307269818	0.752162942491134
ESRRB	4	-2.18419494245796	0.0289479264129656	0.752162942491134
TFAP2E	25	-2.18286005084803	0.0290461177642733	0.752162942491134
TEAD4	10	2.17351507932486	0.0297415721404213	0.752162942491134
LEF1	62	2.16754832492126	0.0301930690938812	0.752162942491134
SP1	13	2.16080492754091	0.0307104112836697	0.752162942491134
FOSL2	20	-2.14469544630502	0.0319772052296381	0.752162942491134
ZNF404	9	-2.13848771746348	0.032477179949137	0.752162942491134
FBXL19	18	-2.13367465706176	0.0328694219843235	0.752162942491134
SREBF1	13	-2.1261209796477	0.03349318748343	0.752162942491134
SOX18	18	-2.12567959141833	0.0335299473802566	0.752162942491134
ZSCAN12	11	-2.11601176621489	0.0343438068707964	0.752162942491134
ZNF107	12	-2.09753266790339	0.0359464484494753	0.752162942491134
BACH2	36	2.09748968361478	0.0359502494592028	0.752162942491134
SP4	24	2.09710108845447	0.0359846276640409	0.752162942491134
ZNF26	8	-2.08257808778313	0.0372896982581158	0.752162942491134
ZNF281	9	-2.0676885532308	0.0386693189846487	0.752162942491134
