TF	size	nes	pval	pval.fdr
ZNF608	106	3.83726740610245	0.000124410977077255	0.0886394725297641
F2RL1	79	3.80534122833316	0.000141608828739754	0.0886394725297641
PDK1	70	3.68863764944565	0.000225458040425578	0.0886394725297641
ZNF721	44	3.68630676038043	0.000227532064909601	0.0886394725297641
HPGDS	86	3.57393730941193	0.000351653157729261	0.0886394725297641
CRHBP	69	3.55806651958926	0.000373594713452974	0.0886394725297641
SRGAP1	76	-3.5136590593671	0.000441979707443847	0.0886394725297641
ZNF740	58	3.50207999790071	0.000461640986802083	0.0886394725297641
DLX4	136	-3.48074010734667	0.000500030421230298	0.0886394725297641
NCOA7	179	3.47561360525471	0.000509686064412061	0.0886394725297641
GPR12	80	3.47445500678128	0.000511892203335031	0.0886394725297641
ZNF506	34	3.44648476595309	0.000567930584642314	0.0886394725297641
HOXB6	66	-3.44496353553426	0.000571136433811644	0.0886394725297641
NCSTN	103	-3.43644539047273	0.000589401160458493	0.0886394725297641
GNA12	49	3.43018393451405	0.000603172223397965	0.0886394725297641
ARHGAP32	76	3.42934909975548	0.000605030767778488	0.0886394725297641
ZNF704	85	3.41803820850743	0.00063074251683682	0.0886394725297641
TAF8	230	-3.41680173052941	0.000633614066913754	0.0886394725297641
MGST2	96	-3.41552826080493	0.000636584234121734	0.0886394725297641
C3AR1	59	-3.41320810760744	0.000642028944067338	0.0886394725297641
JUP	358	3.41140036655927	0.000646301162786145	0.0886394725297641
RADIL	62	3.40328286998264	0.000665813099315394	0.0886394725297641
MPL	77	3.40217509129222	0.000668517929250885	0.0886394725297641
ZNF792	45	3.39900767668901	0.000676308180673598	0.0886394725297641
ZNF503	45	-3.39723098500141	0.000680714813439779	0.0886394725297641
STAC3	98	-3.38743446692681	0.000705495691438137	0.0886394725297641
MED28	133	3.38395222278306	0.000714504352500723	0.0886394725297641
GNG7	96	3.38074929321199	0.000722884671210093	0.0886394725297641
AIFM3	78	-3.37796206767683	0.000730251531188798	0.0886394725297641
RAB39B	90	3.37364034510168	0.000741812205479836	0.0886394725297641
SPTBN1	85	3.36987046164746	0.000752035275195508	0.0886394725297641
RPS6KA2	65	3.3624215985324	0.000772620625674765	0.0886394725297641
IKZF2	98	3.35801036045209	0.000785056705980511	0.0886394725297641
MLLT3	418	3.34177823569074	0.000832435394855594	0.0886394725297641
DEPTOR	77	3.32378699237911	0.000888039966330438	0.0886394725297641
ANXA4	26	-3.31703170817878	0.000909792905975442	0.0886394725297641
TRH	105	3.31004279129321	0.000932817093069559	0.0886394725297641
MAP3K1	82	-3.30611251216255	0.000946000933900641	0.0886394725297641
S100A10	49	-3.30395740474569	0.00095330315364214	0.0886394725297641
ABCG1	239	3.29873526183557	0.000971214586299264	0.0886394725297641
NFX1	67	3.29703256044524	0.000977121727645703	0.0886394725297641
ITGA6	55	3.28568086016973	0.00101736205901247	0.0886394725297641
TRIB2	51	3.28471812242447	0.0010208444607857	0.0886394725297641
MPP7	65	-3.28382712193972	0.00102407720252927	0.0886394725297641
SMAD1	83	3.27947381360155	0.0010400086158025	0.0886394725297641
CEBPA	167	3.27100402403936	0.00107166385520303	0.0886394725297641
ICOSLG	80	3.26932496848593	0.00107804411370137	0.0886394725297641
CBX2	156	3.26421932714315	0.00109766158128297	0.0886394725297641
RTKN	61	3.25983115262166	0.00111478557536593	0.0886394725297641
EFNA1	76	3.25529691516558	0.0011327387572983	0.0886394725297641
ERG	57	3.25422364885186	0.00113702726479018	0.0886394725297641
CCND2	71	3.24987688483009	0.00115454979793994	0.0886394725297641
SCML2	88	3.24761111371234	0.00116378213606097	0.0886394725297641
TSC22D1	72	3.24149076375818	0.00118906287188685	0.0886394725297641
MED12L	303	3.24019247761149	0.00119449039257531	0.0886394725297641
TGFBRAP1	73	3.2372773265151	0.00120676075819395	0.0886394725297641
MN1	104	3.23659052792581	0.00120966850731516	0.0886394725297641
BCL9	117	3.22459621216935	0.00126150459506182	0.0886394725297641
BTG1	182	-3.22290139829559	0.00126899228100285	0.0886394725297641
NFYA	60	3.21537142090738	0.00130275841924607	0.0886394725297641
CAMK1	60	-3.21245732994342	0.00131604696369554	0.0886394725297641
SH3RF1	66	3.21243568972197	0.00131614611146167	0.0886394725297641
ANXA1	56	-3.20537641145648	0.00134885958498629	0.0886394725297641
PRKCD	64	-3.20502481819772	0.00135050835274678	0.0886394725297641
CDCA7	183	3.20408033516852	0.00135494663802064	0.0886394725297641
ZNF677	58	3.20091025485353	0.00136994193576561	0.0886394725297641
FZD6	78	3.19927276724929	0.00137774748747198	0.0886394725297641
TET1	119	3.19578297138019	0.00139451963480694	0.0886394725297641
NPR3	82	3.19504341802965	0.0013980980590159	0.0886394725297641
TIGD7	171	3.19049793279446	0.00142027857028689	0.0886394725297641
HOXA10	140	-3.18876481419486	0.00142882072572757	0.0886394725297641
KAT6A	217	3.1864451448824	0.00144032798255945	0.0886394725297641
ITGA9	53	3.18482593534945	0.00144841100701287	0.0886394725297641
SPG21	66	-3.17835318619795	0.00148114207474628	0.0886394725297641
ZBTB8A	107	3.17207472338975	0.00151354057678871	0.0886394725297641
NEDD4	66	3.17195660234697	0.0015141563213066	0.0886394725297641
EREG	69	-3.16897931751707	0.00152975280495006	0.0886394725297641
KIT	50	3.16620212262811	0.00154443437149026	0.0886394725297641
SORL1	69	3.16263074157226	0.00156350511505235	0.0886394725297641
KDM4D	318	-3.16192744967918	0.0015672860688673	0.0886394725297641
NFE2L2	93	-3.15710999596166	0.00159341227420554	0.0886394725297641
HOXA7	149	-3.15440632473926	0.00160824999192033	0.0886394725297641
GNG2	117	3.14988225086859	0.00163336279071054	0.0886394725297641
ARHGAP23	62	3.14839175625307	0.00164171512319866	0.0886394725297641
CDC42EP3	46	-3.14833284483622	0.00164204605299135	0.0886394725297641
PSIP1	98	3.1444481662804	0.00166400386894818	0.0886394725297641
CLTCL1	86	-3.14390139393993	0.00166711604990688	0.0886394725297641
PCBD1	154	-3.14311904730045	0.00167157841330518	0.0886394725297641
DIRAS1	74	3.14231046297749	0.00167620197733275	0.0886394725297641
ARHGEF17	50	3.14013339372124	0.00168870921725427	0.0886394725297641
CD34	68	3.13899751445017	0.0016952688578972	0.0886394725297641
REST	42	3.13894307799944	0.00169558381317293	0.0886394725297641
MCF2L	103	3.1378643609153	0.00170183610352053	0.0886394725297641
BCL11A	90	3.13559908058167	0.00171503484379323	0.0886394725297641
RALB	59	-3.12744862472464	0.00176330634458541	0.0886394725297641
PPP1R13L	205	3.12733375622586	0.00176399549812288	0.0886394725297641
BCKDK	75	-3.12248435777419	0.0017933163483344	0.0886394725297641
AKT3	97	3.12064999705912	0.00180452370454692	0.0886394725297641
POLR2A	68	3.1195783443493	0.0018111009114385	0.0886394725297641
HOXA1	70	-3.11924724998579	0.00181313743457417	0.0886394725297641
IFITM1	62	3.11801091649174	0.00182076059427375	0.0886394725297641
LTBR	35	-3.11657585935328	0.00182964600162243	0.0886394725297641
RUSC1	91	-3.10922424199951	0.00187579293317593	0.0886394725297641
FRAT1	59	-3.10889209269483	0.00187790289936651	0.0886394725297641
TNFSF13	33	-3.10791003948936	0.00188415411464381	0.0886394725297641
ERBB2	38	3.10618994160728	0.00189514939771019	0.0886394725297641
TCF4	140	3.10555762784259	0.00189920609246457	0.0886394725297641
L3MBTL4	91	3.10547808759334	0.00189971695805321	0.0886394725297641
DAPK1	84	3.10063282128999	0.00193107585430527	0.0886394725297641
PPARGC1A	63	-3.09292102723287	0.00198196870244407	0.0886394725297641
MAGI2	76	3.08947161507378	0.00200512865600995	0.0886394725297641
ZNF85	20	3.08419497425317	0.00204103785898659	0.0886394725297641
RFX5	92	-3.08250753847929	0.00205264531363362	0.0886394725297641
HIPK2	85	-3.08089456684237	0.002063797129843	0.0886394725297641
