tf	target	mor	likelihood	state
ATF4	CHAC1	0	1	inhibition
ATF4	DDIT4	0	1	inhibition
ATF4	DISC1	0	1	inhibition
ATF4	FGF21	-0.670816422948885	1	inhibition
ATF6	CALR	-0.80460983274494	1	inhibition
ATF6	DNAJC3	1.51806280877846e-08	1	activation
ATF6	HSP90B1	0	1	inhibition
CDX2	CFTR	0	1	inhibition
CDX2	SLC9A3	-0.671087118378475	1	inhibition
CEBPD	CFTR	0	1	inhibition
CEBPD	GADD45G	0	1	inhibition
CEBPD	GAPDH	0	1	inhibition
CEBPD	POU5F1	0	1	inhibition
CEBPD	TNF	0	1	inhibition
CEBPD	CCND1	0	1	inhibition
CEBPD	NFIL3	0	1	inhibition
CREB1	ADRA1A	0	1	inhibition
CREB1	AQP2	-0.771651251021117	1	inhibition
CREB1	AQP3	0.728457478960535	1	activation
CREB1	BDKRB1	0.942815961865693	1	activation
CREB1	BDNF	-0.685374322182885	1	inhibition
CREB1	CCL5	0	1	inhibition
CREB1	CCND1	0.942815961865693	1	activation
CREB1	CD4	1.2571058359634e-48	1	activation
CREB1	CDK11A	2.77251930276372e-65	1	activation
CREB1	CGA	-0.676361072899643	1	inhibition
CREB1	CIITA	0	1	inhibition
CREB1	CPT1A	-0.676570470219176	1	inhibition
CREB1	CXCR4	0.942815961865693	1	activation
CREB1	CYP11A1	0.738252407818667	1	activation
CREB1	CYP11B2	-0.843109126065749	1	inhibition
CREB1	CYP17A1	2.13098433005471e-111	1	activation
CREB1	EGR1	0.767256173719701	1	activation
CREB1	ETV3	0	1	inhibition
CREB1	FLT1	0.942815961865693	1	activation
CREB1	G6PC	0.942815961865693	1	activation
CREB1	HLA-DQB1	0.942815961865693	1	activation
CREB1	HLA-DRA	0	1	inhibition
CREB1	HMOX1	0	1	inhibition
CREB1	HPGD	0	1	inhibition
CREB1	IFNG	1.54273169274767e-14	1	activation
CREB1	IL2	0	1	inhibition
CREB1	JUN	0.352452794404343	1	activation
CREB1	MSMB	0.898630805668422	1	activation
CREB1	MUC4	7.14684564365955e-66	1	activation
CREB1	MUC5AC	0	1	inhibition
CREB1	NOLC1	0	1	inhibition
CREB1	NPY	0.942815961865693	1	activation
CREB1	NR4A2	0	1	inhibition
CREB1	NR4A3	0	1	inhibition
CREB1	PCK2	0	1	inhibition
CREB1	PLAT	0.942815961865693	1	activation
CREB1	RARB	0.942815961865693	1	activation
CREB1	SLC19A1	0.942815961865693	1	activation
CREB1	SLC20A1	6.36389744292939e-64	1	activation
CREB1	STAR	0.942815961865693	1	activation
CREB1	TH	-0.678644492217656	1	inhibition
CREB1	UCP1	0.905538236013009	1	activation
CREB1	VIP	-0.768401616592078	1	inhibition
CTCF	ACKR3	-0.698671752803317	1	inhibition
CTCF	ALDH1A3	-0.750508067222999	1	inhibition
CTCF	ANG	-0.718647751831433	1	inhibition
CTCF	ASAP2	0	1	inhibition
CTCF	ATN1	0	1	inhibition
CTCF	ATXN7	0	1	inhibition
CTCF	B4GALNT1	-0.679369093933863	1	inhibition
CTCF	BATF2	0	1	inhibition
CTCF	BBC3	0	1	inhibition
CTCF	BCL2L14	0	1	inhibition
CTCF	CCND1	0	1	inhibition
CTCF	CD80	0	1	inhibition
CTCF	CDKN2A	0	1	inhibition
CTCF	CELSR3	0	1	inhibition
CTCF	CFTR	0	1	inhibition
CTCF	CHRNA6	-0.747587600059026	1	inhibition
CTCF	CNIH1	0	1	inhibition
CTCF	CSF2	-0.762953295727871	1	inhibition
CTCF	CT45A5	0	1	inhibition
CTCF	DEFB123	0	1	inhibition
CTCF	DIP2B	0	1	inhibition
CTCF	DMPK	0	1	inhibition
CTCF	EPX	0	1	inhibition
CTCF	ESRP2	0	1	inhibition
CTCF	FBXO7	0	1	inhibition
CTCF	GALNT6	0	1	inhibition
CTCF	GALT	0	1	inhibition
CTCF	GAS7	0	1	inhibition
CTCF	H19	0	1	inhibition
CTCF	HAUS7	0	1	inhibition
CTCF	HS1BP3	9.99480899352873e-303	1	activation
CTCF	IGF2	-0.730487061346029	1	inhibition
CTCF	IPO13	0	1	inhibition
CTCF	KSR1	-0.676989613994861	1	inhibition
CTCF	LRRC59	0	1	inhibition
CTCF	MEG3	0	1	inhibition
CTCF	MMP10	0	1	inhibition
CTCF	NBN	0	1	inhibition
CTCF	NPC1	0	1	inhibition
CTCF	NT5C3A	-0.674572901017746	1	inhibition
CTCF	PAGE4	0	1	inhibition
CTCF	PBXIP1	0	1	inhibition
CTCF	PMPCB	-0.700285782505594	1	inhibition
CTCF	POMT2	0	1	inhibition
CTCF	PPARD	0	1	inhibition
CTCF	PPRC1	0	1	inhibition
CTCF	PRNT	0	1	inhibition
CTCF	PRSS35	0	1	inhibition
CTCF	PTPRG	0	1	inhibition
CTCF	RAD21	0	1	inhibition
CTCF	RARRES1	0	1	inhibition
CTCF	RBL2	0	1	inhibition
