A	B
MAR04358	PKM
MAR04358	TMEM54
MAR04358	PKLR
MAR04358	HCN3
MAR08568	LYZL1
MAR08568	AMY1B
MAR08568	AMY1C
MAR08568	AMY1A
MAR08568	AMY2B
MAR08568	AMY2A
MAR08570	LYZL1
MAR08570	AMY1B
MAR08570	AMY1C
MAR08570	AMY1A
MAR08570	AMY2B
MAR08570	AMY2A
MAR08571	LYZL1
MAR08571	AMY1B
MAR08571	AMY1C
MAR08571	AMY1A
MAR08571	AMY2B
MAR08571	AMY2A
MAR08572	LYZL1
MAR08572	AMY1B
MAR08572	AMY1C
MAR08572	AMY1A
MAR08572	AMY2B
MAR08572	AMY2A
MAR08573	LYZL1
MAR08573	AMY1B
MAR08573	AMY1C
MAR08573	AMY1A
MAR08573	AMY2B
MAR08573	AMY2A
MAR08574	LYZL1
MAR08574	AMY1B
MAR08574	AMY1C
MAR08574	AMY1A
MAR08574	AMY2B
MAR08574	AMY2A
MAR08575	LYZL1
MAR08575	AMY1B
MAR08575	AMY1C
MAR08575	AMY1A
MAR08575	AMY2B
MAR08575	AMY2A
MAR08576	LYZL1
MAR08576	AMY1B
MAR08576	AMY1C
MAR08576	AMY1A
MAR08576	AMY2B
MAR08576	AMY2A
MAR08583	MGAM
MAR04303	SI
MAR04303	GAA
MAR04303	GANC
MAR04303	MGAM
MAR04193	PKM
MAR04193	PKLR
MAR08507	ADHFE1
MAR08507	ADH6
MAR08507	PTGR3
MAR08507	ADH1A
MAR08507	ADH7
MAR08507	ADH1B
MAR08507	ADH5
MAR08507	ADH4
MAR08507	ADH1C
MAR08509	AKR7A2
MAR08509	AKR1B1
MAR08509	AKR1A1
MAR04477	RPE
MAR04477	RPEL1
MAR04134	ENTPD2
MAR04134	ENTPD1
MAR04134	ENTPD3
MAR04134	CANT1
MAR04134	ENTPD5
MAR04134	ENTPD8
MAR04134	ENTPD4
MAR04134	ENTPD6
MAR04171	PKM
MAR04171	PKLR
MAR04421	PKM
MAR04421	PKLR
MAR04450	ACP3
MAR04450	NT5C2
MAR04450	NT5C1A
MAR04450	NT5C3A
MAR04450	NT5C
MAR04450	NT5E
MAR04450	NT5C3B
MAR04450	RBAK
MAR04450	NT5C1B
MAR04450	NT5M
MAR04450	NT5C1B-RDH14
MAR04573	PKM
MAR04573	PKLR
MAR04018	NME1-NME2
MAR04018	NME3
MAR04018	NME4
MAR04018	NME5
MAR04018	NME7
MAR04018	NME6
MAR04018	NME1
MAR04018	NME2
MAR04030	NME1-NME2
MAR04030	NME3
MAR04030	NME4
MAR04030	NME5
MAR04030	NME7
MAR04030	NME6
MAR04030	NME1
MAR04030	NME2
MAR04210	PKM
MAR04210	PKLR
MAR06627	PKM
MAR06627	PKLR
MAR04136	ENTPD2
MAR04136	DNM2
MAR04136	DNM1L
MAR04136	EEF1A2
MAR04136	DNM1
MAR04136	ENTPD1
MAR04136	EFL1
MAR04136	EEF1A1
MAR04136	GFM2
MAR04136	EEF2
MAR04136	ENTPD3
MAR04136	GFM1
MAR04136	CANT1
MAR04136	TUFM
MAR04136	ENTPD5
MAR04136	ENTPD8
MAR04136	ENTPD4
MAR04136	ENTPD6
MAR04136	DNM3
MAR04342	ENTPD2
MAR04342	ENTPD1
MAR04342	ENTPD3
MAR04342	CANT1
MAR04342	ENTPD5
MAR04342	ENTPD8
MAR04342	ENTPD4
MAR04342	ENTPD6
MAR07879	ITPA
MAR07880	NT5C
MAR08488	ITPA
MAR08489	ITPA
MAR03829	GOT1
MAR03829	GOT1L1
MAR03831	FH
MAR06969	ASPA
MAR06969	ACY3
MAR07642	PLPBP
MAR03956	CA5B
MAR03956	CA5A
MAR06817	CRYZ
MAR03995	ATG9B
MAR03995	TXNRD2
MAR03995	TXNRD3
MAR03995	TXNRD1
MAR03988	HEXB
MAR03988	HEXD
MAR03988	HEXA
MAR08375	MANSC1
MAR08375	CHI3L1
MAR08375	CHIT1
MAR08375	CHIA
MAR05407	CA12
MAR05407	CA2
MAR05407	CA9
MAR05407	CA14
MAR05407	CA6
MAR05407	CA1
MAR05407	NAE1
MAR05407	CA3
MAR05407	CA4
MAR05407	CA7
MAR05407	CA5B
MAR05407	CA5A
MAR05407	CA8
MAR05407	CA13
MAR03480	SLC27A2
MAR03491	AMACR
MAR03493	SLC27A2
MAR07976	AKR1C1
MAR07980	UGT1A1
MAR07980	UGT1A8
MAR07980	UGT1A10
MAR04390	ALPL
MAR04390	ALPP
MAR04390	ALPG
MAR04390	ALPI
MAR00615	CEPT1
MAR00615	SELENOI
MAR00616	PISD
MAR00641	ACHE
MAR00641	BCHE
MAR00660	PLD1
MAR00660	PLD3
MAR00660	PLD2
MAR00660	PLD4
MAR08362	CHAT
MAR08421	ACHE
MAR08421	BCHE
MAR04257	NMNAT2
MAR04257	NMNAT3
MAR04257	NMNAT1
MAR04276	NMNAT1
MAR04332	DHFR2
MAR04332	DHFR
MAR04333	DHFR2
MAR04333	DHFR
MAR04335	DHFR2
MAR04335	DHFR
MAR04654	DHFR2
MAR04654	DHFR
MAR04655	DHFR2
MAR04655	DHFR
MAR08346	RGN
MAR06632	RDH11
MAR06632	DHRS9
MAR06632	RDH8
MAR06632	RDH10
MAR06632	RDH12
