name	pvalue	mean.diff
MAR00050	0.0241244510	-0.0379180780
MAR00072	0.0462578130	-0.0093954273
MAR00077	0.0440529037	 0.0027675102
MAR00079	0.0029585340	 0.0442009765
MAR00120	0.0376209281	 0.0055885719
MAR00122	0.0376209281	 0.0055885719
MAR00124	0.0409951371	 0.0343751986
MAR00136	0.0181610617	-0.0173803902
MAR00137	0.0277673058	-0.1077765941
MAR00225	0.0219113531	-0.0370583293
MAR00440	0.0252242289	 0.0094526581
MAR00444	0.0468615413	-0.2881501243
MAR00562	0.0170822125	 0.0292120375
MAR00563	0.0170822125	 0.0292120375
MAR00568	0.0476199502	 0.0054575795
MAR00569	0.0277516038	-0.0154145972
MAR00572	0.0181610617	-0.0173803902
MAR00576	0.0475480649	-0.0194919997
MAR00606	0.0462578130	-0.0093954273
MAR00608	0.0462575864	-0.0093954382
MAR00611	0.0470658661	-0.0099236848
MAR00615	0.0482208567	-0.0229305968
MAR00616	0.0482208567	-0.0229305968
MAR00617	0.0075413733	-0.0132573549
MAR00624	0.0161709423	-0.0123264071
MAR00631	0.0259318952	-0.0112878254
MAR00639	0.0478902937	-0.0098596770
MAR00641	0.0347062377	-0.0298277833
MAR00650	0.0378598792	-0.0095210130
MAR00655	0.0059657526	-0.0033078824
MAR00656	0.0002952089	-0.0110695555
MAR00659	0.0252242289	 0.0094526581
MAR00660	0.0484977068	-0.0228995006
MAR00698	0.0493746017	-0.0081716191
MAR00714	0.0130299473	-0.0070232536
MAR00740	0.0252242289	 0.0094526581
MAR01038	0.0439694444	 0.0172312511
MAR01047	0.0276969678	-0.0912984377
MAR01090	0.0348846972	-0.0223777595
MAR01095	0.0045415819	 0.0108551838
MAR01461	0.0123258720	-0.0239679158
MAR01472	0.0439694444	 0.0172312511
MAR01514	0.0259318952	-0.0112878254
MAR01617	0.0252242289	 0.0094526581
MAR01621	0.0059596570	-0.2430937601
MAR01633	0.0440529037	 0.0027675102
MAR01640	0.0341170454	-0.0189285758
MAR01707	0.0451326441	 0.0076701983
MAR01780	0.0241244510	-0.0379180780
MAR01782	0.0359478699	-0.0259611405
MAR01793	0.0266360602	-0.0188236222
MAR01871	0.0452711617	-0.0325620125
MAR01921	0.0356608182	-0.0361842838
MAR01956	0.0480487891	-0.0131291973
MAR01972	0.0414273534	-0.0161484239
MAR02121	0.0440529037	 0.0027675102
MAR02123	0.0440529037	 0.0027675102
MAR02186	0.0452711617	-0.0325620125
MAR02278	0.0440529037	 0.0027675102
MAR02280	0.0440529037	 0.0027675102
MAR03210	0.0214436204	 0.0085470673
MAR03387	0.0001237875	 0.1019573450
MAR03480	0.0252242289	 0.0094526581
MAR03491	0.0001237875	 0.1019573450
MAR03493	0.0001237875	 0.1019573450
MAR03815	0.0214436204	 0.0085470673
MAR03829	0.0306633543	 0.0639919415
MAR03831	0.0356056984	 0.0660555120
MAR03858	0.0031934975	 0.0415517097
MAR03955	0.0040715442	-0.0241469091
MAR03956	0.0462358679	 0.0189156752
MAR03987	0.0352382591	-0.0165640721
MAR03988	0.0352382591	-0.0165640721
MAR03995	0.0278442592	 0.0063026251
MAR03996	0.0278442592	 0.0063026251
MAR04018	0.0261551197	 0.0388729461
MAR04030	0.0376209281	 0.0055885719
MAR04063	0.0185931048	-0.0171207480
MAR04134	0.0377488674	-0.0201796513
MAR04136	0.0491374761	-0.0127514258
MAR04142	0.0412013392	-0.0146105801
MAR04147	0.0261551197	 0.0388729461
MAR04152	0.0261551197	 0.0388729461
MAR04171	0.0144179863	-0.3467230783
MAR04193	0.0144179863	-0.3467230783
MAR04210	0.0144179863	-0.3467230783
MAR04256	0.0280259024	-0.0121848155
MAR04257	0.0045415819	 0.0108551838
MAR04274	0.0045415819	 0.0108551838
MAR04275	0.0045415819	 0.0108551838
MAR04276	0.0045415819	 0.0108551838
MAR04293	0.0451830479	-0.0142349715
MAR04303	0.0011894898	 0.0007011528
MAR04321	0.0218752398	-0.0213278604
MAR04322	0.0334219825	-0.0079265385
MAR04332	0.0148290045	 0.1157125000
MAR04333	0.0148290045	 0.1157125000
MAR04335	0.0149593849	 0.0275276197
MAR04342	0.0495405273	-0.0227180969
MAR04358	0.0148763330	-0.2791894813
MAR04384	0.0009060436	-0.0059619697
MAR04390	0.0356608182	-0.0361842838
MAR04421	0.0107680102	-0.4169374643
MAR04450	0.0379954232	-0.0179072072
MAR04457	0.0478902937	-0.0098596770
MAR04477	0.0486286078	 0.0503250235
MAR04561	0.0014485796	 0.0222221464
MAR04573	0.0144179863	-0.3467230783
MAR04624	0.0411860071	 0.0103892748
MAR04654	0.0148290045	 0.1157125000
MAR04655	0.0148290045	 0.1157125000
MAR04691	0.0069424519	-0.0707565414
MAR04765	0.0009046852	-0.0419502774
MAR04848	0.0293463132	-0.0230052816
MAR04856	0.0059596570	-0.2430937601
MAR04859	0.0478902937	-0.0098596770
MAR04861	0.0039235217	 0.1154708507
MAR04874	0.0186207077	 0.0635929964
MAR04875	0.0439215020	 0.0077127181
MAR04884	0.0411860071	 0.0103892748
MAR04885	0.0078577327	-0.2995686111
MAR04899	0.0478902937	-0.0098596770
MAR04916	0.0348846972	-0.0223777595
MAR04918	0.0478902937	-0.0098596770
MAR04919	0.0098353191	-0.0392656983
MAR04947	0.0187225357	-0.0106766199
MAR04949	0.0062188748	-0.3229137454
MAR04954	0.0352139214	-0.0331951562
MAR04958	0.0451326441	 0.0076701983
MAR04993	0.0440039238	-0.0082932946
MAR04995	0.0285568697	 0.0257901258
MAR05004	0.0009046852	-0.0419502774
MAR05005	0.0196556609	-0.1130649580
MAR05068	0.0406574307	-0.1267478307
MAR05071	0.0406574307	-0.1267478307
MAR05078	0.0146117785	-0.0569432138
MAR05094	0.0406574307	-0.1267478307
MAR05127	0.0003412022	 0.0112925115
MAR05303	0.0466077215	-0.0081023562
MAR05342	0.0123258720	-0.0239679158
MAR05347	0.0115578388	-0.0251632089
MAR05406	0.0040715442	-0.0241469091
MAR05407	0.0040307861	-0.0035907341
MAR05409	0.0098283811	-0.0393110213
MAR05422	0.0045415819	 0.0108551838
MAR05455	0.0361229612	-0.0665070438
MAR05458	0.0015430303	-0.1504299453
MAR05459	0.0003376888	-0.0425406173
MAR05460	0.0046934995	-0.1252608011
MAR05470	0.0046934995	-0.1252608011
MAR05473	0.0048849916	-0.1235738135
MAR05474	0.0004343957	-0.0419794556
MAR05479	0.0001363541	-0.0369177304
MAR05484	0.0004343957	-0.0419794556
MAR05487	0.0012409444	-0.1856848914
MAR05492	0.0092223802	-0.1051900769
MAR05497	0.0012409444	-0.1856848914
MAR05504	0.0001695916	-0.0363647928
MAR05509	0.0004343957	-0.0419794556
MAR05554	0.0001695916	-0.0363647928
MAR05578	0.0489150388	 0.0754742657
MAR05579	0.0489150388	 0.0754742657
MAR05580	0.0489150388	 0.0754742657
MAR05581	0.0489150388	 0.0754742657
MAR05582	0.0489150388	 0.0754742657
MAR05583	0.0489150388	 0.0754742657
MAR05584	0.0489150388	 0.0754742657
MAR05587	0.0065350790	-0.1076565356
MAR05588	0.0126087046	-0.0645089078
MAR05589	0.0065350790	-0.1076565356
MAR05599	0.0065350790	-0.1076565356
MAR05602	0.0065148379	-0.1076113704
MAR05603	0.0030289373	-0.1198486938
MAR05604	0.0048394009	-0.0733401151
MAR05609	0.0050337316	-0.0654662885
MAR05614	0.0048394009	-0.0733401151
MAR05618	0.0050446839	-0.0778481678
MAR05619	0.0050446839	-0.0778481678
MAR05624	0.0137285999	-0.0585591681
MAR05629	0.0050446839	-0.0778481678
MAR05632	0.0065148379	-0.1076113704
MAR05633	0.0048394009	-0.0733401151
MAR05634	0.0030289373	-0.1198486938
MAR05639	0.0050337316	-0.0654662885
MAR05644	0.0048394009	-0.0733401151
MAR05709	0.0030511229	-0.1156239927
MAR05719	0.0336202726	-0.0546718656
MAR05782	0.0065148379	-0.1076113704
MAR05783	0.0048394009	-0.0733401151
