	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00001	1.05661129	1.09604913	-0.03943784	0.01055013	-0.0528677375938365
MAR00002	1.07774969	1.1203623	-0.04261262	0.01148044	-0.0559431953552503
MAR00003	0.38121686	0.40897154	-0.02775468	0.01742389	-0.101388524237453
MAR00004	0.72451445	0.74814581	-0.02363136	0.05701985	-0.0463050080579971
MAR00005	0.72451445	0.74814581	-0.02363136	0.05701985	-0.0463050080579971
MAR00006	0.66070601	0.69346434	-0.03275833	0.01822725	-0.0698132287787852
MAR00007	1.0777333	1.12034523	-0.04261194	0.01148046	-0.0559431541945479
MAR00008	0.36793899	0.40227167	-0.03433268	0.01049304	-0.128703574814306
MAR00009	0.71266321	0.74221079	-0.02954758	0.03412476	-0.0586085249177698
MAR00010	0.71266321	0.74221079	-0.02954758	0.03412476	-0.0586085249177698
MAR00011	1.46603967	1.49699046	-0.03095079	0.01379816	-0.0301408851280157
MAR00012	1.3424761	1.36958185	-0.02710575	0.01431741	-0.0288390838171666
MAR00013	0.86546954	0.88645757	-0.02098803	0.03448464	-0.0345685334853612
MAR00014	0.51201903	0.52706449	-0.01504546	0.06598504	-0.0417820651453807
MAR00016	1.16188771	1.18531429	-0.02342658	0.01580516	-0.0287989981950465
MAR00018	1.4531821	1.47518088	-0.02199878	0.05066498	-0.0216763619010719
MAR00019	2.06154135	2.06500011	-0.003458768	0.5137503	-0.00241845967938569
MAR00020	2.06154135	2.06500011	-0.003458768	0.5137503	-0.00241845967938569
MAR00025	5.15605354	5.12926069	0.02679285	0.05076555	0.00751634775470345
MAR00030	5.15605354	5.12926069	0.02679285	0.05076555	0.00751634775470345
MAR00031	4.91138267	4.88267713	0.02870554	0.1165118	0.00845685234397611
MAR00032	4.91138267	4.88267713	0.02870554	0.1165118	0.00845685234397611
MAR00035	6.32612622	6.33418229	-0.008056074	0.1531065	-0.00183604590639401
MAR00036	4.61697969	4.6348474	-0.01786771	0.02324617	-0.00557245361519418
MAR00037	4.85636714	4.87059978	-0.01423264	0.02514413	-0.00422194790413258
MAR00038	2.03378799	2.01933267	0.01445532	0.5979121	0.0102906913708957
MAR00039	3.02679788	3.04616777	-0.01936989	0.05395261	-0.00920306177193611
MAR00040	0.69516448	0.71868759	-0.0235231	0.09794175	-0.048010406065535
MAR00041	2.89292415	2.9124898	-0.01956565	0.1012139	-0.00972449969770929
MAR00045	2.50437911	2.52827245	-0.02389334	0.3578582	-0.013698966326229
MAR00047	0.66053703	0.68408266	-0.02354563	0.1026987	-0.0505312194545463
MAR00048	0.66053703	0.68408266	-0.02354563	0.1026987	-0.0505312194545463
MAR00050	2.17783245	2.22763209	-0.04979964	0.001688278	-0.0326180149398189
MAR00052	4.65596103	4.67932609	-0.02336505	0.0179291	-0.00722178678535118
MAR00053	2.95879044	3.1187974	-0.160007	0.002454283	-0.0759823174490876
MAR00054	4.06899191	4.08667067	-0.01767876	0.04115143	-0.00625457443305156
MAR00056	0.96695629	0.98211779	-0.01516149	0.09936994	-0.0224453880848476
MAR00057	2.54759126	2.56415719	-0.01656593	0.3923479	-0.00935087826072745
