A	B
MAR04837	TREH
MAR04837	PGGHG
MAR08344	AKR1A1
MAR08726	RBKS
MAR06537	AKR1A1
MAR03797	ACSS3
MAR03797	ACSS2
MAR03797	ACSS1
MAR04460	ACSS3
MAR04460	ACSS2
MAR04460	ACSS1
MAR04476	SAT1
MAR04476	SAT2
MAR05353	GUK1
MAR04572	NME1-NME2
MAR04572	NME3
MAR04572	NME4
MAR04572	NME5
MAR04572	NME7
MAR04572	NME6
MAR04572	NME1
MAR04572	NME2
MAR04637	DTYMK
MAR06612	DTYMK
MAR07878	NME1-NME2
MAR07878	NME3
MAR07878	NME4
MAR07878	NME5
MAR07878	NME7
MAR07878	NME6
MAR07878	NME1
MAR07878	NME2
MAR07881	NME1-NME2
MAR07881	NME1
MAR07881	NME2
MAR07886	NME1-NME2
MAR07886	NME3
MAR07886	NME4
MAR07886	NME5
MAR07886	NME7
MAR07886	AK9
MAR07886	NME6
MAR07886	NME1
MAR07886	NME2
MAR07890	NME1-NME2
MAR07890	NME3
MAR07890	NME4
MAR07890	NME5
MAR07890	NME7
MAR07890	AK9
MAR07890	NME6
MAR07890	NME1
MAR07890	NME2
MAR07893	NME1-NME2
MAR07893	NME1
MAR07893	NME2
MAR08482	TXNRD2
MAR08482	TXNRD3
MAR08482	TXNRD1
MAR04118	GSR
MAR07641	DDO
MAR03819	ALDH4A1
MAR03838	PRODH
MAR03838	PRODH2
MAR04583	GAMT
MAR08610	PRODH2
MAR08611	PRODH
MAR08611	PRODH2
MAR03770	ACADSB
MAR03995	ATG9B
MAR03995	TXNRD2
MAR03995	TXNRD3
MAR03995	TXNRD1
MAR03769	IVD
MAR03796	ACSS3
MAR03796	ACSS2
MAR03796	ACSS1
MAR04532	CMAS
MAR04536	CMAS
MAR08377	CMAS
MAR00156	ACSM3
MAR00156	ACSM2B
MAR00156	ACSM1
MAR00156	ACSM5
MAR00156	ACSM2A
MAR00156	ACSM4
MAR00180	ACSM3
MAR00180	ACSM2B
MAR00180	ACSM1
MAR00180	ACSM5
MAR00180	ACSM2A
MAR00180	ACSM4
MAR01045	GPX7
MAR01045	PRDX6
MAR01045	GPX8
MAR01045	GPX4
MAR01045	GPX2
MAR01045	GPX6
MAR01045	GPX3
MAR01045	GPX5
MAR01045	GPX1
MAR02591	CPT1A
MAR02591	CPT1C
MAR02591	CPT1B
MAR03030	CRAT
MAR03035	SLC25A20
MAR03035	SLC25A29
MAR03037	CRAT
MAR02778	SLC22A5
MAR02780	CRAT
MAR00736	SGMS2
MAR00736	SGMS1
MAR00625	CHPT1
MAR00625	CEPT1
MAR01339	TBXAS1
MAR01581	CYP7A1
MAR01584	HSD3B7
MAR01585	HSD3B7
MAR03925	QDPR
MAR04165	SPR
MAR04166	SPR
MAR04167	SPR
MAR04523	QDPR
MAR00167	SLC27A6
MAR00167	FABP3
MAR00167	SLC27A1
MAR00167	CD36
MAR00167	SLC27A3
MAR00167	FABP2
MAR00167	FABP1
MAR00167	FABP7
MAR00167	FABP5
MAR00167	SLC27A4
MAR00167	FABP6
MAR00167	FABP4
MAR00167	FABP12
MAR00167	FABP9
MAR05023	RHAG
MAR05333	SLC38A2
MAR05333	SLC38A4
MAR05333	SLC6A14
MAR05992	SLC13A3
MAR06380	SLC38A5
MAR06380	SLC38A1
MAR06380	SLC38A2
MAR06380	SLC38A4
MAR06380	SLC6A14
MAR06328	SLC25A5
MAR06328	SLC25A4
MAR06328	SLC25A6
MAR07804	SLC25A19
MAR07806	SLC25A19
MAR07808	SLC25A19
MAR07810	SLC25A19
MAR07812	SLC25A19
MAR07814	SLC25A19
MAR07818	SLC25A19
MAR07820	SLC25A19
MAR07822	SLC25A19
MAR07824	SLC25A19
MAR07830	SLC25A19
MAR07835	SLC25A19
MAR07836	SLC25A19
MAR07837	SLC25A19
MAR07838	SLC25A19
MAR07839	SLC25A19
MAR07840	SLC25A19
MAR07841	SLC25A19
MAR07842	SLC25A19
MAR07843	SLC25A19
MAR07844	SLC25A19
MAR07847	SLC25A19
MAR07848	SLC25A19
MAR07849	SLC25A19
MAR07850	SLC25A19
MAR07851	SLC25A19
MAR07852	SLC25A19
MAR07853	SLC25A19
MAR07854	SLC25A19
MAR04535	SLC35A1
MAR07743	KPNA6
MAR07743	XPO7
MAR07743	XPO6
MAR00730	VAPA
MAR00730	CERT1
MAR00730	VAPB
MAR00730	CSNK1G2
MAR00730	PPM1L
MAR00730	PRKD1
MAR00057	SLC33A1
MAR00095	SLC19A3
MAR02341	GLB1
MAR02358	TXNRD2
MAR02358	TXNRD1
MAR03043	CPA1
MAR03043	CPA2
MAR03043	CPA5
MAR03043	CPA6
MAR03273	ACSL4
MAR03273	ACSL3
MAR03273	ACSL1
MAR03273	ACSL6
MAR03273	ACSL5
MAR04457	CPT1A
MAR04457	CPT1C
MAR04457	CPT1B
MAR05434	CPT1A
MAR05434	CPT1C
MAR05434	CPT1B
MAR11433	SLC19A2
MAR11433	SLC19A3
MAR12372	ACAA1
MAR12372	EHHADH
MAR12372	HSD17B4
MAR12372	ACOX1
MAR12432	PON3
MAR12440	PON3
MAR12441	ABCB1
MAR12754	ABCB1
MAR12756	CYP2C9
MAR12756	CYP3A4
MAR12806	SLC22A7
