A	B
MAR04371	1,3-bisphospho-D-glycerate[c]
MAR04371	2,3-bisphospho-D-glycerate[c]
MAR04371	H+[c]
MAR04372	2,3-bisphospho-D-glycerate[c]
MAR04372	H2O[c]
MAR04372	3-phospho-D-glycerate[c]
MAR04372	Pi[c]
MAR04377	fructose-1,6-bisphosphate[c]
MAR04377	H2O[c]
MAR04377	fructose-6-phosphate[c]
MAR04377	Pi[c]
MAR04394	ATP[c]
MAR04394	glucose[c]
MAR04394	ADP[c]
MAR04394	glucose-6-phosphate[c]
MAR04394	H+[c]
MAR04521	glucose-6-phosphate[r]
MAR04521	H2O[r]
MAR04521	glucose[r]
MAR04521	Pi[r]
MAR03989	H2O[e]
MAR03989	maltose[e]
MAR03989	glucose[e]
MAR08568	H2O[c]
MAR08568	maltodecaose[c]
MAR08568	fructose[c]
MAR08568	maltononaose[c]
MAR08570	H2O[c]
MAR08570	maltononaose[c]
MAR08570	fructose[c]
MAR08570	maltoheptaose[c]
MAR08572	H2O[c]
MAR08572	maltoheptaose[c]
MAR08572	fructose[c]
MAR08572	maltohexaose[c]
MAR08573	H2O[e]
MAR08573	maltoheptaose[e]
MAR08573	glucose[e]
MAR08573	maltohexaose[e]
MAR08574	H2O[c]
MAR08574	maltohexaose[c]
MAR08574	fructose[c]
MAR08574	maltopentaose[c]
MAR08575	H2O[e]
MAR08575	maltohexaose[e]
MAR08575	glucose[e]
MAR08575	maltopentaose[e]
MAR08576	H2O[c]
MAR08576	maltopentaose[c]
MAR08576	fructose[c]
MAR08576	maltotetraose[c]
MAR08577	H2O[e]
MAR08577	maltopentaose[e]
MAR08577	glucose[e]
MAR08577	maltotetraose[e]
MAR08578	H2O[c]
MAR08578	maltotetraose[c]
MAR08578	fructose[c]
MAR08578	maltotriose[c]
MAR08579	H2O[e]
MAR08579	maltotetraose[e]
MAR08579	glucose[e]
MAR08579	maltotriose[e]
MAR08581	H2O[e]
MAR08581	maltotriose[e]
MAR08581	glucose[e]
MAR08581	maltose[e]
MAR08591	H2O[c]
MAR08591	maltotriose[c]
MAR08591	glucose[c]
MAR08591	maltose[c]
MAR08592	H2O[l]
MAR08592	maltotriose[l]
MAR08592	glucose[l]
MAR08592	maltose[l]
MAR08580	H2O[c]
MAR08580	maltotriose[c]
MAR08580	fructose[c]
MAR08580	maltose[c]
MAR08582	H2O[c]
MAR08582	maltose[c]
MAR08582	fructose[c]
MAR08587	H2O[c]
MAR08587	maltose[c]
MAR08587	glucose[c]
MAR08589	H2O[l]
MAR08589	maltose[l]
MAR08589	glucose[l]
MAR08583	H2O[e]
MAR08583	starch structure 1[e]
MAR08583	glucose[e]
MAR08583	starch structure 2[e]
MAR08726	ATP[c]
MAR08726	D-ribulose[c]
MAR08726	ADP[c]
MAR08726	H+[c]
MAR08726	ribulose-5-phosphate[c]
MAR04089	malate[c]
MAR04089	NADP+[c]
MAR04089	CO2[c]
MAR04089	NADPH[c]
MAR04089	pyruvate[c]
MAR04101	GTP[c]
MAR04101	OAA[c]
MAR04101	CO2[c]
MAR04101	GDP[c]
MAR04101	PEP[c]
MAR04103	GTP[m]
MAR04103	OAA[m]
MAR04103	CO2[m]
MAR04103	GDP[m]
MAR04103	PEP[m]
MAR04280	H+[m]
MAR04280	NADH[m]
MAR04280	pyruvate[m]
MAR04280	L-lactate[m]
MAR04280	NAD+[m]
MAR03797	AMP[m]
MAR03797	PPi[m]
MAR03797	propanoyl-CoA[m]
MAR03797	ATP[m]
MAR03797	CoA[m]
MAR03797	propanoate[m]
MAR04460	ATP[m]
MAR04460	H+[m]
MAR04460	propanoate[m]
MAR04460	PPi[m]
MAR04460	propinol adenylate[m]
MAR04398	2-deoxy-D-ribose-5-phosphate[c]
MAR04398	acetaldehyde[c]
MAR04398	GAP[c]
MAR04476	6-phospho-D-gluconate[c]
MAR04476	ADP[c]
MAR04476	H+[c]
MAR04476	ATP[c]
MAR04476	D-gluconic acid[c]
MAR04841	H+[c]
MAR04841	NADH[c]
MAR04841	ribose[c]
MAR04841	NAD+[c]
MAR04841	ribitol[c]
MAR04004	ADP[m]
MAR04004	AMP[m]
MAR04004	ATP[m]
MAR04487	dATP[c]
MAR04487	glucose[c]
MAR04487	dADP[c]
MAR04487	glucose-6-phosphate[c]
MAR04487	H+[c]
MAR04519	H2O[c]
MAR04519	hypoxanthine[c]
MAR04519	NAD+[c]
MAR04519	H+[c]
MAR04519	NADH[c]
MAR04519	xanthine[c]
MAR04520	H2O[c]
MAR04520	hypoxanthine[c]
MAR04520	O2[c]
MAR04520	H2O2[c]
MAR04520	xanthine[c]
MAR04646	H2O[c]
MAR04646	NAD+[c]
MAR04646	xanthine[c]
MAR04646	H+[c]
MAR04646	NADH[c]
MAR04646	urate[c]
MAR04648	H2O[x]
MAR04648	NAD+[x]
MAR04648	xanthine[x]
MAR04648	H+[x]
MAR04648	NADH[x]
MAR04648	urate[x]
MAR04649	H2O[c]
MAR04649	O2[c]
MAR04649	xanthine[c]
MAR04649	H2O2[c]
MAR04649	urate[c]
MAR04650	H2O[x]
MAR04650	O2[x]
MAR04650	xanthine[x]
MAR04650	H2O2[x]
MAR04650	urate[x]
MAR06606	ascorbate[c]
MAR06606	urate radical[c]
MAR06606	monodehydroascorbate[c]
MAR06606	urate[c]
MAR06610	5-hydroxyisourate[c]
MAR06610	H2O[c]
MAR06610	allantoin[c]
MAR06610	CO2[c]
MAR06611	H2O[c]
MAR06611	O2[c]
MAR06611	urate[c]
MAR06611	5-hydroxyisourate[c]
MAR06611	H2O2[c]
MAR08755	H2O[x]
MAR08755	hypoxanthine[x]
MAR08755	O2[x]
MAR08755	H2O2[x]
MAR08755	xanthine[x]
MAR04034	ATP[c]
MAR04034	glutamine[c]
MAR04034	H2O[c]
MAR04034	HCO3-[c]
MAR04034	ADP[c]
MAR04034	carbamoyl-phosphate[c]
MAR04034	glutamate[c]
MAR04034	H+[c]
MAR04034	Pi[c]
MAR04036	H+[c]
MAR04036	orotidine-5-phosphate[c]
MAR04036	CO2[c]
MAR04036	UMP[c]
MAR04050	H+[c]
MAR04050	N-carbamoyl-L-aspartate[c]
MAR04050	Pi[c]
MAR04050	aspartate[c]
MAR04050	carbamoyl-phosphate[c]
MAR04346	5,6-Dihydrouracil[c]
MAR04346	H2O[c]
MAR04346	3-ureidopropionate[c]
MAR04346	H+[c]
MAR04470	H+[c]
MAR04470	NADH[c]
MAR04470	thymine[c]
MAR04470	dihydrothymine[c]
MAR04470	NAD+[c]
MAR04471	H+[m]
MAR04471	NADH[m]
MAR04471	thymine[m]
MAR04471	dihydrothymine[m]
MAR04471	NAD+[m]
MAR04485	2-deoxy-D-ribose-1-phosphate[c]
MAR04485	thymine[c]
MAR04485	Pi[c]
