nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_size GRN_nes GRN_pval GRN_pval.fdr fPPI_IDH2_vs_IDH1_diff fPPI_IDH2_vs_IDH1_p.val Metabolism_pvalue Metabolism_mean.diff
1 (6Z,9Z)-octadecadienoic,acid[e] 0 1 0 0 1 NA NA NA NA NA
2 (9E)-tetradecenoic,acid[e] 0 1 0 0 1 NA NA NA NA NA
3 [protein]-L-lysine[e] 0 1 0 0 1 NA NA NA NA NA
4 1-pyrroline-5-carboxylate[c] 0 1 0 0 1 NA NA NA NA NA
5 1-pyrroline-5-carboxylate[m] 0 1 0 0 1 NA NA NA NA NA
6 1,2-diacylglycerol-LD-PC,pool[c] 0 1 0 0 1 NA NA NA NA NA
7 frag_100027 0 1 0 0 1 NA NA NA NA NA
8 frag_100063 0 1 0 0 1 NA NA NA NA NA
9 frag_100066 0 1 0 0 1 NA NA NA NA NA
10 frag_100104 0.144977264601475 0.00408821557816358 0 0 1 NA NA NA NA NA
11 frag_100122 0 1 0 0 1 NA NA NA NA NA
12 frag_100142 0 1 0 0 1 NA NA NA NA NA
13 frag_100419 0 1 0 0 1 NA NA NA NA NA
14 frag_100422 0 1 0 0 1 NA NA NA NA NA
15 frag_100485 0.116756359137987 0.0248883028861436 0 0 1 NA NA NA NA NA
16 frag_101019 0 1 0 0 1 NA NA NA NA NA
17 frag_101047 -0.142528571351587 0.0470796827773591 0 0 1 NA NA NA NA NA
18 frag_101063 0 1 0 0 1 NA NA NA NA NA
19 frag_101093 0.110444169184898 0.0481547499831514 0 0 1 NA NA NA NA NA
20 frag_102169 0.142025525116695 0.0351683102225671 0 0 1 NA NA NA NA NA
21 frag_102182 0 1 0 0 1 NA NA NA NA NA
22 frag_102337 0 1 0 0 1 NA NA NA NA NA
23 frag_102497 0 1 0 0 1 NA NA NA NA NA
24 frag_102648 0 1 0 0 1 NA NA NA NA NA
25 frag_102649 0 1 0 0 1 NA NA NA NA NA
26 frag_102650 0 1 0 0 1 NA NA NA NA NA
27 frag_102651 0 1 0 0 1 NA NA NA NA NA
28 frag_102654 0.178952310817664 0.0173982409237594 0 0 1 NA NA NA NA NA
29 frag_102679 0 1 0 0 1 NA NA NA NA NA
30 frag_102680 0 1 0 0 1 NA NA NA NA NA
31 frag_102681 0 1 0 0 1 NA NA NA NA NA
32 frag_102710 0 1 0 0 1 NA NA NA NA NA
33 frag_102711 0 1 0 0 1 NA NA NA NA NA
34 frag_102712 0 1 0 0 1 NA NA NA NA NA
35 frag_102716 0 1 0 0 1 NA NA NA NA NA
36 frag_102718 0 1 0 0 1 NA NA NA NA NA
37 frag_102719 0 1 0 0 1 NA NA NA NA NA
38 frag_102735 0 1 0 0 1 NA NA NA NA NA
39 frag_102744 0 1 0 0 1 NA NA NA NA NA
40 frag_102753 0.109036230731095 0.0124937680925577 0 0 1 NA NA NA NA NA
41 frag_102760 0 1 0 0 1 NA NA NA NA NA
42 frag_102761 0 1 0 0 1 NA NA NA NA NA
43 frag_102764 0 1 0 0 1 NA NA NA NA NA
44 frag_102772 0 1 0 0 1 NA NA NA NA NA
45 frag_102773 0 1 0 0 1 NA NA NA NA NA
46 frag_102774 0 1 0 0 1 NA NA NA NA NA
47 frag_102775 0 1 0 0 1 NA NA NA NA NA
48 frag_102776 0 1 0 0 1 NA NA NA NA NA
49 frag_102777 0 1 0 0 1 NA NA NA NA NA
50 frag_102778 0 1 0 0 1 NA NA NA NA NA
51 frag_102779 0 1 0 0 1 NA NA NA NA NA
52 frag_102780 0 1 0 0 1 NA NA NA NA NA
53 frag_102781 0 1 0 0 1 NA NA NA NA NA
54 frag_102782 0 1 0 0 1 NA NA NA NA NA
55 frag_102783 0 1 0 0 1 NA NA NA NA NA
56 frag_102784 0 1 0 0 1 NA NA NA NA NA
57 frag_102785 0 1 0 0 1 NA NA NA NA NA
58 frag_102786 0 1 0 0 1 NA NA NA NA NA
59 frag_102787 0 1 0 0 1 NA NA NA NA NA
60 frag_102789 0 1 0 0 1 NA NA NA NA NA
61 frag_102808 0 1 0 0 1 NA NA NA NA NA
62 frag_102809 0 1 0 0 1 NA NA NA NA NA
63 frag_102811 0 1 0 0 1 NA NA NA NA NA
64 frag_103034 0 1 0 0 1 NA NA NA NA NA
65 frag_103044 0 1 0 0 1 NA NA NA NA NA
66 frag_103048 0 1 0 0 1 NA NA NA NA NA
67 frag_103049 0 1 0 0 1 NA NA NA NA NA
68 frag_103051 0 1 0 0 1 NA NA NA NA NA
69 frag_103054 0 1 0 0 1 NA NA NA NA NA
70 frag_103055 0 1 0 0 1 NA NA NA NA NA
71 frag_103056 0 1 0 0 1 NA NA NA NA NA
72 frag_103057 0 1 0 0 1 NA NA NA NA NA
73 frag_103058 0 1 0 0 1 NA NA NA NA NA
74 frag_103060 0 1 0 0 1 NA NA NA NA NA
75 frag_103061 0 1 0 0 1 NA NA NA NA NA
76 frag_103062 0 1 0 0 1 NA NA NA NA NA
77 frag_103063 0 1 0 0 1 NA NA NA NA NA
78 frag_103064 0 1 0 0 1 NA NA NA NA NA
79 frag_103065 0 1 0 0 1 NA NA NA NA NA
80 frag_103067 0 1 0 0 1 NA NA NA NA NA
81 frag_103068 0 1 0 0 1 NA NA NA NA NA
82 frag_103069 0 1 0 0 1 NA NA NA NA NA
83 frag_103070 0 1 0 0 1 NA NA NA NA NA
84 frag_103071 0 1 0 0 1 NA NA NA NA NA
85 frag_103073 0.129039335894501 0.0350735086467651 0 0 1 NA NA NA NA NA
86 frag_103098 0 1 0 0 1 NA NA NA NA NA
87 frag_103101 0 1 0 0 1 NA NA NA NA NA
88 frag_103103 0 1 0 0 1 NA NA NA NA NA
89 frag_103104 0 1 0 0 1 NA NA NA NA NA
90 frag_103105 0 1 0 0 1 NA NA NA NA NA
91 frag_103106 0 1 0 0 1 NA NA NA NA NA
92 frag_103107 0 1 0 0 1 NA NA NA NA NA
93 frag_103109 0 1 0 0 1 NA NA NA NA NA
94 frag_103110 0 1 0 0 1 NA NA NA NA NA
95 frag_103111 0 1 0 0 1 NA NA NA NA NA
96 frag_103112 0 1 0 0 1 NA NA NA NA NA
97 frag_103113 0 1 0 0 1 NA NA NA NA NA
