A	B	scaled_weight
ethanol[c]	MAR03905	1
NAD+[c]	MAR03905	1
ethanol[c]	MAR03907	1
NADP+[c]	MAR03907	1
acetate[c]	MAR04097	0.748279742171163
ATP[c]	MAR04097	0.748279742171163
CoA[c]	MAR04097	0.748279742171163
acetate[m]	MAR04099	0.698794093412891
ATP[m]	MAR04099	0.698794093412891
CoA[m]	MAR04099	0.698794093412891
acetyl adenylate[c]	MAR04108	0.745889756006686
CoA[c]	MAR04108	0.745889756006686
acetate[c]	MAR04133	0.745889756006686
ATP[c]	MAR04133	0.745889756006686
H+[c]	MAR04133	0.745889756006686
CoA[m]	MAR04137	0.876566780192933
NAD+[m]	MAR04137	0.876566780192933
pyruvate[m]	MAR04137	0.876566780192933
H+[x]	MAR04281	1
NADH[x]	MAR04281	1
pyruvate[x]	MAR04281	1
MAR04281	L-lactate[x]	1
MAR04281	NAD+[x]	1
H+[c]	MAR04388	1
NADH[c]	MAR04388	1
pyruvate[c]	MAR04388	1
MAR04388	L-lactate[c]	1
MAR04388	NAD+[c]	1
acetaldehyde[c]	MAR04283	0.842743368429592
H2O[c]	MAR04283	0.842743368429592
NADP+[c]	MAR04283	0.842743368429592
acetaldehyde[m]	MAR08357	0.811711482869019
H2O[m]	MAR08357	0.811711482869019
NAD+[m]	MAR08357	0.811711482869019
ATP[c]	MAR04379	0.830910311982621
fructose-6-phosphate[c]	MAR04379	0.830910311982621
fructose-6-phosphate[c]	MAR04301	0.830893478252204
UTP[c]	MAR04301	0.830893478252204
DHAP[c]	MAR04355	0.830893478252204
erythrose-4-phosphate[c]	MAR04355	0.830893478252204
ADP[c]	MAR04358	0.325219273178967
H+[c]	MAR04358	0.325219273178967
PEP[c]	MAR04358	0.325219273178967
H2O[c]	MAR04360	0.780128095184008
methylglyoxal[c]	MAR04360	0.780128095184008
NADP+[c]	MAR04360	0.780128095184008
2-phospho-D-glycerate[c]	MAR04363	0.858124518872974
MAR04363	H2O[c]	0.683520878151618
MAR04363	PEP[c]	0.683520878151618
2-phospho-D-glycerate[c]	MAR04365	0.815777351959345
MAR04365	3-phospho-D-glycerate[c]	0.857732160234191
1,3-bisphospho-D-glycerate[c]	MAR04368	0.838742173515589
ADP[c]	MAR04368	0.838742173515589
MAR04368	3-phospho-D-glycerate[c]	0.816480286325032
MAR04368	ATP[c]	0.816480286325032
1,3-bisphospho-D-glycerate[c]	MAR04370	0.826045136375686
H2O[c]	MAR04370	0.826045136375686
1,3-bisphospho-D-glycerate[c]	MAR04371	0.837051386973386
2,3-bisphospho-D-glycerate[c]	MAR04372	0.837051386973378
H2O[c]	MAR04372	0.837051386973378
1,3-bisphospho-D-glycerate[c]	MAR04373	0.772410266866737
H+[c]	MAR04373	0.772410266866737
NADH[c]	MAR04373	0.772410266866737
MAR04373	GAP[c]	0.838742173515585
MAR04373	NAD+[c]	0.838742173515585
MAR04373	Pi[c]	0.838742173515585
DHAP[c]	MAR04375	0.69068025290478
GAP[c]	MAR04375	0.69068025290478
MAR04375	fructose-1,6-bisphosphate[c]	0.830893478252204
fructose-1,6-bisphosphate[c]	MAR04377	0.759863127145646
H2O[c]	MAR04377	0.759863127145646
fructose-6-phosphate[c]	MAR04381	0.722107841546615
MAR04381	glucose-6-phosphate[c]	0.938493529779208
DHAP[c]	MAR04391	0.715468366581008
MAR04391	GAP[c]	0.786522912390441
ATP[c]	MAR04394	0.786687397015038
glucose[c]	MAR04394	0.786687397015038
glucose-1-phosphate[c]	MAR04396	0.938624164826565
MAR04396	glucose-6-phosphate[c]	0.735491851655218
glucose-6-phosphate[r]	MAR04521	0.762338095678786
H2O[r]	MAR04521	0.762338095678786
H+[m]	MAR06410	0.871077092466696
lipoamide[m]	MAR06410	0.871077092466696
pyruvate[m]	MAR06410	0.871077092466696
CoA[m]	MAR06412	0.871077092466696
S-acetyldihydrolipoamide[m]	MAR06412	0.871077092466696
beta-D-glucose[c]	MAR07745	0.250307205507323
MAR07745	glucose[c]	0.250307205507323
ADP[c]	MAR07747	0.786620835890352
glucose[c]	MAR07747	0.786620835890352
ethanol[x]	MAR08360	1
H2O2[x]	MAR08360	1
carbamoyl-phosphate[r]	MAR08652	0.250307205507323
glucose[r]	MAR08652	0.250307205507323
ethanol[c]	MAR08757	1
H+[c]	MAR08757	1
NADPH[c]	MAR08757	1
O2[c]	MAR08757	1
H2O[e]	MAR03989	0.963974869050663
maltose[e]	MAR03989	0.963974869050663
H2O[c]	MAR04122	0.789005074665884
NAD+[c]	MAR04122	0.789005074665884
UDP-glucose[c]	MAR04122	0.789005074665884
H2O[e]	MAR04837	1
trehalose[e]	MAR04837	1
glycogenin[c]	MAR05395	0.728371533108114
UDP-glucose[c]	MAR05395	0.728371533108114
glycogenin G8[c]	MAR05396	0.728371533108114
UDP-glucose[c]	MAR05396	0.728371533108114
UDP-glucose[c]	MAR09727	0.851360480596936
glycogenin G11[c]	MAR05397	0.728371533108114
glycogenin G4G7[c]	MAR05398	0.728371533108114
Pi[c]	MAR05398	0.728371533108114
glycogenin G4G4[c]	MAR05399	0.727131259891117
glycogenin G7G1[c]	MAR05400	0.727131259891117
H2O[c]	MAR05400	0.727131259891117
glycogenin G7[c]	MAR05401	0.72747522042083
Pi[c]	MAR05401	0.72747522042083
H2O[c]	MAR08568	1
maltodecaose[c]	MAR08568	1
H2O[e]	MAR08569	1
maltodecaose[e]	MAR08569	1
H2O[c]	MAR08570	1
maltononaose[c]	MAR08570	1
H2O[e]	MAR08571	1
maltononaose[e]	MAR08571	1
H2O[c]	MAR08572	1
maltoheptaose[c]	MAR08572	1
H2O[e]	MAR08573	1
maltoheptaose[e]	MAR08573	1
H2O[c]	MAR08574	1
maltohexaose[c]	MAR08574	1
H2O[e]	MAR08575	1
maltohexaose[e]	MAR08575	1
H2O[c]	MAR08576	1
maltopentaose[c]	MAR08576	1
H2O[e]	MAR08577	1
maltopentaose[e]	MAR08577	1
H2O[c]	MAR08578	1
maltotetraose[c]	MAR08578	1
H2O[e]	MAR08579	0.977926872759093
maltotetraose[e]	MAR08579	0.977926872759093
H2O[e]	MAR08581	0.972446653505166
maltotriose[e]	MAR08581	0.972446653505166
H2O[c]	MAR08591	1
maltotriose[c]	MAR08591	1
H2O[l]	MAR08592	1
maltotriose[l]	MAR08592	1
H2O[c]	MAR08580	1
maltotriose[c]	MAR08580	1
H2O[c]	MAR08582	1
maltose[c]	MAR08582	1
H2O[c]	MAR08587	1
maltose[c]	MAR08587	1
H2O[l]	MAR08589	1
maltose[l]	MAR08589	1
H2O[e]	MAR08583	1
starch structure 1[e]	MAR08583	1
H2O[e]	MAR08584	0.990786132084486
starch structure 2[e]	MAR08584	0.990786132084486
1,3-bisphospho-D-glycerate[c]	MAR08585	0.787804299816181
glucose-1-phosphate[c]	MAR08585	0.787804299816181
glucose-1-phosphate[c]	MAR03944	0.827554753661712
H+[c]	MAR03944	0.827554753661712
UTP[c]	MAR03944	0.827554753661712
UDP-galactose[c]	MAR04128	1
MAR04128	UDP-glucose[c]	0.737371742761828
ATP[c]	MAR04130	0.754682174498595
galactose[c]	MAR04130	0.754682174498595
glucose-1-phosphate[c]	MAR04131	0.81050747644476
UDP-galactose[c]	MAR04131	0.81050747644476
MAR04131	alpha-D-galactose-1-phosphate[c]	0.754469111618296
MAR04131	UDP-glucose[c]	0.754469111618296
galactose-1-phosphate[c]	MAR04132	0.754469111618297
UDP-glucose[c]	MAR04132	0.754469111618297
H2O[e]	MAR04303	1
sucrose[e]	MAR04303	1
ATP[c]	MAR04414	0.754469111618297
galactose[c]	MAR04414	0.754469111618297
H2O[e]	MAR04415	0.681401651362275
lactose[e]	MAR04415	0.681401651362275
galactosylglycerol[e]	MAR04416	1
H2O[e]	MAR04416	1
CDP[c]	MAR04774	0.683978966646459
H+[c]	MAR04774	0.683978966646459
tagatose-1,6-bisphosphate[c]	MAR04774	0.683978966646459
MAR04774	CTP[c]	0.683978966646459
MAR04774	D-tagatose-6-phosphate[c]	0.683978966646459
D-tagatose-6-phosphate[c]	MAR04775	0.683978966646459
ITP[c]	MAR04775	0.683978966646459
MAR04775	H+[c]	0.683978966646459
MAR04775	IDP[c]	0.683978966646459
MAR04775	tagatose-1,6-bisphosphate[c]	0.683978966646459
lactose[e]	MAR04831	1
NAD+[e]	MAR04831	1
MAR04831	3-ketolactose[e]	0.250307205507323
MAR04831	H+[e]	0.250307205507323
MAR04831	NADH[e]	0.250307205507323
3-keto-beta-D-galactose[e]	MAR04832	1
glucose[e]	MAR04832	1
MAR04832	3-ketolactose[e]	1
MAR04832	H2O[e]	1
glucose[g]	MAR07674	0.681131192803924
UDP-galactose[g]	MAR07674	0.681131192803924
ATP[c]	MAR08761	1
D-tagatose[c]	MAR08761	1
D-tagatose-6-phosphate[c]	MAR08762	1
MAR08762	DHAP[c]	0.250307205507323
MAR08762	glyceraldehyde[c]	0.250307205507323
H2O[l]	MAR08764	0.678735003587008
lactose[l]	MAR08764	0.678735003587008
galactose[c]	MAR08766	0.850470063498491
H+[c]	MAR08766	0.850470063498491
NADPH[c]	MAR08766	0.850470063498491
MAR08766	galactitol[c]	1
MAR08766	NADP+[c]	1
alpha-D-galactose-1-phosphate[c]	MAR08767	0.811067999038414
H+[c]	MAR08767	0.811067999038414
UTP[c]	MAR08767	0.811067999038414
ATP[c]	MAR00454	0.684954109351296
glyceraldehyde[c]	MAR00454	0.684954109351296
ATP[c]	MAR04297	0.847635965205559
fructose-6-phosphate[c]	MAR04297	0.847635965205559
ATP[c]	MAR04310	0.250307205507323
fructose[c]	MAR04310	0.250307205507323
D-glucitol[c]	MAR04315	0.696647705662384
NAD+[c]	MAR04315	0.696647705662384
MAR04315	fructose[c]	0.816727127037564
MAR04315	H+[c]	0.816727127037564
MAR04315	NADH[c]	0.816727127037564
D-glucitol[c]	MAR04316	0.915181209148397
NADP+[c]	MAR04316	0.915181209148397
MAR04316	glucose[c]	0.915181209148397
MAR04316	H+[c]	0.915181209148397
MAR04316	NADPH[c]	0.915181209148397
ATP[c]	MAR04317	0.250307205507323
D-glucitol[c]	MAR04317	0.250307205507323
ATP[c]	MAR04318	0.250307205507323
fructose[c]	MAR04318	0.250307205507323
ATP[c]	MAR04319	0.700556973312322
fructose[c]	MAR04319	0.700556973312322
ATP[c]	MAR04320	0.250307205507323
mannose-1-phosphate[c]	MAR04320	0.250307205507323
DHAP[c]	MAR04356	0.250307205507323
glyceraldehyde[c]	MAR04356	0.250307205507323
fructose-6-phosphate[c]	MAR04383	0.852808018928383
MAR04383	mannose-6-phosphate[c]	1
mannose-6-phosphate[c]	MAR04385	0.712361660876922
GDP[c]	MAR04386	0.712474110051451
H+[c]	MAR04386	0.712474110051451
mannose-1-phosphate[c]	MAR04386	0.712474110051451
GTP[c]	MAR04387	0.663286284367209
H+[c]	MAR04387	0.663286284367209
mannose-1-phosphate[c]	MAR04387	0.663286284367209
GDP-mannose[c]	MAR04399	0.829319301357461
GDP-4-dehydro-6-deoxy-D-mannose[c]	MAR04400	0.829280437588048
H+[c]	MAR04400	0.829280437588048
NADH[c]	MAR04400	0.829280437588048
GDP-L-fucose[c]	MAR04401	0.250307205507323
PPi[c]	MAR04401	0.250307205507323
MAR04401	GTP[c]	0.250307205507323
MAR04401	H+[c]	0.250307205507323
MAR04401	L-fucose-1-phosphate[c]	0.250307205507323
