"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"1" "G Protein-Coupled Receptor Dimeric Complex (GO:0038037)" "2/6" 0.0154549753895842 0.999995851309099 0 0 14.4208955223881 60.1326005163197 "GABBR2;GABBR1"
"2" "Perineuronal Net (GO:0072534)" "2/8" 0.0275911186690148 0.999995851309099 0 0 9.61293532338308 34.5129501073555 "TNR;HAPLN1"
"3" "Perisynaptic Extracellular Matrix (GO:0098966)" "2/9" 0.0346955357454841 0.999995851309099 0 0 8.23923240938166 27.6932486633557 "TNR;HAPLN1"
"4" "Serine-Type Endopeptidase Complex (GO:1905370)" "2/10" 0.0424201400514531 0.999995851309099 0 0 7.2089552238806 22.7812502936239 "FCN2;FCN3"
"5" "GTPase Regulator Activity (GO:0030695)" "31/424" 4.65993234334215e-05 0.0138399990597262 0 0 2.33010999829306 23.2403412824687 "DENND1C;ARHGAP11A;DENND1B;ARHGAP11B;DENND5B;ASAP3;ARHGEF10L;ARHGAP6;RASGRP4;FGD5;ARHGAP20;CYTH4;ARHGAP40;RASGEF1A;TBC1D10C;TBC1D13;RGS8;TBC1D10B;DENND2D;PLEKHG2;DENND4B;ELMOD1;HPS1;ARAP2;ARHGAP28;ARHGAP23;ARHGAP32;TBC1D2;TBC1D21;DENND6A;RGS11"
"6" "GTPase Activator Activity (GO:0005096)" "19/211" 9.7574907030228e-05 0.0144898736939889 0 0 2.89994895354773 26.7807101649519 "ARHGAP11A;ARHGAP11B;ELMOD1;ARAP2;ASAP3;ARHGAP28;ARHGEF10L;ARHGAP6;ARHGAP23;ARHGAP32;ARHGAP20;TBC1D2;ARHGAP40;TBC1D21;TBC1D10C;TBC1D13;RGS11;RGS8;TBC1D10B"
"7" "Serine-Type Peptidase Activity (GO:0008236)" "12/142" 0.00306960724251769 0.303891117009251 0 0 2.68503496503497 15.5361645109109 "MMP12;CELA3B;MMP3;OVCH2;KLK13;KLK4;PRSS16;TMPRSS2;LPA;KLK8;KLK11;KLK6"
"8" "Metalloendopeptidase Activity (GO:0004222)" "9/101" 0.0069369165679993 0.515066055173948 0 0 2.83828447767067 14.1088223546297 "ADAM2;MMP12;ADAMTS2;ADAMTS3;ADAMTS19;MMP23B;MMP3;CLCA3P;CLCA1"
"9" "Trace-Amine Receptor Activity (GO:0001594)" "2/6" 0.0154549753895842 0.765021281784419 0 0 14.4208955223881 60.1326005163197 "TAAR9;TAAR2"
"10" "Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor (GO:0016671)" "2/6" 0.0154549753895842 0.765021281784419 0 0 14.4208955223881 60.1326005163197 "MSRB3;MSRB1"
