"Entrez" "group"
"1" "ZSWIM8-AS1" "IDH1"
"2" "RPL21P129" "IDH1"
"3" "RNU1-125P" "IDH1"
"4" "HHATL-AS1" "IDH1"
"5" "RNU1-49P" "IDH1"
"6" "RNU6-328P" "IDH1"
"7" "SHANK2-AS2" "IDH1"
"8" "RPL18AP17" "IDH1"
"9" "RNU6-371P" "IDH1"
"10" "CEP128" "IDH1"
"11" "RNU6-262P" "IDH1"
"12" "LINC00967" "IDH1"
"13" "RNU6-1150P" "IDH1"
"14" "RNU7-60P" "IDH1"
"15" "COLCA1" "IDH1"
"16" "TPRG1-AS2" "IDH1"
"17" "IGLV3-9" "IDH1"
"18" "KCNAB1-AS2" "IDH1"
"19" "RNU7-63P" "IDH1"
"20" "AKR1D1P1" "IDH1"
"21" "LACTBL1" "IDH1"
"22" "IGLV3-10" "IDH1"
"23" "RNU6-899P" "IDH1"
"24" "RNU6-724P" "IDH1"
"25" "RNU6-755P" "IDH1"
"26" "SNORA80B" "IDH1"
"27" "MRPL2P1" "IDH1"
"28" "RNU6-148P" "IDH1"
"29" "TMEM114" "IDH1"
"30" "GMNC" "IDH1"
"31" "OSBPL9" "IDH1"
"32" "FAM50A" "IDH1"
"33" "NPC2" "IDH1"
"34" "SLFN12L" "IDH1"
"35" "TEX264" "IDH1"
"36" "TMEM169" "IDH1"
"37" "TMEM175" "IDH1"
"38" "WDR31" "IDH1"
"39" "TMEM147" "IDH1"
"40" "C5orf24" "IDH1"
"41" "LNX2" "IDH1"
"42" "DNAH2" "IDH1"
"43" "MS4A6A" "IDH1"
"44" "LACTB2" "IDH1"
"45" "MYO1B" "IDH1"
"46" "ANKRD54" "IDH1"
"47" "SNORD12" "IDH1"
"48" "TRPV2" "IDH1"
"49" "CD300C" "IDH1"
"50" "APOBEC3A" "IDH1"
"51" "OGFRL1" "IDH1"
"52" "HPS4" "IDH1"
"53" "RBMS1" "IDH1"
"54" "THAP4" "IDH1"
"55" "NEAT1" "IDH1"
"56" "SPATA20" "IDH1"
"57" "ITPRIP" "IDH1"
"58" "PTPN18" "IDH1"
"59" "AIF1L" "IDH1"
"60" "CLMN" "IDH1"
"61" "TFPI" "IDH1"
"62" "MS4A4A" "IDH1"
"63" "MR1" "IDH1"
"64" "SNORD12B" "IDH1"
"65" "FBLN2" "IDH1"
"66" "PNKD" "IDH1"
"67" "STK40" "IDH1"
"68" "ILVBL" "IDH1"
"69" "THBS4" "IDH1"
"70" "MTHFSD" "IDH1"
"71" "CRISPLD2" "IDH1"
"72" "TUT1" "IDH1"
"73" "CATSPER1" "IDH1"
"74" "FA2H" "IDH1"
"75" "DDR1" "IDH1"
"76" "PCTP" "IDH1"
"77" "TRPM7" "IDH1"
"78" "SLMAP" "IDH1"
"79" "PCDH9" "IDH1"
"80" "ZFR2" "IDH1"
"81" "OAT" "IDH1"
"82" "GALE" "IDH1"
"83" "RIMKLB" "IDH1"
"84" "PELI3" "IDH1"
"85" "CD320" "IDH1"
"86" "NKX3-2" "IDH1"
"87" "NIPA2" "IDH1"
"88" "CCDC61" "IDH1"
"89" "HEXIM2" "IDH1"
"90" "LRRC40" "IDH1"
"91" "TMEM68" "IDH1"
"92" "CLCN3" "IDH1"
"93" "ASTN1" "IDH1"
"94" "CCDC43" "IDH1"
"95" "KIAA1586" "IDH1"
"96" "CCDC86" "IDH1"
"97" "WNT10A" "IDH1"
"98" "TMTC3" "IDH1"
"99" "KDM1B" "IDH1"
"100" "CHI3L2" "IDH1"
"101" "HYOU1" "IDH1"
"102" "HTR7P1" "IDH1"
"103" "CTXN1" "IDH1"
"104" "EDARADD" "IDH1"
"105" "KLF2" "IDH1"
"106" "COTL1" "IDH1"
"107" "FGL2" "IDH1"
"108" "KRTAP8-1" "IDH1"
"109" "KCTD4" "IDH1"
"110" "CLEC1A" "IDH1"
"111" "HMSD" "IDH1"
"112" "PAX3" "IDH1"
"113" "RPRM" "IDH1"
"114" "TESK2" "IDH1"
"115" "AK5" "IDH1"
"116" "LRRC18" "IDH1"
"117" "VPREB1" "IDH1"
"118" "SNN" "IDH1"
"119" "KRT71" "IDH1"
"120" "KCNN4" "IDH1"
"121" "DPY19L3" "IDH1"
"122" "WNT8A" "IDH1"
"123" "ADAM33" "IDH1"
"124" "FLVCR2" "IDH1"
"125" "BMPR1B" "IDH1"
"126" "TREML2" "IDH1"
"127" "LRRC19" "IDH1"
"128" "AIG1" "IDH1"
"129" "SATL1" "IDH1"
"130" "PRELID1" "IDH1"
"131" "OSBPL5" "IDH1"
"132" "RIN2" "IDH1"
"133" "TDO2" "IDH1"
"134" "MYH3" "IDH1"
"135" "RPL22L1" "IDH1"
"136" "PSMG1" "IDH1"
"137" "CD1D" "IDH1"
"138" "NIPSNAP1" "IDH1"
"139" "PCMT1" "IDH1"
"140" "SP8" "IDH1"
"141" "ACVR1" "IDH1"
"142" "MYOF" "IDH1"
"143" "QTRT1" "IDH1"
"144" "CD22" "IDH1"
"145" "KIF16B" "IDH1"
"146" "EFHD2" "IDH1"
"147" "TINAG" "IDH1"
"148" "WBP2" "IDH1"
"149" "CD300LB" "IDH1"
"150" "NEURL4" "IDH1"
"151" "KCNQ5" "IDH1"
"152" "ESRRB" "IDH1"
"153" "EPHA5" "IDH1"
"154" "SHBG" "IDH1"
"155" "IFNGR2" "IDH1"
"156" "FLRT1" "IDH1"
"157" "PLOD1" "IDH1"
"158" "SHC4" "IDH1"
"159" "SCGB1D1" "IDH1"
"160" "CD37" "IDH1"
"161" "TMEM72" "IDH1"
"162" "SERPINB4" "IDH1"
"163" "CLK3" "IDH1"
"164" "LRRC4B" "IDH1"
"165" "C1GALT1" "IDH1"
"166" "NAGA" "IDH1"
"167" "CDH24" "IDH1"
"168" "GNAT2" "IDH1"
"169" "VPS13A" "IDH1"
"170" "GOLGA1" "IDH1"
"171" "LYPLA2" "IDH1"
"172" "BEX1" "IDH1"
"173" "HSPA13" "IDH1"
"174" "CBLL2" "IDH1"
"175" "MEI1" "IDH1"
"176" "C11orf16" "IDH1"
"177" "GPR107" "IDH1"
"178" "SEMA3C" "IDH1"
"179" "FAM76B" "IDH1"
"180" "FKBP15" "IDH1"
"181" "KCNE3" "IDH1"
"182" "CLDN11" "IDH1"
"183" "VSIG8" "IDH1"
"184" "CNOT8" "IDH1"
"185" "SLC2A7" "IDH1"
"186" "NINJ1" "IDH1"
"187" "ATP7A" "IDH1"
"188" "CPVL" "IDH1"
"189" "PLEKHA2" "IDH1"
"190" "PSPN" "IDH1"
"191" "YOD1" "IDH1"
"192" "KCTD2" "IDH1"
"193" "PCYT2" "IDH1"
"194" "ASGR1" "IDH1"
"195" "SV2A" "IDH1"
