"name"	"mIDH2"	"mIDH1"	"distance"
"1"	"(10Z)-heptadecenoic"	0.220321058116457	0.22346701609793	0.0057
"2"	"(11Z,14Z)-eicosadienoic"	0.225045397602435	0.230399183143303	0.0072
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.224874009167851	0.230089093445778	0.0071
"4"	"(13Z)-eicosenoic"	0.232129085604385	0.23585991716972	0.0059
"5"	"(13Z)-octadecenoic"	0.22897082121177	0.235509618324962	0.008
"6"	"(13Z,16Z)-docosadienoic"	0.222529663226802	0.231235672543156	0.0096
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.0063
"8"	"(1R,2S)-naphthalene"	0.402027271159846	0.401294766836887	7e-04
"9"	"(1S,2R)-naphthalene"	0	0	0.0063
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.259689940100531	0.258307249643235	0.002
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.272708606856842	0.272823173536553	0.0029
"12"	"(5-L-glutamyl)-L-amino"	0.242073758142139	0.235846646490785	-0.0012
"13"	"(6Z,9Z)-octadecadienoic"	0.249067444254076	0.24994354421637	0.0037
"14"	"(7Z)-octadecenoic"	0.308054460960746	0.311819567724839	0.005
"15"	"(7Z)-tetradecenoic"	0.220708031843706	0.230654957286163	0.0104
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.19525785985908	0.193725882556303	0.0027
"17"	"(9E)-tetradecenoic"	0.246721971735224	0.249942864198372	0.0054
"18"	"(Glc)3"	0	0	0.0063
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.0063
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.205081651434622	0.20910331210521	0.0065
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.251308136162085	0.258048788532951	0.0078
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.0063
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0063
"30"	"1,1-dichloroethylene"	0	0	0.0063
"31"	"1,2-Diacyl-Sn-Glycerol"	0.19525785985908	0.193725882556303	0.0027
"32"	"1,2-diacylglycerol-LD-PC"	0.249450126061888	0.257461689337925	0.0087
"33"	"1,2-diacylglycerol-LD-PE"	0	0	0.0063
"34"	"1,2-diacylglycerol-LD-PI"	0.063317073405957	0.0628200366842907	0.0051
"35"	"1,2-diacylglycerol-LD-PS"	0	0	0.0063
"36"	"1,2-diacylglycerol-LD-SM"	0	0	0.0063
"37"	"1,2-diacylglycerol-LD-TAG"	0.22932915772841	0.233494911127393	0.0063
"38"	"1,2-diacylglycerol-VLDL"	0.223368907591721	0.226876483059988	0.0059
"39"	"1,2-diacylglycerol-bile-PC"	0	0	0.0063
"40"	"1,2-diacylglycerol-chylomicron"	0.229244071818076	0.232104244200047	0.0054
"41"	"1-Acyl"	0.19525785985908	0.193725882556303	0.0027
"42"	"1-Acylglycerone"	0	0	0.0063
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.174427054971219	0.173221669079365	0.0032
"44"	"1-Alkyl-Sn-Glycerol"	0	0	0.0063
"45"	"1-Arachidonoyl"	0.19525785985908	0.193725882556303	0.0027
"46"	"1-Didecanoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"47"	"1-Dihomo-Linolenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"48"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"49"	"1-Docosahexenoylglyceroethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"50"	"1-Docosahexenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"51"	"1-Docosapentenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"52"	"1-Docosatetraenoyglycerophosphoethanolamine"	0.109451667608859	0.108592625492136	0.0043
"53"	"1-Docosatetraenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"54"	"1-Eicosadienoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"55"	"1-Eicosapentenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"56"	"1-Eicosatetraenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"57"	"1-Eicosatrienoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"58"	"1-Eicosatrienoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"59"	"1-Eicosenoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"60"	"1-Gamma-Linolenoyl-Cholesterol,"	0.215038441165583	0.215011417727136	0.0035
"61"	"1-Heptadecanoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"62"	"1-Hexadecenoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"63"	"1-Lignocericylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"64"	"1-Linoleoyl-Cholesterol,"	0.215038441165583	0.215011417727136	0.0035
"65"	"1-Linoleoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"66"	"1-Linoleoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"67"	"1-Myristoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"68"	"1-Nonadecanoylglycerophosphocholine,"	0.0835237068620312	0.0810148988249388	0.0035
"69"	"1-Octadeca-Trienoylglycerophosphocholine,"	0.0835237068620312	0.0810148988249388	0.0035
"70"	"1-Oleoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"71"	"1-Oleoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"72"	"1-Palmitoleoylglycerophosphocholine"	0.0835237068620312	0.0810148988249388	0.0035
"73"	"1-Pentadecanoylglycerophosphocholine,"	0.0835237068620312	0.0810148988249388	0.0035
"74"	"1-Pentadecanoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"75"	"1-Timnodnoyl-Cholesterol,"	0.215038441165583	0.215011417727136	0.0035
"76"	"1-Tridecanoylglycerophosphoethanolamine"	0.0836243940430453	0.0811325355165638	0.0035
"77"	"1-Vaccenoyl-Cholesterol,"	0.215038441165583	0.215011417727136	0.0035
"78"	"1-acyl-PE"	0	0	0.0063
"79"	"1-acylglycerol-3P"	0.230690927089977	0.235455559095875	0.0067
"80"	"1-acylglycerol-3P-bile-PC"	0	0	0.0063
"81"	"1-acylglycerol-LD-PC"	0	0	0.0063
"82"	"1-acylglycerol-LD-PE"	0	0	0.0063
"83"	"1-acylglycerol-LD-PI"	0	0	0.0063
"84"	"1-acylglycerol-LD-PS"	0	0	0.0063
"85"	"1-acylglycerol-LD-SM"	0	0	0.0063
"86"	"1-acylglycerol-LD-TG1"	0	0	0.0063
"87"	"1-acylglycerol-VLDL"	0.223348584088263	0.228651766207859	0.0072
"88"	"1-acylglycerol-chylomicron"	0.225960998564183	0.232033765509435	0.0077
"89"	"1-alpha,25-dihydroxyvitamin"	0.381955756969149	0.380805221768835	6e-04
"90"	"1-hydroxy"	0.433769080961101	0.43278767204928	1e-04
"91"	"10,11-epoxy-(4Z,7Z)-hexadecadienoic"	0	0	0.0063
"92"	"10,13,16,19-docosatetraenoic"	0.224073326196757	0.230170005469739	0.0077
"93"	"10,13,16-docosatriynoic"	0.289194403575787	0.296767094525967	0.0079
"94"	"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic"	0.189499730009076	0.190744533343295	0.0047
"95"	"11-Eicosenoyl"	0	0	0.0063
"96"	"11-Octadecenoyl"	0.224500666056665	0.22487179135035	0.0037
"97"	"11-dehydro-thromboxane"	0.27804187863366	0.278530639657308	0.0031
"98"	"12,13-epoxy-(6Z,9Z)-octadecadienoic"	0	0	0.0063
"99"	"12,13-epoxylinoleic"	0.0819302513037203	0.0813358586848617	0.0048
"100"	"12,15,18,21-tetracosatetraenoic"	0.224400120647681	0.23002878055202	0.0074
"101"	"12-Dehydrocholic"	0.253293195713699	0.258548807978909	0.0067
"102"	"12-hydroxydodecanoic"	0.344568120592666	0.349312260548206	0.0052
"103"	"13,14-dihydro-15-oxo-lipoxin"	0	0	0.0063
"104"	"13,14-dihydro-lipoxin"	0.219986508696912	0.21875979816774	0.0026
"105"	"13,15-O-didesmethyl"	0.388381936009229	0.389276646072216	0.002
