"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"1"	"Cluster NR"	"GO:0043922"	"negative regulation by host of viral transcription"	"2/57"	"14/18903"	0.000794250123995753	0.000794250123995753	0.267224521565898	"PSMC3/TFAP4"	2
"2"	"Cluster NR"	"GO:0051851"	"modulation by host of symbiont process"	"3/57"	"84/18903"	0.00208339999493436	0.00208339999493436	0.267224521565898	"PSMC3/ROCK2/TFAP4"	3
"3"	"Cluster NR"	"GO:0000281"	"mitotic cytokinesis"	"3/57"	"85/18903"	0.00215503342772709	0.00215503342772709	0.267224521565898	"EXOC6/RHOB/ROCK2"	3
"4"	"Cluster NR"	"GO:0055074"	"calcium ion homeostasis"	"5/57"	"309/18903"	0.00236163075156538	0.00236163075156538	0.267224521565898	"BCAP31/BDKRB1/HTR1B/KL/TPT1"	5
"5"	"Cluster NR"	"GO:0007044"	"cell-substrate junction assembly"	"3/57"	"95/18903"	0.00295651775963661	0.00295651775963661	0.267224521565898	"DST/PTPRA/ROCK2"	3
"6"	"Cluster NR"	"GO:0007205"	"protein kinase C-activating G protein-coupled receptor signaling pathway"	"2/57"	"27/18903"	0.00298744730268539	0.00298744730268539	0.267224521565898	"BDKRB1/HTR1B"	2
"7"	"Cluster NR"	"GO:0019080"	"viral gene expression"	"3/57"	"100/18903"	0.00341739651241777	0.00341739651241777	0.267224521565898	"EIF3G/PSMC3/TFAP4"	3
"8"	"Cluster NR"	"GO:0150115"	"cell-substrate junction organization"	"3/57"	"101/18903"	0.00351454073268989	0.00351454073268989	0.267224521565898	"DST/PTPRA/ROCK2"	3
"9"	"Cluster NR"	"GO:0060541"	"respiratory system development"	"4/57"	"211/18903"	0.00375442459865573	0.00375442459865573	0.267224521565898	"FGF18/NKX2-1/PHOX2B/RARA"	4
"10"	"Cluster NR"	"GO:1901655"	"cellular response to ketone"	"3/57"	"105/18903"	0.00391998629597995	0.00391998629597995	0.267224521565898	"MAP4K1/ROCK2/TFAP4"	3
"11"	"Cluster NR"	"GO:1990776"	"response to angiotensin"	"2/57"	"32/18903"	0.00418101364584097	0.00418101364584097	0.267224521565898	"KL/ROCK2"	2
"12"	"Cluster NR"	"GO:0072507"	"divalent inorganic cation homeostasis"	"5/57"	"356/18903"	0.00432620930143812	0.00432620930143812	0.267224521565898	"BCAP31/BDKRB1/HTR1B/KL/TPT1"	5
"13"	"Cluster NR"	"GO:0061640"	"cytoskeleton-dependent cytokinesis"	"3/57"	"113/18903"	0.00481364915499503	0.00481364915499503	0.267224521565898	"EXOC6/RHOB/ROCK2"	3
"14"	"Cluster NR"	"GO:0051702"	"biological process involved in interaction with symbiont"	"3/57"	"116/18903"	0.00517790101953673	0.00517790101953673	0.267224521565898	"PSMC3/ROCK2/TFAP4"	3
"15"	"Cluster NR"	"GO:0008406"	"gonad development"	"4/57"	"233/18903"	0.00533114905870559	0.00533114905870559	0.267224521565898	"AFP/AMHR2/NKX2-1/RARA"	4
"16"	"Cluster NR"	"GO:0007163"	"establishment or maintenance of cell polarity"	"4/57"	"234/18903"	0.00541185514041383	0.00541185514041383	0.267224521565898	"DST/NSFL1C/RHOB/ROCK2"	4
"17"	"Cluster NR"	"GO:0014046"	"dopamine secretion"	"2/57"	"37/18903"	0.00556013432532117	0.00556013432532117	0.267224521565898	"GRM2/HTR1B"	2
"18"	"Cluster NR"	"GO:0014059"	"regulation of dopamine secretion"	"2/57"	"37/18903"	0.00556013432532117	0.00556013432532117	0.267224521565898	"GRM2/HTR1B"	2
"19"	"Cluster NR"	"GO:0045137"	"development of primary sexual characteristics"	"4/57"	"238/18903"	0.00574287663607942	0.00574287663607942	0.267224521565898	"AFP/AMHR2/NKX2-1/RARA"	4
"20"	"Cluster NR"	"GO:0048762"	"mesenchymal cell differentiation"	"4/57"	"252/18903"	0.00700762122595767	0.00700762122595767	0.267224521565898	"ENG/NKX2-1/PHOX2B/ROCK2"	4
"21"	"Cluster NR"	"GO:0010595"	"positive regulation of endothelial cell migration"	"3/57"	"131/18903"	0.00724605965896838	0.00724605965896838	0.267224521565898	"FGF18/RHOB/ROCK2"	3
"22"	"Cluster NR"	"GO:0051955"	"regulation of amino acid transport"	"2/57"	"45/18903"	0.0081386658319433	0.0081386658319433	0.267224521565898	"GRM2/HTR1B"	2
"23"	"Cluster NR"	"GO:0044788"	"modulation by host of viral process"	"2/57"	"46/18903"	0.00849224541184986	0.00849224541184986	0.267224521565898	"PSMC3/ROCK2"	2
"24"	"Cluster NR"	"GO:0042220"	"response to cocaine"	"2/57"	"48/18903"	0.00921977119670774	0.00921977119670774	0.267224521565898	"GRM2/HTR1B"	2
"25"	"Cluster NR"	"GO:0045776"	"negative regulation of blood pressure"	"2/57"	"48/18903"	0.00921977119670774	0.00921977119670774	0.267224521565898	"BDKRB1/KL"	2
"26"	"Cluster NR"	"GO:0071559"	"response to transforming growth factor beta"	"4/57"	"277/18903"	0.0097008972303773	0.0097008972303773	0.267224521565898	"AMHR2/ENG/NKX2-1/ROCK2"	4
"27"	"Cluster NR"	"GO:0008584"	"male gonad development"	"3/57"	"147/18903"	0.00992308472599565	0.00992308472599565	0.267224521565898	"AMHR2/NKX2-1/RARA"	3
"28"	"Cluster NR"	"GO:0046546"	"development of primary male sexual characteristics"	"3/57"	"148/18903"	0.0101070229801606	0.0101070229801606	0.267224521565898	"AMHR2/NKX2-1/RARA"	3
"29"	"Cluster NR"	"GO:0015872"	"dopamine transport"	"2/57"	"51/18903"	0.010361338001685	0.010361338001685	0.267224521565898	"GRM2/HTR1B"	2
"30"	"Cluster NR"	"GO:0019083"	"viral transcription"	"2/57"	"51/18903"	0.010361338001685	0.010361338001685	0.267224521565898	"PSMC3/TFAP4"	2
"31"	"Cluster NR"	"GO:0060324"	"face development"	"2/57"	"51/18903"	0.010361338001685	0.010361338001685	0.267224521565898	"PAX9/RARA"	2
