ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP5087	Malignant pleural mesothelioma	97	0.368648788972275	1.7935865478805	0.000150773852941339	0.000150773852941339	0.0566657491311513	915	tags=39%, list=22%, signal=31%	YAP1/WWTR1/BAP1/EIF4EBP1/ADAMTS1/SENP2/CYCS/MAP3K5/PIK3CA/MAP3K2/CDKN2A/RPS6KA5/BUB1B-PAK6/PAK6/MAP4K2/CCL2/PRKAB1/PIK3CG/CXCL10/EED/TEAD1/MAP3K1/ITGA3/RPS6KA1/RPS6KA1/FOSL1/MDM2/CD274/CSNK1E/PRKAG2/TERT/KITLG/CD44/TCF7L1/JAK1/EGFR/RYK/HRAS/HRAS
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	27	0.518227905823964	2.05268244179649	0.000244707070120325	0.000244707070120325	0.0566657491311513	915	tags=48%, list=22%, signal=38%	MEF2A/FRS2/CAMK2A/JAK2/EIF4EBP1/NCAM1/KCNA3/MAP3K2/RPS6KA5/MAP3K1/RPS6KA1/RPS6KA1/SHC2/HRAS/HRAS
WP3995	Prion disease pathway	6	0.799310299118485	2.03384895663882	0.000286342881247839	0.000286342881247839	0.0566657491311513	184	tags=67%, list=4%, signal=64%	CHD2/NCAM1/HSP90B1/HSPA5
WP3915	Angiopoietin-like protein 8 regulatory pathway	35	0.449696917344893	1.86763638367387	0.00131754250762882	0.00131754250762882	0.181041594473518	923	tags=49%, list=22%, signal=38%	EIF4EBP1/MAP3K5/PIK3CA/MAP3K2/RPS6KA5/MAP4K2/PRKAB1/PIK3CG/SREBF2/MAP3K1/RPS6KA1/RPS6KA1/PRKAG2/RICTOR/SHC2/HRAS/HRAS/MAPK11
WP2037	Prolactin signaling pathway	20	0.506539209182584	1.87173013748419	0.00220780570790336	0.00220780570790336	0.181041594473518	935	tags=57%, list=23%, signal=44%	JAK2/EIF4EBP1/PIK3CA/PIK3CG/GAB2/PPIB/CISH/NOS2/JAK1/HRAS/HRAS/CTSD
WP437	EGF/EGFR signaling pathway	51	0.405793896802632	1.82653587334452	0.00221690645406109	0.00221690645406109	0.181041594473518	1324	tags=56%, list=32%, signal=38%	MEF2A/USP6NL/CAMK2A/JAK2/EIF4EBP1/PLD1/PRKCB/ELK4/MAP3K2/RPS6KA5/GAB2/MAP3K1/NCOA3/RPS6KA1/RPS6KA1/RASA1/ABL1/TNK2/RICTOR/JAK1/EGFR/HRAS/HRAS/GJA1/PRKCA/SH3GL3/FOXO4/BCAR1/BCAR1/BRAF
WP314	Fas ligand pathway and stress induction of heat shock proteins	9	0.66576882312569	1.96026694845597	0.0023460387491379	0.0023460387491379	0.181041594473518	663	tags=67%, list=16%, signal=56%	CYCS/CASP7/CASP10/RIPK2/MAP3K1/LMNB2
WP4538	Regulatory circuits of the STAT3 signaling pathway	30	0.462453988359975	1.86941467294057	0.00243956758510414	0.00243956758510414	0.181041594473518	1007	tags=53%, list=24%, signal=40%	JAK2/PRKCB/IFNAR2/IFNAR1/PTPRD/PTPRD/IL27RA/IL27RA/IL7R/F2RL2/IL21R/MAPK15/MAPK15/RICTOR/JAK1/EGFR/MAPK11/IL22RA1
WP4211	Transcriptional cascade regulating adipogenesis	3	-0.887787182587666	-1.85276489639366	0.00316279366576727	0.00316279366576727	0.188511812525767	468	tags=100%, list=11%, signal=89%	PPARG/CEBPA
WP3972	PDGFR-beta pathway	10	0.624185946076898	1.88671646138699	0.00323323562111975	0.00323323562111975	0.188511812525767	1106	tags=82%, list=27%, signal=60%	JAK2/PRKCB/PIK3CA/MAP3K1/RASA1/JAK1/HRAS/HRAS/PRKCA
WP5199	PtdIns(4,5)P2 in cytokinesis pathway	3	-0.884401451027811	-1.84569905369426	0.0034928163845643	0.0034928163845643	0.188511812525767	482	tags=100%, list=12%, signal=88%	ANLN/MSN
WP2874	Liver X receptor pathway	2	-0.965183752417795	-1.6510060225506	0.00440537851446305	0.00440537851446305	0.19463593926137	147	tags=100%, list=4%, signal=96%	CYP3A4
WP4564	Neural crest cell migration during development	10	0.614295039853269	1.85681938390961	0.00458981913506422	0.00458981913506422	0.19463593926137	397	tags=50%, list=10%, signal=45%	PIK3CA/BUB1B-PAK6/PAK6/PIK3CG/F2RL2
WP4565	Neural crest cell migration in cancer	10	0.614295039853269	1.85681938390961	0.00458981913506422	0.00458981913506422	0.19463593926137	397	tags=50%, list=10%, signal=45%	PIK3CA/BUB1B-PAK6/PAK6/PIK3CG/F2RL2
WP2636	Common pathways underlying drug addiction	9	0.635192257801897	1.87023835546759	0.00517302492827289	0.00517302492827289	0.204742881371643	1106	tags=78%, list=27%, signal=57%	CAMK2A/PPP1CB/PRKCB/RAP1B/ADCY1/DRD2/PRKCA
WP3303	RAC1/PAK1/p38/MMP2 pathway	22	0.465013654406759	1.76072544465324	0.00592195242851643	0.00592195242851643	0.208450878835075	923	tags=48%, list=22%, signal=37%	YAP1/EIF4EBP1/CASP7/PIK3CA/NOS2/RASA1/TNIP3/EGFR/HRAS/HRAS/MAPK11
WP183	Proteasome degradation	24	0.457893299678578	1.77169903598163	0.00596893917231641	0.00596893917231641	0.208450878835075	889	tags=38%, list=21%, signal=30%	PSME2/PSME2/PSMB1/PSMB1/PSMB4/PSMB3/PSMB3/PSMB2/PSME3/PSMA2/PSMA3/PSMB7/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/HLA-F/UBA1
WP4142	Metabolism of sphingolipids in ER and Golgi apparatus	4	0.803862343441719	1.773189698078	0.00808193394589532	0.00808193394589532	0.266562031899705	500	tags=75%, list=12%, signal=66%	B4GALT2/SPHK2/SPHK1
WP35	G protein signaling pathways	25	0.449478439349477	1.75355815321657	0.00884191936514103	0.00884191936514103	0.276279364096373	1719	tags=73%, list=42%, signal=43%	PRKCH/PDE8A/PDE7B/PRKCB/PPP3CC/PDE4B/GNB5/AKAP5/ADCY1/PRKCE/HRAS/HRAS/PDE1C/PRKCA/GNA11/PDE7A/AKAP11/AKAP10/PRKCZ
WP5083	Neuroinflammation and glutamatergic signaling	25	0.441390150680315	1.72200317015241	0.0105633137213993	0.0105633137213993	0.290015745247516	1320	tags=60%, list=32%, signal=41%	CAMK2A/SMAD4/DLD/PPP1CB/PRKCB/SLC7A10/SLC1A2/ADCY1/JAK1/IL13RA1/CAMK2B/PRKCA/CAMK2D/SOCS3/TGFBR1
