ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
WP430	Statin inhibition of cholesterol production	4	-0.899068322981366	-2.09660818669284	0.000281272181871137	0.000281272181871137	0.170539765008184	330	tags=100%, list=10%, signal=90%	SCARB1/APOA2/PDIA2
WP117	GPCRs, other	32	0.502912439908214	1.8688684574877	0.000609652433337991	0.000609652433337991	0.184820948211938	314	tags=51%, list=10%, signal=47%	HTR1F/CXCR2/SSTR2/HRH4/CCKBR/CELSR2/OR2F1/OR2F1/OR1N1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2A5/OR2A5/NTSR1/OR2M4/OR5AC2
WP5111	Familial hyperlipidemia type 4	4	-0.854968944099379	-1.99376937408131	0.00130209777957734	0.00130209777957734	0.263160814398789	472	tags=100%, list=15%, signal=85%	LRP1/APOA2/PDIA2
WP455	GPCRs, class A rhodopsin-like	94	0.360659034004749	1.54973954410927	0.00286736059765489	0.00286736059765489	0.378336359098515	774	tags=47%, list=24%, signal=37%	HTR1F/CXCR2/SSTR2/ADRB1/CXCR4/ADRA2A/CCKBR/TRHR/GPR87/OR1Q1/SUCNR1/AVPR2/OR7A5/OR1A2/OR2F1/OR2F1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/OR2H1/CCR2/CHRM4/NTSR1/OPN4/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/OR12D3/HRH3/ADRB2/DRD1/OR10J1/ADORA2B/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/OR5V1/GALR1/NPY5R/P2RY12/NPY6R/GPR63/TBXA2R/OR10H2/GPR37/AVPR1B/OR10H1
WP4483	Relationship between inflammation, COX-2 and EGFR	4	-0.819875776397516	-1.91193285418622	0.00315046141763622	0.00315046141763622	0.378336359098515	585	tags=100%, list=18%, signal=82%	AKT3/KRAS/PTGES2/PIK3CD
WP5074	Kallmann syndrome	6	0.736316436337735	1.7661140632372	0.00403977348000033	0.00403977348000033	0.378336359098515	500	tags=67%, list=16%, signal=56%	OTX2/CHD7/NEUROG1/PLXND1
WP2032	Thyroid stimulating hormone (TSH) signaling pathway	9	0.640631657116486	1.75362019935387	0.00464686742864772	0.00464686742864772	0.378336359098515	683	tags=70%, list=21%, signal=55%	MAP2K1/PDPK1/SCRIB/SCRIB/CGA/RBL2/CCND3
WP4582	Cancer immunotherapy by CTLA4 blockade	4	-0.804037267080745	-1.87499778768489	0.00499193807143874	0.00499193807143874	0.378336359098515	636	tags=100%, list=20%, signal=80%	PIK3R3/PIK3CD/PTPN11
WP4747	Netrin-UNC5B signaling pathway	13	0.577499459601007	1.74636183439961	0.00649579955940147	0.00649579955940147	0.378977467438443	613	tags=57%, list=19%, signal=46%	MAP2K1/ARHGEF12/INPP5D/INPP5D/RLF/FYN/ALPL/NEO1
WP4331	Neovascularisation processes	7	0.675065843159844	1.70423314177134	0.00794903680300814	0.00794903680300814	0.378977467438443	239	tags=57%, list=7%, signal=53%	CXCR4/SMAD2/SMAD1/TGFB3
