	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044283	BP	GO:0044283	small molecule biosynthetic process	19/255	306/10096	0.000273381997071895	0.000273381997071895	0.578266185546793	ACAA2/ADA/AKR1B1/CASP1/CLN3/EDN1/EGR1/GOT1/INSIG1/KLHL25/MTHFD1L/MVD/OAT/PLTP/PRKAB1/PTH1R/RGN/SIRT6/SPHK1	19
GO:0042474	BP	GO:0042474	middle ear morphogenesis	4/255	16/10096	0.000569298691805348	0.000569298691805348	0.578266185546793	EDN1/INSIG1/SIX2/TBX1	4
GO:0045823	BP	GO:0045823	positive regulation of heart contraction	4/255	17/10096	0.000729794588202529	0.000729794588202529	0.578266185546793	ADA/ADRB1/EDN1/NKX2-5	4
GO:1903524	BP	GO:1903524	positive regulation of blood circulation	4/255	17/10096	0.000729794588202529	0.000729794588202529	0.578266185546793	ADA/ADRB1/EDN1/NKX2-5	4
GO:0001569	BP	GO:0001569	branching involved in blood vessel morphogenesis	4/255	19/10096	0.0011421910145108	0.0011421910145108	0.65745615827565	ABL1/EDN1/ENG/SIRT6	4
GO:0032543	BP	GO:0032543	mitochondrial translation	9/255	105/10096	0.00132130125726798	0.00132130125726798	0.65745615827565	LARS2/MRPL30/MRPL38/MRPL4/MRPL57/MRPS10/MRPS2/MRPS28/MRPS6	9
GO:0010460	BP	GO:0010460	positive regulation of heart rate	3/255	10/10096	0.00167532318851439	0.00167532318851439	0.65745615827565	ADA/ADRB1/EDN1	3
GO:0021675	BP	GO:0021675	nerve development	6/255	52/10096	0.00188245988079467	0.00188245988079467	0.65745615827565	EDN1/GABRA5/NEUROG1/NGF/NTF3/TBX1	6
GO:0009948	BP	GO:0009948	anterior/posterior axis specification	5/255	36/10096	0.00196355840177293	0.00196355840177293	0.65745615827565	FRS2/LDB1/NEUROG1/SIX2/WLS	5
GO:1900006	BP	GO:1900006	positive regulation of dendrite development	3/255	12/10096	0.00295849931713645	0.00295849931713645	0.65745615827565	ABL1/ALK/PTN	3
GO:0060415	BP	GO:0060415	muscle tissue morphogenesis	5/255	41/10096	0.00352351311347249	0.00352351311347249	0.65745615827565	ENG/FKBP1A/NKX2-5/SMAD7/TBX1	5
GO:0051222	BP	GO:0051222	positive regulation of protein transport	13/255	218/10096	0.00355700409564705	0.00355700409564705	0.65745615827565	ANK3/ANP32B/BBC3/CLN3/CNST/DNM1L/GPR68/OAZ1/SAR1B/SIRT6/UBE2J2/VPS28/WLS	13
GO:0140053	BP	GO:0140053	mitochondrial gene expression	9/255	124/10096	0.00412706658370788	0.00412706658370788	0.65745615827565	LARS2/MRPL30/MRPL38/MRPL4/MRPL57/MRPS10/MRPS2/MRPS28/MRPS6	9
GO:0051899	BP	GO:0051899	membrane depolarization	5/255	43/10096	0.00434478806468901	0.00434478806468901	0.65745615827565	ABL1/ANK3/EDN1/KCNJ2/SMAD7	5
GO:0042180	BP	GO:0042180	cellular ketone metabolic process	9/255	125/10096	0.00435183278448488	0.00435183278448488	0.65745615827565	AKR1B1/AKR7A2/CLN3/CPT1A/EGR1/INSIG1/KLHL25/RGN/SIRT6	9
GO:0055010	BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	4/255	27/10096	0.00441417531636105	0.00441417531636105	0.65745615827565	ENG/FKBP1A/NKX2-5/SMAD7	4
GO:0045987	BP	GO:0045987	positive regulation of smooth muscle contraction	3/255	14/10096	0.00471544540353457	0.00471544540353457	0.65745615827565	ADA/EDN1/SPHK1	3
GO:1902430	BP	GO:1902430	negative regulation of amyloid-beta formation	3/255	14/10096	0.00471544540353457	0.00471544540353457	0.65745615827565	BIN1/CHRNA7/RTN2	3
GO:0042987	BP	GO:0042987	amyloid precursor protein catabolic process	5/255	44/10096	0.00480281002599333	0.00480281002599333	0.65745615827565	BIN1/CHRNA7/CLN3/FKBP1A/RTN2	5
GO:0006891	BP	GO:0006891	intra-Golgi vesicle-mediated transport	4/255	28/10096	0.00504931015684767	0.00504931015684767	0.65745615827565	COG1/COPZ1/RAB41/RAB6C	4
GO:0006937	BP	GO:0006937	regulation of muscle contraction	7/255	84/10096	0.00523470843218028	0.00523470843218028	0.65745615827565	ADA/BIN1/EDN1/KCNJ2/NKX2-5/SMAD7/SPHK1	7
GO:1904951	BP	GO:1904951	positive regulation of establishment of protein localization	13/255	230/10096	0.00557716278242903	0.00557716278242903	0.65745615827565	ANK3/ANP32B/BBC3/CLN3/CNST/DNM1L/GPR68/OAZ1/SAR1B/SIRT6/UBE2J2/VPS28/WLS	13
GO:0009264	BP	GO:0009264	deoxyribonucleotide catabolic process	3/255	15/10096	0.00578541532471372	0.00578541532471372	0.65745615827565	ADA/DCTPP1/MBD4	3
GO:0046386	BP	GO:0046386	deoxyribose phosphate catabolic process	3/255	15/10096	0.00578541532471372	0.00578541532471372	0.65745615827565	ADA/DCTPP1/MBD4	3
GO:0002027	BP	GO:0002027	regulation of heart rate	5/255	46/10096	0.00581991632563086	0.00581991632563086	0.65745615827565	ADA/ADRB1/BIN1/EDN1/KCNJ2	5
GO:0048644	BP	GO:0048644	muscle organ morphogenesis	5/255	46/10096	0.00581991632563086	0.00581991632563086	0.65745615827565	ENG/FKBP1A/NKX2-5/SMAD7/TBX1	5
GO:0051223	BP	GO:0051223	regulation of protein transport	17/255	341/10096	0.00584508997779451	0.00584508997779451	0.65745615827565	ANK3/ANP32B/BBC3/CLN3/CNST/CPT1A/DNM1L/GDI1/GPR68/INSIG1/OAZ1/SAR1B/SIAH3/SIRT6/UBE2J2/VPS28/WLS	17
GO:0032990	BP	GO:0032990	cell part morphogenesis	20/255	432/10096	0.00655059833206195	0.00655059833206195	0.65745615827565	ABL1/ANK3/CHRNA7/DNM1L/EDN1/EFNB3/EMX1/GDF7/GDI1/KIF13B/KIF5A/MAP1S/NGF/NTF3/PTN/RAB21/SNX2/TUBB2B/TUBB3/ZNF365	20
GO:0016053	BP	GO:0016053	organic acid biosynthetic process	10/255	158/10096	0.00672898127198946	0.00672898127198946	0.65745615827565	CASP1/CLN3/EDN1/GOT1/INSIG1/KLHL25/MTHFD1L/OAT/PRKAB1/RGN	10
GO:0046394	BP	GO:0046394	carboxylic acid biosynthetic process	10/255	158/10096	0.00672898127198946	0.00672898127198946	0.65745615827565	CASP1/CLN3/EDN1/GOT1/INSIG1/KLHL25/MTHFD1L/OAT/PRKAB1/RGN	10
GO:0045807	BP	GO:0045807	positive regulation of endocytosis	6/255	67/10096	0.00674447089661137	0.00674447089661137	0.65745615827565	BIN1/CLN3/NTF3/PPP3CC/RAB21/VPS28	6
GO:0072529	BP	GO:0072529	pyrimidine-containing compound catabolic process	3/255	16/10096	0.00698913454769256	0.00698913454769256	0.65745615827565	APOBEC3B/DCTPP1/MBD4	3
