node	mux	agg	layer1	layer2	layer3	layer4
1	0.5	2	1	0	0	0
2	2.5	10	5	0	0	0
3	4.5	18	9	0	0	0
4	1	4	2	0	0	0
5	2	8	4	0	0	0
6	7.4	29.6	14.8	0	0	0
7	0.5	2	1	0	0	0
8	0.5	2	1	0	0	0
9	6.4	25.6	12.8	0	0	0
10	2	8	4	0	0	0
11	6.4	25.6	12.8	0	0	0
12	0.5	2	1	0	0	0
13	4.2	16.8	8.4	0	0	0
14	9.8	39.2	19.6	0	0	0
15	0.5	2	1	0	0	0
16	0.2	0.8	0.4	0	0	0
17	0.2	0.8	0.4	0	0	0
18	1.9	7.6	3.8	0	0	0
19	2.1	8.4	4.2	0	0	0
20	1	4	2	0	0	0
21	12.8	51.2	25.6	0	0	0
22	2.1	8.4	4.2	0	0	0
23	0.6	2.4	1.2	0	0	0
24	0.6	2.4	1.2	0	0	0
25	3.4	13.6	6.8	0	0	0
26	5.1	20.4	10.2	0	0	0
27	5.2	20.8	10.4	0	0	0
28	0.2	0.8	0.4	0	0	0
29	0.5	2	1	0	0	0
30	0.4	1.6	0.8	0	0	0
31	1.4	5.6	2.8	0	0	0
32	5	20	10	0	0	0
33	1.4	5.6	2.8	0	0	0
34	0.7	2.8	1.4	0	0	0
35	0.5	2	1	0	0	0
36	5.2	20.8	10.4	0	0	0
37	1.1	4.4	2.2	0	0	0
38	2.8	11.2	5.6	0	0	0
39	0.4	1.6	0.8	0	0	0
40	1.2	4.8	2.4	0	0	0
41	2.4	9.6	4.8	0	0	0
42	2.3	9.2	4.6	0	0	0
43	1.2	4.8	2.4	0	0	0
44	2	8	4	0	0	0
45	18.4	73.6	36.8	0	0	0
46	11.3	45.2	22.6	0	0	0
47	18.3	73.2	36.6	0	0	0
48	1	4	2	0	0	0
49	0.5	2	1	0	0	0
50	0.5	2	1	0	0	0
51	9	36	18	0	0	0
52	6.7	26.8	13.4	0	0	0
53	6.4	25.6	12.8	0	0	0
54	7.9	31.6	15.8	0	0	0
55	2.5	10	5	0	0	0
56	6.7	26.8	13.4	0	0	0
57	4.2	16.8	8.4	0	0	0
58	7.8	31.2	15.6	0	0	0
59	8.9	35.6	17.8	0	0	0
60	4	16	8	0	0	0
61	7.2	28.8	14.4	0	0	0
62	3.1	12.4	6.2	0	0	0
63	10.6	42.4	21.2	0	0	0
64	5.5	22	11	0	0	0
65	2.6	10.4	5.2	0	0	0
66	11.3	45.2	22.6	0	0	0
67	4.4	17.6	8.8	0	0	0
68	3.8	15.2	7.6	0	0	0
69	1.2	4.8	2.4	0	0	0
70	4.3	17.2	8.6	0	0	0
71	15.2	60.8	30.4	0	0	0
72	3	12	6	0	0	0
73	2	8	4	0	0	0
74	1.5	6	3	0	0	0
75	0.2	0.8	0.4	0	0	0
76	4.6	18.4	9.2	0	0	0
77	0.5	2	1	0	0	0
78	2.1	8.4	4.2	0	0	0
79	3.6	14.4	7.2	0	0	0
80	4.2	16.8	8.4	0	0	0
81	5.7	22.8	11.4	0	0	0
82	4.4	17.6	8.8	0	0	0
83	2.5	10	5	0	0	0
84	6.3	25.2	12.6	0	0	0
85	0.2	0.8	0.4	0	0	0
86	10.9	43.6	21.8	0	0	0
87	2.8	11.2	5.6	0	0	0
88	0.7	2.8	1.4	0	0	0
89	0.7	2.8	1.4	0	0	0
90	4.5	18	9	0	0	0
91	1.7	6.8	3.4	0	0	0
92	1.1	4.4	2.2	0	0	0
93	1.6	6.4	3.2	0	0	0
94	2.5	10	5	0	0	0
95	4.4	17.6	8.8	0	0	0
96	0.2	0.8	0.4	0	0	0
97	0.5	2	1	0	0	0
98	2	8	4	0	0	0
99	6.5	26	13	0	0	0
100	0.6	2.4	1.2	0	0	0
101	4.8	19.2	9.6	0	0	0
102	1.5	6	3	0	0	0
103	5.1	20.4	10.2	0	0	0
104	8.9	35.6	17.8	0	0	0
105	2.5	10	5	0	0	0
106	1.7	6.8	3.4	0	0	0
107	0.7	2.8	1.4	0	0	0
108	4.5	18	9	0	0	0
109	9	36	18	0	0	0
110	4.9	19.6	9.8	0	0	0
111	2.5	10	5	0	0	0
112	7.9	31.6	15.8	0	0	0
113	8.2	32.8	16.4	0	0	0
114	0.7	2.8	1.4	0	0	0
115	5.7	22.8	11.4	0	0	0
116	5.7	22.8	11.4	0	0	0
117	1	4	2	0	0	0
118	9.4	37.6	18.8	0	0	0
119	5.9	23.6	11.8	0	0	0
120	5.9	23.6	11.8	0	0	0
121	1	4	2	0	0	0
122	2.3	9.2	4.6	0	0	0
123	4.8	19.2	9.6	0	0	0
124	0.4	1.6	0.8	0	0	0
125	1.6	6.4	3.2	0	0	0
126	4.8	19.2	9.6	0	0	0
127	6.9	27.6	13.8	0	0	0
128	3.3	13.2	6.6	0	0	0
129	10.2	40.8	20.4	0	0	0
130	0.9	3.6	1.8	0	0	0
131	4.6	18.4	9.2	0	0	0
132	2.6	10.4	5.2	0	0	0
133	6.1	24.4	12.2	0	0	0
134	3.9	15.6	7.8	0	0	0
135	4.8	19.2	9.6	0	0	0
136	3.4	13.6	6.8	0	0	0
137	6.4	25.6	12.8	0	0	0
138	1	4	2	0	0	0
139	1.4	5.6	2.8	0	0	0
140	5.7	22.8	11.4	0	0	0
141	9.6	38.4	19.2	0	0	0
142	0.2	0.8	0.4	0	0	0
143	0.9	3.6	1.8	0	0	0
144	1.8	7.2	3.6	0	0	0
145	1.5	6	3	0	0	0
146	1	4	2	0	0	0
147	4	16	8	0	0	0
148	1	4	2	0	0	0
149	6.9	27.6	13.8	0	0	0
150	0.7	2.8	1.4	0	0	0
151	7.8	31.2	15.6	0	0	0
152	4.3	17.2	8.6	0	0	0
153	5.2	20.8	10.4	0	0	0
154	1.4	5.6	2.8	0	0	0
155	3	12	6	0	0	0
156	10.4	41.6	20.8	0	0	0
157	0.5	2	1	0	0	0
158	0.8	3.2	1.6	0	0	0
159	8	32	16	0	0	0
160	13.3	53.2	26.6	0	0	0
161	10.2	40.8	20.4	0	0	0
162	0.9	3.6	1.8	0	0	0
163	5.6	22.4	11.2	0	0	0
164	2.3	9.2	4.6	0	0	0
165	5.6	22.4	11.2	0	0	0
166	11.5	46	23	0	0	0
167	1.4	5.6	2.8	0	0	0
168	3.7	14.8	7.4	0	0	0
169	0.4	1.6	0.8	0	0	0
170	5.3	21.2	10.6	0	0	0
171	4.6	18.4	9.2	0	0	0
172	2.2	8.8	4.4	0	0	0
173	3.4	13.6	6.8	0	0	0
174	7	28	14	0	0	0
175	8.4	33.6	16.8	0	0	0
176	1.2	4.8	2.4	0	0	0
177	0.2	0.8	0.4	0	0	0
178	0.6	2.4	1.2	0	0	0
179	0.5	2	1	0	0	0
180	3.5	14	7	0	0	0
181	2	8	4	0	0	0
182	6.2	24.8	12.4	0	0	0
183	12.4	49.6	24.8	0	0	0
184	1.9	7.6	3.8	0	0	0
185	6	24	12	0	0	0
186	5.5	22	11	0	0	0
187	3.6	14.4	7.2	0	0	0
188	10	40	20	0	0	0
189	6.6	26.4	13.2	0	0	0
190	2.4	9.6	4.8	0	0	0
191	7.3	29.2	14.6	0	0	0
192	7.8	31.2	15.6	0	0	0
193	9.8	39.2	19.6	0	0	0
194	19.1	76.4	38.2	0	0	0
195	10.3	41.2	20.6	0	0	0
196	0.7	2.8	1.4	0	0	0
197	2.1	8.4	4.2	0	0	0
198	7.9	31.6	15.8	0	0	0
199	3	12	6	0	0	0
200	3.5	14	7	0	0	0
201	1.7	6.8	3.4	0	0	0
202	6	24	12	0	0	0
203	2.5	10	5	0	0	0
204	0.9	3.6	1.8	0	0	0
205	0.7	2.8	1.4	0	0	0
206	3.9	15.6	7.8	0	0	0
207	0.6	2.4	1.2	0	0	0
208	6	24	12	0	0	0
209	16.1	64.3999999999999	32.2	0	0	0
210	2.2	8.8	4.4	0	0	0
211	6.6	26.4	13.2	0	0	0
212	5	20	10	0	0	0
213	2.1	8.4	4.2	0	0	0
214	5.9	23.6	11.8	0	0	0
215	5.6	22.4	11.2	0	0	0
216	0.7	2.8	1.4	0	0	0
217	3.3	13.2	6.6	0	0	0
218	1	4	2	0	0	0
219	1.5	6	3	0	0	0
220	1.9	7.6	3.8	0	0	0
221	2.2	8.8	4.4	0	0	0
222	2.8	11.2	5.6	0	0	0
223	2.6	10.4	5.2	0	0	0
224	1.4	5.6	2.8	0	0	0
225	4.6	18.4	9.2	0	0	0
226	4	16	8	0	0	0
227	4.3	17.2	8.6	0	0	0
228	1.5	6	3	0	0	0
229	7.6	30.4	15.2	0	0	0
230	2.1	8.4	4.2	0	0	0
231	18.9	75.6	37.8	0	0	0
232	7.9	31.6	15.8	0	0	0
233	2.5	10	5	0	0	0
234	1.5	6	3	0	0	0
235	10.9	43.6	21.8	0	0	0
236	9	36	18	0	0	0
237	0.5	2	1	0	0	0
238	5.2	20.8	10.4	0	0	0
239	8.2	32.8	16.4	0	0	0
240	7.5	30	15	0	0	0
241	0.8	3.2	1.6	0	0	0
242	1.7	6.8	3.4	0	0	0
243	0.2	0.8	0.4	0	0	0
244	3.3	13.2	6.6	0	0	0
245	10.4	41.6	20.8	0	0	0
246	10.8	43.2	21.6	0	0	0
247	1.6	6.4	3.2	0	0	0
248	12.2	48.8	24.4	0	0	0
249	0.4	1.6	0.8	0	0	0
250	1.2	4.8	2.4	0	0	0
251	0.8	3.2	1.6	0	0	0
252	2.8	11.2	5.6	0	0	0
253	1.6	6.4	3.2	0	0	0
254	0.9	3.6	1.8	0	0	0
255	4.1	16.4	8.2	0	0	0
256	10.3	41.2	20.6	0	0	0
257	0.4	1.6	0.8	0	0	0
258	6.3	25.2	12.6	0	0	0
259	8.3	33.2	16.6	0	0	0
260	0.7	2.8	1.4	0	0	0
261	1.7	6.8	3.4	0	0	0
262	3.6	14.4	7.2	0	0	0
263	1.3	5.2	2.6	0	0	0
264	2	8	4	0	0	0
265	5.3	21.2	10.6	0	0	0
266	10.6	42.4	21.2	0	0	0
267	8	32	16	0	0	0
268	0.6	2.4	1.2	0	0	0
269	3.8	15.2	7.6	0	0	0
270	9.4	37.6	18.8	0	0	0
271	7.1	28.4	14.2	0	0	0
272	0.8	3.2	1.6	0	0	0
273	4.4	17.6	8.8	0	0	0
274	9	36	18	0	0	0
275	0.5	2	1	0	0	0
276	1	4	2	0	0	0
277	23	91.9999999999999	45.9999999999999	0	0	0
278	1.8	7.2	3.6	0	0	0
279	0.2	0.8	0.4	0	0	0
280	1.2	4.8	2.4	0	0	0
281	3.7	14.8	7.4	0	0	0
282	16.8	67.2	33.6	0	0	0
283	0.6	2.4	1.2	0	0	0
284	0.5	2	1	0	0	0
285	0.2	0.8	0.4	0	0	0
286	2.6	10.4	5.2	0	0	0
287	2.6	10.4	5.2	0	0	0
288	0.5	2	1	0	0	0
289	4.1	16.4	8.2	0	0	0
290	3.8	15.2	7.6	0	0	0
291	5.5	22	11	0	0	0
292	34.4	137.6	68.7999999999999	0	0	0
293	2.2	8.8	4.4	0	0	0
294	5.6	22.4	11.2	0	0	0
295	5.9	23.6	11.8	0	0	0
296	5	20	10	0	0	0
297	1.9	7.6	3.8	0	0	0
298	0.2	0.8	0.4	0	0	0
299	3	12	6	0	0	0
300	0.7	2.8	1.4	0	0	0
301	0.9	3.6	1.8	0	0	0
302	3.6	14.4	7.2	0	0	0
303	14.3	57.2	28.6	0	0	0
304	9.5	38	19	0	0	0
305	0.2	0.8	0.4	0	0	0
306	2.4	9.6	4.8	0	0	0
307	0.2	0.8	0.4	0	0	0
308	0.2	0.8	0.4	0	0	0
309	1.3	5.2	2.6	0	0	0
310	2.3	9.2	4.6	0	0	0
311	4.5	18	9	0	0	0
312	3.8	15.2	7.6	0	0	0
313	1.4	5.6	2.8	0	0	0
314	1.7	6.8	3.4	0	0	0
315	2.8	11.2	5.6	0	0	0
316	0.4	1.6	0.8	0	0	0
317	7.2	28.8	14.4	0	0	0
318	0.8	3.2	1.6	0	0	0
319	9.2	36.8	18.4	0	0	0
320	1.4	5.6	2.8	0	0	0
321	0.4	1.6	0.8	0	0	0
322	14.2	56.7999999999999	28.4	0	0	0
323	0.2	0.8	0.4	0	0	0
324	3.2	12.8	6.4	0	0	0
325	1	4	2	0	0	0
326	12.4	49.6	24.8	0	0	0
327	0.2	0.8	0.4	0	0	0
328	0.4	1.6	0.8	0	0	0
329	1.3	5.2	2.6	0	0	0
330	11.1	44.4	22.2	0	0	0
331	1.7	6.8	3.4	0	0	0
332	1.5	6	3	0	0	0
333	6.4	25.6	12.8	0	0	0
334	4.8	19.2	9.6	0	0	0
335	10.6	42.4	21.2	0	0	0
336	11.7	46.8	23.4	0	0	0
337	0.2	0.8	0.4	0	0	0
338	0.4	1.6	0.8	0	0	0
339	1.8	7.2	3.6	0	0	0
340	0.5	2	1	0	0	0
341	0.2	0.8	0.4	0	0	0
342	13.5	54	27	0	0	0
343	6.8	27.2	13.6	0	0	0
344	20.1	80.4	40.2	0	0	0
345	26.6	106.4	53.2	0	0	0
346	4.9	19.6	9.8	0	0	0
347	7.4	29.6	14.8	0	0	0
348	3.4	13.6	6.8	0	0	0
349	16.3	65.2	32.6	0	0	0
350	19.1	76.4	38.2	0	0	0
351	1.2	4.8	2.4	0	0	0
352	5.3	21.2	10.6	0	0	0
353	1.5	6	3	0	0	0
354	3.2	12.8	6.4	0	0	0
355	1	4	2	0	0	0
356	3.4	13.6	6.8	0	0	0
357	5.4	21.6	10.8	0	0	0
358	5.2	20.8	10.4	0	0	0
359	2	8	4	0	0	0
360	0.4	1.6	0.8	0	0	0
361	0.4	1.6	0.8	0	0	0
362	4.8	19.2	9.6	0	0	0
363	0.2	0.8	0.4	0	0	0
364	1.6	6.4	3.2	0	0	0
365	9	36	18	0	0	0
366	0.4	1.6	0.8	0	0	0
367	2.2	8.8	4.4	0	0	0
368	6.1	24.4	12.2	0	0	0
369	0.2	0.8	0.4	0	0	0
370	20	79.9999999999999	40	0	0	0
371	2.4	9.6	4.8	0	0	0
372	4.3	17.2	8.6	0	0	0
373	6.8	27.2	13.6	0	0	0
374	7.4	29.6	14.8	0	0	0
375	0.9	3.6	1.8	0	0	0
376	5.5	22	11	0	0	0
377	1.5	6	3	0	0	0
378	3	12	6	0	0	0
379	3.2	12.8	6.4	0	0	0
380	3.5	14	7	0	0	0
381	7.9	31.6	15.8	0	0	0
382	7.6	30.4	15.2	0	0	0
