node	agg	layer1	layer2	layer3	layer4
62525	2736	0	0	0	2736
62553	2016	0	0	0	2016
6268	1302	0	130	1201	0
9420	1075	0	81	1017	0
10773	1044	0	116	979	0
11031	1025	0	145	929	0
11033	980	0	82	913	0
7223	962	0	174	800	0
10474	956	0	54	915	0
7152	930	0	160	810	0
62530	899	0	0	0	899
11032	863	0	81	795	0
10476	813	0	87	743	0
10475	809	0	71	755	0
6150	799	0	137	680	0
6651	788	0	84	721	0
10004	786	0	98	701	0
8899	764	0	91	695	0
10005	757	0	68	701	0
7154	744	0	143	612	0
6766	742	0	154	608	0
7139	734	0	126	634	0
62570	729	0	0	0	729
62558	720	0	0	0	720
9426	719	0	139	606	0
10687	712	0	102	623	0
10380	710	0	162	575	0
10914	692	0	102	611	0
10521	682	0	107	595	0
9429	674	0	57	629	0
7153	669	0	172	527	0
10326	662	0	101	580	0
6520	658	0	156	518	0
9515	657	0	72	604	0
7036	618	0	69	558	0
6521	617	0	223	433	0
62556	614	0	0	0	614
10322	609	0	79	542	0
10313	605	0	62	552	0
66593	604	0	0	0	604
66591	599	0	0	0	599
7990	593	0	233	393	0
9194	593	0	88	523	0
6630	591	0	101	505	0
9413	575	0	132	462	0
10522	571	0	42	537	0
14980	563	0	21	544	0
7062	561	0	208	384	0
6097	558	0	142	446	0
62527	548	0	0	0	548
62528	548	0	0	0	548
12814	546	0	23	528	0
11058	545	0	131	427	0
6275	542	0	144	423	0
7993	538	0	107	445	0
6377	537	0	99	454	0
8942	536	0	57	487	0
7716	535	0	139	401	0
7992	529	0	99	441	0
10327	527	0	153	405	0
10343	523	0	128	430	0
10907	523	0	175	379	0
9639	522	0	121	429	0
6738	518	0	96	433	0
7916	517	0	402	149	0
11709	515	0	104	433	0
8091	514	0	539	4	0
14633	512	0	0	512	0
62531	512	0	0	0	512
9410	510	0	131	410	0
7940	509	0	497	63	0
10323	509	0	127	406	0
8250	508	0	487	54	0
7989	503	0	102	406	0
5984	502	0	69	448	0
11056	502	0	90	430	0
6238	500	0	108	409	0
9803	497	0	121	403	0
9833	497	0	77	439	0
9624	494	0	84	423	0
17117	494	0	44	453	0
11061	488	0	88	424	0
10916	485	0	129	377	0
10426	484	0	152	344	0
8045	478	0	211	300	0
9640	478	0	134	372	0
14634	478	0	0	478	0
62686	476	0	0	0	476
10738	475	0	60	432	0
17120	473	0	35	441	0
13853	469	0	40	431	0
16326	466	0	38	429	0
17118	466	0	25	443	0
62591	466	0	0	0	466
16325	465	0	32	435	0
11059	463	0	152	317	0
9412	462	0	72	402	0
17063	462	0	18	448	0
7766	461	0	210	287	0
8749	459	0	109	377	0
10429	458	0	91	385	0
10857	457	0	60	412	0
9411	455	0	61	413	0
5998	453	0	110	354	0
6890	449	0	276	193	0
8324	449	0	167	316	0
5983	447	0	225	269	0
6529	447	0	149	318	0
8279	447	0	242	229	0
10607	445	0	140	336	0
6095	444	0	110	359	0
7693	444	0	477	3	0
10692	442	0	45	403	0
8136	440	0	130	320	0
8139	440	0	190	278	0
7538	437	0	170	291	0
6648	436	0	140	325	0
6698	436	0	124	321	0
7145	435	0	206	267	0
10640	435	0	110	345	0
11002	431	0	68	371	0
17115	430	0	33	400	0
8130	429	0	392	65	0
7842	424	0	331	133	0
17114	424	0	14	411	0
11408	422	0	72	350	0
62647	422	0	0	0	422
6888	421	0	236	219	0
8246	421	0	399	51	0
9999	421	0	57	375	0
6697	419	0	110	326	0
17456	419	0	27	394	0
17116	417	0	25	394	0
17119	415	0	19	398	0
17121	415	0	27	391	0
7244	411	0	132	304	0
11201	411	0	111	322	0
9618	410	0	177	250	0
7635	409	0	191	226	0
7877	409	0	107	318	0
8033	407	0	265	181	0
8764	406	0	152	284	0
57050	406	0	16	392	0
61754	406	0	17	392	0
6348	405	0	230	201	0
7156	405	0	138	291	0
8220	405	0	221	214	0
14735	405	0	0	405	0
17562	405	0	42	364	0
10125	403	0	76	343	0
17438	403	0	25	380	0
7891	399	0	194	232	0
8073	398	0	368	74	0
7544	397	0	225	176	0
10346	396	0	83	328	0
7157	394	0	124	283	0
9563	394	0	54	349	0
7849	393	0	274	134	0
13945	393	0	25	368	0
7026	392	0	178	244	0
10688	391	0	82	320	0
62555	390	0	0	0	390
6499	389	0	126	271	0
11329	389	0	185	218	0
10122	388	0	74	325	0
6229	387	0	146	273	0
13846	387	0	30	360	0
7238	386	0	164	251	0
7917	386	0	345	74	0
6705	385	0	190	227	0
6788	385	0	151	258	0
7158	385	0	188	229	0
8331	385	0	158	244	0
9785	385	0	92	309	0
6871	384	0	257	163	0
6653	383	0	128	275	0
13848	383	0	34	349	0
7802	382	0	144	263	0
7179	381	0	111	289	0
8046	380	0	111	289	0
10494	380	0	89	310	0
7831	379	0	160	232	0
8271	379	0	208	187	0
8189	378	0	389	22	0
11553	378	0	146	264	0
9832	377	0	53	332	0
11057	377	0	147	264	0
17777	377	0	37	341	0
7192	376	0	174	231	0
10490	376	0	87	305	0
7950	374	0	138	256	0
7840	373	0	212	174	0
10528	373	0	81	308	0
8877	372	0	109	275	0
6779	371	0	188	210	0
7801	370	0	336	71	0
8047	370	0	206	196	0
8113	369	0	101	280	0
6600	368	0	201	206	0
7691	367	0	317	69	0
8269	367	0	350	63	0
7678	366	0	213	175	0
10941	366	0	82	304	0
8763	364	0	72	306	0
6710	363	0	231	172	0
8026	363	0	371	1	0
6886	362	0	171	199	0
9415	362	0	61	304	0
8168	361	0	223	165	0
10513	361	0	147	246	0
10529	361	0	93	285	0
11151	361	0	71	304	0
7937	360	0	337	64	0
10766	360	0	129	289	0
8276	359	0	108	266	0
6915	358	0	161	216	0
6696	356	0	83	287	0
7884	356	0	374	7	0
5956	354	0	209	174	0
8060	354	0	148	234	0
10689	354	0	97	277	0
17654	353	0	23	331	0
7930	352	0	183	201	0
8038	352	0	324	56	0
62577	351	0	0	0	351
7685	350	0	318	64	0
10324	350	0	86	280	0
7684	348	0	206	163	0
7911	347	0	329	53	0
7178	346	0	212	159	0
7781	346	0	162	199	0
8069	346	0	104	257	0
9407	346	0	106	260	0
11319	345	0	134	237	0
7739	344	0	358	16	0
8223	344	0	172	177	0
7747	343	0	292	80	0
7894	343	0	328	45	0
8160	343	0	252	129	0
10022	343	0	76	283	0
14668	342	0	29	313	0
7175	341	0	148	206	0
7688	341	0	347	23	0
7783	341	0	177	179	0
8457	341	0	109	249	0
10999	341	0	96	264	0
62537	341	0	0	0	341
9788	340	0	98	270	0
7023	339	0	112	244	0
8225	339	0	159	190	0
8944	339	0	123	242	0
6096	338	0	102	255	0
7899	338	0	255	110	0
7900	338	0	361	8	0
8067	338	0	203	189	0
7687	337	0	125	223	0
7837	336	0	157	200	0
8125	336	0	259	96	0
8386	336	0	115	241	0
14904	336	0	44	300	0
10517	335	0	158	212	0
10765	335	0	116	267	0
11516	335	0	83	268	0
8260	334	0	179	181	0
7713	333	0	345	22	0
7813	333	0	350	3	0
8094	333	0	227	120	0
8730	333	0	48	288	0
9188	333	0	94	261	0
15806	333	0	27	308	0
8340	332	0	97	251	0
9802	332	0	129	217	0
10637	332	0	74	276	0
9132	330	0	106	242	0
10986	330	0	79	268	0
12622	330	0	29	301	0
7122	329	0	173	172	0
7724	329	0	172	179	0
11433	329	0	87	262	0
7751	328	0	349	7	0
8100	328	0	248	120	0
9409	328	0	109	241	0
10286	328	0	82	259	0
13356	328	0	31	297	0
8624	327	0	77	267	0
8059	326	0	135	210	0
8217	326	0	351	2	0
8282	326	0	153	202	0
10134	326	0	114	224	0
9725	325	0	134	197	0
10701	325	0	94	251	0
11823	325	0	41	285	0
9272	324	0	136	211	0
7997	323	0	278	73	0
7171	322	0	196	148	0
7915	322	0	130	206	0
7943	322	0	338	7	0
8131	322	0	224	105	0
8140	322	0	148	192	0
6428	320	0	180	172	0
8087	319	0	260	93	0
9704	319	0	82	255	0
17427	319	0	16	303	0
18680	319	0	21	299	0
6418	318	0	99	237	0
7705	318	0	342	10	0
8896	318	0	88	246	0
7205	317	0	98	233	0
8128	317	0	291	33	0
8029	316	0	142	186	0
10169	316	0	62	256	0
7892	315	0	268	75	0
7996	315	0	297	28	0
9425	315	0	111	226	0
9433	315	0	83	246	0
10530	315	0	100	218	0
15807	315	0	19	296	0
11043	314	0	114	219	0
11815	314	0	16	298	0
13854	314	0	18	296	0
6461	313	0	186	155	0
9423	313	0	108	227	0
10723	313	0	100	240	0
11347	313	0	92	244	0
8141	312	0	192	138	0
10811	312	0	136	199	0
6503	311	0	165	169	0
10933	311	0	96	238	0
6870	310	0	119	210	0
7788	310	0	293	49	0
9185	310	0	124	205	0
10525	310	0	90	237	0
8237	309	0	324	7	0
62622	309	0	0	0	309
7942	308	0	116	201	0
11482	308	0	136	200	0
7236	307	0	111	214	0
8166	307	0	308	22	0
8780	307	0	78	235	0
7499	306	0	138	178	0
7876	306	0	211	102	0
7928	306	0	158	167	0
9511	306	0	116	214	0
17173	306	0	30	277	0
7160	305	0	202	117	0
8741	305	0	96	214	0
11489	305	0	200	140	0
17174	305	0	29	277	0
62888	305	0	0	0	305
10862	304	0	126	188	0
11060	304	0	93	229	0
17290	304	0	36	269	0
8167	303	0	313	21	0
10217	303	0	73	243	0
17662	303	0	32	277	0
11360	302	0	101	225	0
8053	301	0	305	27	0
8938	301	0	57	253	0
9942	301	0	70	252	0
10789	301	0	93	227	0
66598	301	0	0	0	301
7874	300	0	207	111	0
8000	300	0	315	12	0
8347	300	0	229	102	0
10112	300	0	118	204	0
11037	300	0	144	173	0
11203	300	0	126	201	0
9421	299	0	111	194	0
9424	299	0	83	228	0
14732	299	0	0	299	0
7237	298	0	204	126	0
7682	298	0	219	108	0
7794	298	0	113	193	0
8162	298	0	248	77	0
7059	297	0	134	193	0
10352	297	0	135	182	0
7679	296	0	141	174	0
8200	296	0	187	142	0
10531	296	0	118	199	0
10694	296	0	91	216	0
13475	296	0	21	276	0
17796	296	0	25	271	0
6695	295	0	125	193	0
8093	295	0	152	157	0
11824	295	0	52	247	0
7155	294	0	101	205	0
7863	294	0	311	8	0
9786	294	0	101	223	0
10092	294	0	107	211	0
10949	294	0	89	219	0
13850	294	0	38	256	0
6947	293	0	168	134	0
9635	293	0	115	186	0
11323	293	0	68	236	0
6236	292	0	179	139	0
6280	292	0	96	213	0
9422	292	0	104	206	0
17289	292	0	32	260	0
17567	292	0	35	259	0
6460	291	0	175	147	0
6882	291	0	120	196	0
7141	291	0	168	142	0
7669	291	0	282	11	0
10102	291	0	98	214	0
10589	291	0	52	255	0
17242	291	0	40	252	0
17926	291	0	28	263	0
6709	290	0	210	113	0
7683	290	0	314	3	0
17291	290	0	20	270	0
7708	289	0	223	89	0
11509	289	0	74	237	0
17657	289	0	35	258	0
6541	288	0	102	201	0
8530	288	0	71	232	0
8876	288	0	98	215	0
6745	287	0	204	106	0
8068	287	0	230	99	0
8458	287	0	104	187	0
11511	287	0	60	236	0
7035	286	0	142	166	0
7221	286	0	210	94	0
8258	286	0	286	21	0
9944	286	0	95	209	0
7744	285	0	299	1	0
7908	285	0	228	79	0
