node	mux	agg	layer1	layer2	layer3	layer4
37130	133.730441771372	2	1	0	0	0
37122	117.150920154042	4	2	0	0	0
37202	115.90269229238	2	1	0	0	0
37290	106.544285461415	2	1	0	0	0
37197	103.986599080151	2	1	0	0	0
37179	103.053096449018	2	1	0	0	0
37346	99.8712970618994	2	1	0	0	0
37244	96.1425624880634	4	2	0	0	0
33256	94.5243742560243	2	1	0	0	0
37256	91.8650361949187	2	1	0	0	0
34168	90.722846351802	6	3	0	0	0
37129	87.284329367987	2	1	0	0	0
37327	84.064496835734	2	1	0	0	0
37124	83.8976194572814	2	1	0	0	0
37169	83.7251683092693	4	2	0	0	0
37225	82.755712573264	2	1	0	0	0
37351	79.4628070987243	2	1	0	0	0
37210	79.3432701857434	2	1	0	0	0
37233	78.90211505	4	2	0	0	0
37925	78.6514214670172	2	1	0	0	0
37486	78.5780441133205	2	1	0	0	0
37457	78.5357831382862	2	1	0	0	0
33625	78.4615588462127	2	1	0	0	0
33845	77.4856567814284	2	1	0	0	0
37245	77.1803786601785	4	2	0	0	0
37148	76.3666703063802	2	1	0	0	0
34263	75.2885538640749	2	1	0	0	0
37255	74.6888687999999	2	1	0	0	0
37420	74.6221446779321	2	1	0	0	0
37143	74.4608399055975	2	1	0	0	0
37132	73.7131031465307	2	1	0	0	0
33391	73.6151702097687	2	1	0	0	0
37360	73.2183715935042	2	1	0	0	0
37226	72.4879975369833	2	1	0	0	0
37176	72.1216376	2	1	0	0	0
37314	71.2066694	2	1	0	0	0
37133	71.0438360999185	2	1	0	0	0
34585	70.577736514068	2	1	0	0	0
37666	70.1633693059562	2	1	0	0	0
37193	70.0002864775625	2	1	0	0	0
37183	69.9287349280754	2	1	0	0	0
37299	69.5714814273817	2	1	0	0	0
34968	69.4983076570514	2	1	0	0	0
37277	69.0877750440293	2	1	0	0	0
37206	68.6676454570317	6	3	0	0	0
37285	68.3723494284096	2	1	0	0	0
37172	67.43061345	4	2	0	0	0
37189	67.2616850089767	2	1	0	0	0
37289	67.1949743	4	2	0	0	0
37173	67.0830381202806	4	2	0	0	0
37139	66.9687331754352	2	1	0	0	0
35007	66.5570607483424	2	1	0	0	0
37302	66.2927503591085	4	2	0	0	0
37475	65.6630875140401	2	1	0	0	0
37190	65.2820190304532	2	1	0	0	0
34485	64.6366567386348	2	1	0	0	0
33401	64.3298874	2	1	0	0	0
37759	63.7899662759317	4	2	0	0	0
37234	63.1478052346288	2	1	0	0	0
37238	63.048963141479	2	1	0	0	0
37192	62.8969855373693	2	1	0	0	0
37213	62.0397477251603	2	1	0	0	0
37177	62.0049800386104	2	1	0	0	0
37272	61.9258273684822	2	1	0	0	0
37212	61.3602519694841	2	1	0	0	0
37214	61.351174676198	2	1	0	0	0
37374	61.22551405	2	1	0	0	0
37427	60.8600689929234	2	1	0	0	0
37736	60.3380681895035	4	2	0	0	0
33274	60.2055040971066	2	1	0	0	0
37764	59.9757342601047	4	2	0	0	0
37555	59.6559088523059	2	1	0	0	0
37239	59.3976323538383	4	2	0	0	0
37260	59.3667075299502	4	2	0	0	0
37503	59.3613772174888	2	1	0	0	0
37395	59.1642864096261	2	1	0	0	0
37354	59.0342849	4	2	0	0	0
33347	58.8093988600473	2	1	0	0	0
37196	58.7465885132802	2	1	0	0	0
37765	58.6747607248714	6	3	0	0	0
37690	58.6449526714748	2	1	0	0	0
37246	58.50979925	4	2	0	0	0
37384	58.437167963936	2	1	0	0	0
37355	58.4146460863682	2	1	0	0	0
37350	58.3729908551018	2	1	0	0	0
37275	58.1615048976911	2	1	0	0	0
33796	57.7169633416045	2	1	0	0	0
37281	57.6642348657633	2	1	0	0	0
37434	57.6609222822722	2	1	0	0	0
37448	57.6336737376145	4	2	0	0	0
37366	57.4896741634254	2	1	0	0	0
37247	57.4591432	4	2	0	0	0
37217	57.2170643	2	1	0	0	0
37347	57.1670000698958	2	1	0	0	0
37134	57.1034631	6	3	0	0	0
37495	56.5298213382874	2	1	0	0	0
19348	56.5096488821881	2	1	0	0	0
37402	56.4290660241168	2	1	0	0	0
37259	56.3376332	2	1	0	0	0
37331	55.9475586	2	1	0	0	0
37375	55.7832108717958	2	1	0	0	0
37120	55.721913	4	2	0	0	0
37288	55.5737021849794	2	1	0	0	0
37399	55.5312335166279	2	1	0	0	0
33319	55.444551350465	2	1	0	0	0
37131	55.2908152	2	1	0	0	0
37322	55.2216796355806	2	1	0	0	0
37181	54.9699460286531	2	1	0	0	0
37336	54.8651065338888	2	1	0	0	0
19351	54.55577925	2	1	0	0	0
37532	54.4840835555532	4	2	0	0	0
37446	54.434666029805	2	1	0	0	0
37204	54.2857333967429	2	1	0	0	0
37125	53.6661891616651	2	1	0	0	0
37677	53.4706919	2	1	0	0	0
36276	53.3614700164473	2	1	0	0	0
37423	53.33403945	2	1	0	0	0
37321	52.9879769060481	2	1	0	0	0
37410	52.8770104419431	2	1	0	0	0
37437	52.83150115	2	1	0	0	0
37468	52.69246405	2	1	0	0	0
37617	52.5878860808928	2	1	0	0	0
37372	52.5215211981426	4	2	0	0	0
37324	52.5020283531289	2	1	0	0	0
37323	52.4990377433099	2	1	0	0	0
37325	52.4900006698971	2	1	0	0	0
33226	51.6772570201985	2	1	0	0	0
37524	51.5817871749297	6	3	0	0	0
37156	51.4633063090725	2	1	0	0	0
37200	51.4554838749283	2	1	0	0	0
37146	51.1694378	2	1	0	0	0
37414	50.9883273605489	4	2	0	0	0
37147	50.9827277	4	2	0	0	0
37127	50.7980778	2	1	0	0	0
37550	50.6577609	2	1	0	0	0
37253	50.60016805	2	1	0	0	0
37157	50.5758296	2	1	0	0	0
37163	50.49900465	2	1	0	0	0
37454	50.4963791930855	4	2	0	0	0
37472	49.99903695	4	2	0	0	0
37301	49.861644852017	2	1	0	0	0
37144	49.81638005	2	1	0	0	0
37158	49.6529258	2	1	0	0	0
37195	49.2665347	2	1	0	0	0
37191	49.2213193	2	1	0	0	0
33147	49.2051937916835	2	1	0	0	0
37123	49.0922811566055	2	1	0	0	0
37295	49.04380405	2	1	0	0	0
37274	48.63032485	2	1	0	0	0
37220	48.5568792	2	1	0	0	0
33536	48.4301409971351	2	1	0	0	0
37370	48.2928778386326	2	1	0	0	0
37431	48.2919155251998	2	1	0	0	0
33756	48.2734779	2	1	0	0	0
37160	48.22629185	2	1	0	0	0
37425	48.097004714017	2	1	0	0	0
37178	48.00372605	2	1	0	0	0
37282	47.9603528190845	2	1	0	0	0
37250	47.94414215	4	2	0	0	0
19357	47.7662191985513	2	1	0	0	0
37505	47.60533405	2	1	0	0	0
37152	47.5798411549855	4	2	0	0	0
37142	47.4369251427437	2	1	0	0	0
37150	47.39856975	4	2	0	0	0
37413	47.3245553597738	4	2	0	0	0
34250	47.2973837166982	2	1	0	0	0
37270	47.29022745	2	1	0	0	0
37276	47.2767291	2	1	0	0	0
37249	46.9133552846365	4	2	0	0	0
37223	46.7175593	2	1	0	0	0
37494	45.8405574154206	2	1	0	0	0
34625	45.6913123	2	1	0	0	0
33244	45.6672475546048	2	1	0	0	0
37304	45.0102261538574	4	2	0	0	0
37572	44.9996855331847	2	1	0	0	0
37649	44.9412005835276	2	1	0	0	0
37164	44.9086267006094	2	1	0	0	0
37257	44.5988231298904	2	1	0	0	0
37908	44.3283038396862	2	1	0	0	0
37357	44.20662695	2	1	0	0	0
37319	44.1118860649865	2	1	0	0	0
37595	43.6898838243515	6	3	0	0	0
37135	43.5433217248519	2	1	0	0	0
37332	43.5068444315439	2	1	0	0	0
19366	43.2813007	2	1	0	0	0
37429	43.146904907548	2	1	0	0	0
37907	43.1384650711752	2	1	0	0	0
37338	43.0326488413105	2	1	0	0	0
33336	42.7968484828265	2	1	0	0	0
37561	42.7561986281094	2	1	0	0	0
37445	42.6855394098195	2	1	0	0	0
37623	42.6479831517537	2	1	0	0	0
37385	42.5510580036188	2	1	0	0	0
35503	42.48060745	8	4	0	0	0
37180	42.4565576897368	6	3	0	0	0
33682	42.2259544181841	2	1	0	0	0
37428	41.75683935	2	1	0	0	0
33485	41.7401736427499	2	1	0	0	0
37229	41.2626536464896	6	3	0	0	0
33349	40.645369203193	2	1	0	0	0
33586	40.6422646275148	2	1	0	0	0
37391	40.2828334036138	2	1	0	0	0
19395	39.9147741	6	3	0	0	0
37948	39.6393687936767	2	1	0	0	0
37416	39.4967201594465	2	1	0	0	0
33584	39.4595130121408	2	1	0	0	0
37243	39.1832951491832	2	1	0	0	0
37392	38.81531575	2	1	0	0	0
34130	38.3756200278232	2	1	0	0	0
37443	38.307413600481	4	2	0	0	0
37386	38.2715748414139	2	1	0	0	0
33177	38.2503253	2	1	0	0	0
37510	37.9144275	2	1	0	0	0
37419	37.7832124822696	2	1	0	0	0
37709	37.76879715	4	2	0	0	0
19369	37.69965475	2	1	0	0	0
37526	37.680268102285	2	1	0	0	0
