node	agg	layer1	layer2	layer3	layer4
60644	2736	0	0	0	2736
60672	2016	0	0	0	2016
5964	1302	0	130	1201	0
9116	1075	0	81	1017	0
10469	1044	0	116	979	0
10727	1025	0	145	929	0
10729	980	0	82	913	0
6919	962	0	174	800	0
10170	956	0	54	915	0
6848	930	0	160	810	0
60649	899	0	0	0	899
10728	863	0	81	795	0
10172	813	0	87	743	0
10171	809	0	71	755	0
5846	799	0	137	680	0
6347	788	0	84	721	0
9700	786	0	98	701	0
8595	764	0	91	695	0
9701	757	0	68	701	0
6850	744	0	143	612	0
6462	742	0	154	608	0
6835	734	0	126	634	0
60689	729	0	0	0	729
60677	720	0	0	0	720
9122	719	0	139	606	0
10383	712	0	102	623	0
10076	710	0	162	575	0
10610	692	0	102	611	0
10217	682	0	107	595	0
9125	674	0	57	629	0
6849	669	0	172	527	0
10022	662	0	101	580	0
6216	658	0	156	518	0
9211	657	0	72	604	0
6732	618	0	69	558	0
6217	617	0	223	433	0
60675	614	0	0	0	614
10018	609	0	79	542	0
10009	605	0	62	552	0
64712	604	0	0	0	604
64710	599	0	0	0	599
7686	593	0	233	393	0
8890	593	0	88	523	0
6326	591	0	101	505	0
9109	575	0	132	462	0
10218	571	0	42	537	0
14676	563	0	21	544	0
6758	561	0	208	384	0
5793	558	0	142	446	0
60646	548	0	0	0	548
60647	548	0	0	0	548
12510	546	0	23	528	0
10754	545	0	131	427	0
5971	542	0	144	423	0
7689	538	0	107	445	0
6073	537	0	99	454	0
8638	536	0	57	487	0
7412	535	0	139	401	0
7688	529	0	99	441	0
10023	527	0	153	405	0
10039	523	0	128	430	0
10603	523	0	175	379	0
9335	522	0	121	429	0
6434	518	0	96	433	0
7612	517	0	402	149	0
11405	515	0	104	433	0
7787	514	0	539	4	0
14329	512	0	0	512	0
60650	512	0	0	0	512
9106	510	0	131	410	0
7636	509	0	497	63	0
10019	509	0	127	406	0
7946	508	0	487	54	0
7685	503	0	102	406	0
5680	502	0	69	448	0
10752	502	0	90	430	0
5934	500	0	108	409	0
9499	497	0	121	403	0
9529	497	0	77	439	0
9320	494	0	84	423	0
16813	494	0	44	453	0
10757	488	0	88	424	0
10612	485	0	129	377	0
10122	484	0	152	344	0
7741	478	0	211	300	0
9336	478	0	134	372	0
14330	478	0	0	478	0
60805	476	0	0	0	476
10434	475	0	60	432	0
16816	473	0	35	441	0
13549	469	0	40	431	0
16022	466	0	38	429	0
16814	466	0	25	443	0
60710	466	0	0	0	466
16021	465	0	32	435	0
10755	463	0	152	317	0
9108	462	0	72	402	0
16759	462	0	18	448	0
7462	461	0	210	287	0
8445	459	0	109	377	0
10125	458	0	91	385	0
10553	457	0	60	412	0
9107	455	0	61	413	0
5694	453	0	110	354	0
6586	449	0	276	193	0
8020	449	0	167	316	0
5679	447	0	225	269	0
6225	447	0	149	318	0
7975	447	0	242	229	0
10303	445	0	140	336	0
5791	444	0	110	359	0
7389	444	0	477	3	0
10388	442	0	45	403	0
7832	440	0	130	320	0
7835	440	0	190	278	0
7234	437	0	170	291	0
6344	436	0	140	325	0
6394	436	0	124	321	0
6841	435	0	206	267	0
10336	435	0	110	345	0
10698	431	0	68	371	0
16811	430	0	33	400	0
7826	429	0	392	65	0
7538	424	0	331	133	0
16810	424	0	14	411	0
11104	422	0	72	350	0
60766	422	0	0	0	422
6584	421	0	236	219	0
7942	421	0	399	51	0
9695	421	0	57	375	0
6393	419	0	110	326	0
17152	419	0	27	394	0
16812	417	0	25	394	0
16815	415	0	19	398	0
16817	415	0	27	391	0
6940	411	0	132	304	0
10897	411	0	111	322	0
9314	410	0	177	250	0
7331	409	0	191	226	0
7573	409	0	107	318	0
7729	407	0	265	181	0
8460	406	0	152	284	0
55169	406	0	16	392	0
59873	406	0	17	392	0
6044	405	0	230	201	0
6852	405	0	138	291	0
7916	405	0	221	214	0
14431	405	0	0	405	0
17258	405	0	42	364	0
9821	403	0	76	343	0
17134	403	0	25	380	0
7587	399	0	194	232	0
7769	398	0	368	74	0
7240	397	0	225	176	0
10042	396	0	83	328	0
6853	394	0	124	283	0
9259	394	0	54	349	0
7545	393	0	274	134	0
13641	393	0	25	368	0
6722	392	0	178	244	0
10384	391	0	82	320	0
60674	390	0	0	0	390
6195	389	0	126	271	0
11025	389	0	185	218	0
9818	388	0	74	325	0
5925	387	0	146	273	0
13542	387	0	30	360	0
6934	386	0	164	251	0
7613	386	0	345	74	0
6401	385	0	190	227	0
6484	385	0	151	258	0
6854	385	0	188	229	0
8027	385	0	158	244	0
9481	385	0	92	309	0
6567	384	0	257	163	0
6349	383	0	128	275	0
13544	383	0	34	349	0
7498	382	0	144	263	0
6875	381	0	111	289	0
7742	380	0	111	289	0
10190	380	0	89	310	0
7527	379	0	160	232	0
7967	379	0	208	187	0
7885	378	0	389	22	0
11249	378	0	146	264	0
9528	377	0	53	332	0
10753	377	0	147	264	0
17473	377	0	37	341	0
6888	376	0	174	231	0
10186	376	0	87	305	0
7646	374	0	138	256	0
7536	373	0	212	174	0
10224	373	0	81	308	0
8573	372	0	109	275	0
6475	371	0	188	210	0
7497	370	0	336	71	0
7743	370	0	206	196	0
7809	369	0	101	280	0
6296	368	0	201	206	0
7387	367	0	317	69	0
7965	367	0	350	63	0
7374	366	0	213	175	0
10637	366	0	82	304	0
8459	364	0	72	306	0
6406	363	0	231	172	0
7722	363	0	371	1	0
6582	362	0	171	199	0
9111	362	0	61	304	0
7864	361	0	223	165	0
10209	361	0	147	246	0
10225	361	0	93	285	0
10847	361	0	71	304	0
7633	360	0	337	64	0
10462	360	0	129	289	0
7972	359	0	108	266	0
6611	358	0	161	216	0
6392	356	0	83	287	0
7580	356	0	374	7	0
5652	354	0	209	174	0
7756	354	0	148	234	0
10385	354	0	97	277	0
17350	353	0	23	331	0
7626	352	0	183	201	0
7734	352	0	324	56	0
60696	351	0	0	0	351
7381	350	0	318	64	0
10020	350	0	86	280	0
7380	348	0	206	163	0
7607	347	0	329	53	0
6874	346	0	212	159	0
7477	346	0	162	199	0
7765	346	0	104	257	0
9103	346	0	106	260	0
11015	345	0	134	237	0
7435	344	0	358	16	0
7919	344	0	172	177	0
7443	343	0	292	80	0
7590	343	0	328	45	0
7856	343	0	252	129	0
9718	343	0	76	283	0
14364	342	0	29	313	0
6871	341	0	148	206	0
7384	341	0	347	23	0
7479	341	0	177	179	0
8153	341	0	109	249	0
10695	341	0	96	264	0
60656	341	0	0	0	341
9484	340	0	98	270	0
6719	339	0	112	244	0
7921	339	0	159	190	0
8640	339	0	123	242	0
5792	338	0	102	255	0
7595	338	0	255	110	0
7596	338	0	361	8	0
7763	338	0	203	189	0
7383	337	0	125	223	0
7533	336	0	157	200	0
7821	336	0	259	96	0
8082	336	0	115	241	0
14600	336	0	44	300	0
10213	335	0	158	212	0
10461	335	0	116	267	0
11212	335	0	83	268	0
7956	334	0	179	181	0
7409	333	0	345	22	0
7509	333	0	350	3	0
7790	333	0	227	120	0
8426	333	0	48	288	0
8884	333	0	94	261	0
15502	333	0	27	308	0
8036	332	0	97	251	0
9498	332	0	129	217	0
10333	332	0	74	276	0
8828	330	0	106	242	0
10682	330	0	79	268	0
12318	330	0	29	301	0
6818	329	0	173	172	0
7420	329	0	172	179	0
11129	329	0	87	262	0
7447	328	0	349	7	0
7796	328	0	248	120	0
9105	328	0	109	241	0
9982	328	0	82	259	0
13052	328	0	31	297	0
8320	327	0	77	267	0
7755	326	0	135	210	0
7913	326	0	351	2	0
7978	326	0	153	202	0
9830	326	0	114	224	0
9421	325	0	134	197	0
10397	325	0	94	251	0
11519	325	0	41	285	0
8968	324	0	136	211	0
7693	323	0	278	73	0
6867	322	0	196	148	0
7611	322	0	130	206	0
7639	322	0	338	7	0
7827	322	0	224	105	0
7836	322	0	148	192	0
6124	320	0	180	172	0
7783	319	0	260	93	0
9400	319	0	82	255	0
17123	319	0	16	303	0
18376	319	0	21	299	0
6114	318	0	99	237	0
7401	318	0	342	10	0
8592	318	0	88	246	0
6901	317	0	98	233	0
7824	317	0	291	33	0
7725	316	0	142	186	0
9865	316	0	62	256	0
7588	315	0	268	75	0
7692	315	0	297	28	0
9121	315	0	111	226	0
9129	315	0	83	246	0
10226	315	0	100	218	0
15503	315	0	19	296	0
10739	314	0	114	219	0
11511	314	0	16	298	0
13550	314	0	18	296	0
6157	313	0	186	155	0
9119	313	0	108	227	0
10419	313	0	100	240	0
11043	313	0	92	244	0
7837	312	0	192	138	0
10507	312	0	136	199	0
6199	311	0	165	169	0
10629	311	0	96	238	0
6566	310	0	119	210	0
7484	310	0	293	49	0
8881	310	0	124	205	0
10221	310	0	90	237	0
7933	309	0	324	7	0
60741	309	0	0	0	309
7638	308	0	116	201	0
11178	308	0	136	200	0
6932	307	0	111	214	0
7862	307	0	308	22	0
8476	307	0	78	235	0
