"name"	"Cluster_NR"	"NR"	"distance"
"1"	"(10Z)-heptadecenoic"	0	0.269478240479377	0.2044
"2"	"(11Z,14Z)-eicosadienoic"	0	0.274157276136985	0.2076
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0	0.274171570135241	0.2076
"4"	"(13Z)-eicosenoic"	0	0.281615373757926	0.2127
"5"	"(13Z)-octadecenoic"	0	0.277623660283994	0.21
"6"	"(13Z,16Z)-docosadienoic"	0	0.271952837044249	0.2061
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.0198
"8"	"(1R,2S)-naphthalene"	0	0.440469315351388	0.3216
"9"	"(1S,2R)-naphthalene"	0	0	0.0198
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0	0.31332125143252	0.2344
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0	0.328930999081226	0.2451
"12"	"(5-L-glutamyl)-L-amino"	0	0.293008398458202	0.2205
"13"	"(6Z,9Z)-octadecadienoic"	0	0.298113388310498	0.224
"14"	"(7Z)-octadecenoic"	0	0.355614886651662	0.2634
"15"	"(7Z)-tetradecenoic"	0	0.269410528427179	0.2044
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0	0.250753620690846	0.1916
"17"	"(9E)-tetradecenoic"	0	0.295332564476513	0.2221
"18"	"(Glc)3"	0	0	0.0198
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.0198
"20"	"(S)-3-Hydroxyoctadecanoyl"	0	0.265289886804982	0.2015
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0	0.300463854652013	0.2256
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.0198
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0198
"30"	"0.0001"	0	0.0696900915306984	0.0675
"31"	"0.0002"	0	0	0.0198
"32"	"0.0003"	0	0	0.0198
"33"	"0.0004"	0	0.190954838175743	0.1506
"34"	"0.0005"	0	0.0696900915306984	0.0675
"35"	"0.00057356"	0	0	0.0198
"36"	"0.0006"	0	0	0.0198
"37"	"0.0007"	0	0	0.0198
"38"	"0.0008"	0	0	0.0198
"39"	"0.0009"	0	0	0.0198
"40"	"0.0009274"	0	0	0.0198
"41"	"0.001"	0	0	0.0198
"42"	"0.0011"	0	0.0696900915306984	0.0675
"43"	"0.0012"	0	0	0.0198
"44"	"0.0012056"	0	0	0.0198
"45"	"0.0012642"	0	0	0.0198
"46"	"0.0013"	0	0	0.0198
"47"	"0.0014"	0	0.190954838175743	0.1506
"48"	"0.0015"	0	0	0.0198
"49"	"0.0016"	0	0	0.0198
"50"	"0.0017"	0	0	0.0198
"51"	"0.0018"	0	0	0.0198
"52"	"0.0018548"	0	0	0.0198
"53"	"0.0019"	0	0	0.0198
"54"	"0.002"	0	0.0696900915306984	0.0675
"55"	"0.0021"	0	0	0.0198
"56"	"0.0022"	0	0	0.0198
"57"	"0.0023"	0	0	0.0198
"58"	"0.0024"	0	0	0.0198
"59"	"0.0024143"	0	0	0.0198
"60"	"0.0025"	0	0.190954838175743	0.1506
"61"	"0.0026"	0	0.0696900915306984	0.0675
"62"	"0.0027"	0	0	0.0198
"63"	"0.0028"	0	0	0.0198
"64"	"0.0029"	0	0.190954838175743	0.1506
"65"	"0.002914"	0	0	0.0198
"66"	"0.003"	0	0.0696900915306984	0.0675
"67"	"0.0030972"	0	0	0.0198
"68"	"0.0031"	0	0	0.0198
"69"	"0.0031466"	0	0	0.0198
"70"	"0.0032"	0	0	0.0198
"71"	"0.0033"	0	0	0.0198
"72"	"0.0034"	0	0	0.0198
"73"	"0.0035"	0	0	0.0198
"74"	"0.0036"	0	0.0696900915306984	0.0675
"75"	"0.0037"	0	0	0.0198
"76"	"0.0037096"	0	0	0.0198
"77"	"0.0038"	0	0.190954838175743	0.1506
"78"	"0.0038601"	0	0	0.0198
"79"	"0.0039"	0	0.0696900915306984	0.0675
"80"	"0.0041"	0	0.0696900915306984	0.0675
"81"	"0.0043"	0	0	0.0198
"82"	"0.0045"	0	0	0.0198
"83"	"0.0046"	0	0	0.0198
"84"	"0.0047"	0	0.0696900915306984	0.0675
"85"	"0.0048"	0	0	0.0198
"86"	"0.0049"	0	0	0.0198
"87"	"0.005"	0	0.0696900915306984	0.0675
"88"	"0.0051"	0	0	0.0198
"89"	"0.0052"	0	0	0.0198
"90"	"0.0053"	0	0	0.0198
"91"	"0.0054"	0	0.0696900915306984	0.0675
"92"	"0.0055"	0	0	0.0198
"93"	"0.0055644"	0	0	0.0198
"94"	"0.0056"	0	0.0696900915306984	0.0675
"95"	"0.0058"	0	0	0.0198
