"name"	"Double_NR"	"Double_R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.272185667538214	0.252877771929836	-0.0247
"2"	"(11Z,14Z)-eicosadienoic"	0.277287972831218	0.260537623703494	-0.0229
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.277300588805879	0.25967622611583	-0.0235
"4"	"(13Z)-eicosenoic"	0.28452907829571	0.265175914943783	-0.0247
"5"	"(13Z)-octadecenoic"	0.280699794269858	0.265312347907286	-0.0219
"6"	"(13Z,16Z)-docosadienoic"	0.273681299499543	0.259182785121956	-0.0213
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	-0.0121
"8"	"(1R,2S)-naphthalene"	0.44360148130616	0.425851452020369	-0.023
"9"	"(1S,2R)-naphthalene"	0	0	-0.0121
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.314409679534702	0.298505070813699	-0.0222
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.329261896875471	0.315327107290524	-0.0207
"12"	"(5-L-glutamyl)-L-amino"	0.29629378616081	0.275313699689364	-0.0258
"13"	"(6Z,9Z)-octadecadienoic"	0.302806069814804	0.28020152316283	-0.027
"14"	"(7Z)-octadecenoic"	0.357913225719139	0.341596631204622	-0.0223
"15"	"(7Z)-tetradecenoic"	0.271245488099659	0.260198135214409	-0.0189
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.249319302456017	0.228105960778282	-0.0262
"17"	"(9E)-tetradecenoic"	0.298660925282936	0.279752718984196	-0.0244
"18"	"(Glc)3"	0	0	-0.0121
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	-0.0121
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.266938810234379	0.263696369226605	-0.0134
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.300892091515567	0.286564662921393	-0.0211
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	-0.0121
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.0121
"30"	"1,1-dichloroethylene"	0	0	-0.0121
"31"	"1,2-Diacyl-Sn-Glycerol"	0.249319302456017	0.228105960778282	-0.0262
"32"	"1,2-diacylglycerol-LD-PC"	0.298691599975266	0.285813991985885	-0.0201
"33"	"1,2-diacylglycerol-LD-PE"	0	0	-0.0121
"34"	"1,2-diacylglycerol-LD-PI"	0.126613949827913	0.102904134992488	-0.0284
"35"	"1,2-diacylglycerol-LD-PS"	0	0	-0.0121
"36"	"1,2-diacylglycerol-LD-SM"	0	0	-0.0121
"37"	"1,2-diacylglycerol-LD-TAG"	0.282101393856354	0.263952900992676	-0.0239
"38"	"1,2-diacylglycerol-VLDL"	0.281148631277654	0.255403311963444	-0.0293
"39"	"1,2-diacylglycerol-bile-PC"	0	0	-0.0121
"40"	"1,2-diacylglycerol-chylomicron"	0.282898192952832	0.26239466434985	-0.0256
"41"	"1-Acyl"	0.249319302456017	0.228105960778282	-0.0262
"42"	"1-Acylglycerone"	0	0	-0.0121
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.240000783522578	0.220437783156368	-0.0251
"44"	"1-Alkyl-Sn-Glycerol"	0	0	-0.0121
