"name"	"mIDH2"	"Cluster_NR"	"distance"
"1"	"16-5-5"	0.249669805554783	0.270139464173939	0.0304
"2"	"A1BG"	0.407119451498507	0.410174373316779	0.013
"3"	"A1CF"	0.514077376902132	0.554122025663448	0.0348
"4"	"A2M"	0.515227495062603	0.531045502165597	0.0181
"5"	"A2ML1"	0.469991961632878	0.479181151971695	0.015
"6"	"A2ML1-AS1"	0.258320866439349	0.27269802049195	0.0259
"7"	"A2ML1-AS2"	0.278134581527082	0.291093265705476	0.0242
"8"	"A3GALT2"	0.237022735527958	0.254432694462307	0.0287
"9"	"A4GALT"	0.625393142162039	0.609908202543883	-0.0073
"10"	"A4GNT"	0.575488772965654	0.598404697602664	0.0209
"11"	"AAA1"	0.447812207550284	0.403550869684318	-0.0211
"12"	"AAAS"	0.639930922608923	0.650755099331279	0.0103
"13"	"AACS"	0.664751660617764	0.645038962897971	-0.0116
"14"	"AADAC"	0.617077817616569	0.623279694413186	0.0079
"15"	"AADACL2"	0.386398787235803	0.401848696157349	0.0222
"16"	"AADACL3"	0.458929423546362	0.45025150674152	0.0031
"17"	"AADACL4"	0.410761795282184	0.379558955488885	-0.0108
"18"	"AADAT"	0.611799895355162	0.611505402131526	0.0036
"19"	"AAG1"	0.54902192528898	0.56153584732019	0.0146
"20"	"AAGAB"	0.428427422522335	0.458497633058483	0.0309
"21"	"AAK1"	0.733805126875865	0.740755488623442	0.0044
"22"	"AAMDC"	0.246283039545355	0.26309878624229	0.028
"23"	"AAMP"	0.417008884158762	0.441271986157688	0.0273
"24"	"AANAT"	0.623649577613307	0.655761799159569	0.0256
"25"	"AAR2"	0.309506604951545	0.328324725873321	0.0272
"26"	"AARS"	0.476625324291287	0.493564503499259	0.0202
"27"	"AARS1"	0.436449117959439	0.445293101697028	0.016
"28"	"AARS2"	0.497701097788188	0.556335647909386	0.0482
"29"	"AARSD1"	0.590096903296851	0.602669592384175	0.0132
"30"	"AASDH"	0.642406497412572	0.648165968909476	0.0067
"31"	"AASDHPPT"	0.583214660776274	0.562553603426921	-0.0094
"32"	"AASS"	0.640601224176442	0.653887772206972	0.012
"33"	"AATF"	0.593424190016319	0.602754084599602	0.0109
"34"	"AATK"	0.545693870953168	0.555856575055712	0.0131
"35"	"AB019440.1"	0.267910494159235	0.282888021960566	0.026
