A	B	scaled_weight
ethanol[c]	MAR03905	1
NAD+[c]	MAR03905	1
ethanol[c]	MAR03907	1
NADP+[c]	MAR03907	1
acetate[c]	MAR04097	0.721501615118
ATP[c]	MAR04097	0.721501615118
CoA[c]	MAR04097	0.721501615118
acetate[m]	MAR04099	0.678230960330124
ATP[m]	MAR04099	0.678230960330124
CoA[m]	MAR04099	0.678230960330124
acetyl adenylate[c]	MAR04108	0.720326475471511
CoA[c]	MAR04108	0.720326475471511
acetate[c]	MAR04133	0.720326475471511
ATP[c]	MAR04133	0.720326475471511
H+[c]	MAR04133	0.720326475471511
CoA[m]	MAR04137	0.788021806847278
NAD+[m]	MAR04137	0.788021806847278
pyruvate[m]	MAR04137	0.788021806847278
H+[x]	MAR04281	1
NADH[x]	MAR04281	1
pyruvate[x]	MAR04281	1
MAR04281	L-lactate[x]	1
MAR04281	NAD+[x]	1
H+[c]	MAR04388	1
NADH[c]	MAR04388	1
pyruvate[c]	MAR04388	1
MAR04388	L-lactate[c]	1
MAR04388	NAD+[c]	1
acetaldehyde[c]	MAR04283	0.772796061052119
H2O[c]	MAR04283	0.772796061052119
NADP+[c]	MAR04283	0.772796061052119
acetaldehyde[m]	MAR08357	0.816869879689034
H2O[m]	MAR08357	0.816869879689034
NAD+[m]	MAR08357	0.816869879689034
ATP[c]	MAR04379	0.76270258853728
fructose-6-phosphate[c]	MAR04379	0.76270258853728
fructose-6-phosphate[c]	MAR04301	0.762689980471644
UTP[c]	MAR04301	0.762689980471644
DHAP[c]	MAR04355	0.762689980471644
erythrose-4-phosphate[c]	MAR04355	0.762689980471644
ADP[c]	MAR04358	0.4569323969427
H+[c]	MAR04358	0.4569323969427
PEP[c]	MAR04358	0.4569323969427
H2O[c]	MAR04360	0.659194042978538
methylglyoxal[c]	MAR04360	0.659194042978538
NADP+[c]	MAR04360	0.659194042978538
2-phospho-D-glycerate[c]	MAR04363	0.757621113663537
MAR04363	H2O[c]	0.78284910275122
MAR04363	PEP[c]	0.78284910275122
2-phospho-D-glycerate[c]	MAR04365	0.724160489579129
MAR04365	3-phospho-D-glycerate[c]	0.757129545979619
1,3-bisphospho-D-glycerate[c]	MAR04368	0.76051130562338
ADP[c]	MAR04368	0.76051130562338
MAR04368	3-phospho-D-glycerate[c]	0.728065271225563
MAR04368	ATP[c]	0.728065271225563
1,3-bisphospho-D-glycerate[c]	MAR04370	0.787754592951355
H2O[c]	MAR04370	0.787754592951355
1,3-bisphospho-D-glycerate[c]	MAR04371	0.784817799412543
2,3-bisphospho-D-glycerate[c]	MAR04372	0.784817799412546
H2O[c]	MAR04372	0.784817799412546
1,3-bisphospho-D-glycerate[c]	MAR04373	0.704485636499399
H+[c]	MAR04373	0.704485636499399
NADH[c]	MAR04373	0.704485636499399
MAR04373	GAP[c]	0.760511305623379
MAR04373	NAD+[c]	0.760511305623379
MAR04373	Pi[c]	0.760511305623379
DHAP[c]	MAR04375	0.62727253412358
GAP[c]	MAR04375	0.62727253412358
MAR04375	fructose-1,6-bisphosphate[c]	0.762689980471644
fructose-1,6-bisphosphate[c]	MAR04377	0.654218589796211
H2O[c]	MAR04377	0.654218589796211
fructose-6-phosphate[c]	MAR04381	0.678485221260435
MAR04381	glucose-6-phosphate[c]	0.882949644032347
DHAP[c]	MAR04391	0.656755897284132
MAR04391	GAP[c]	0.683116191099134
ATP[c]	MAR04394	0.769200541728937
glucose[c]	MAR04394	0.769200541728937
glucose-1-phosphate[c]	MAR04396	0.865957439034801
MAR04396	glucose-6-phosphate[c]	0.681279302618054
glucose-6-phosphate[r]	MAR04521	0.757350821099389
H2O[r]	MAR04521	0.757350821099389
H+[m]	MAR06410	0.796645474855704
lipoamide[m]	MAR06410	0.796645474855704
pyruvate[m]	MAR06410	0.796645474855704
CoA[m]	MAR06412	0.796645474855704
S-acetyldihydrolipoamide[m]	MAR06412	0.796645474855704
beta-D-glucose[c]	MAR07745	0.263377381869988
MAR07745	glucose[c]	0.263377381869988
ADP[c]	MAR07747	0.766134397296179
glucose[c]	MAR07747	0.766134397296179
ethanol[x]	MAR08360	1
H2O2[x]	MAR08360	1
carbamoyl-phosphate[r]	MAR08652	0.263377381869988
glucose[r]	MAR08652	0.263377381869988
ethanol[c]	MAR08757	1
H+[c]	MAR08757	1
NADPH[c]	MAR08757	1
O2[c]	MAR08757	1
H2O[e]	MAR03989	0.973417802408828
maltose[e]	MAR03989	0.973417802408828
H2O[c]	MAR04122	0.73913628539197
NAD+[c]	MAR04122	0.73913628539197
UDP-glucose[c]	MAR04122	0.73913628539197
H2O[e]	MAR04837	1
trehalose[e]	MAR04837	1
glycogenin[c]	MAR05395	0.712049317897029
UDP-glucose[c]	MAR05395	0.712049317897029
glycogenin G8[c]	MAR05396	0.712049317897029
UDP-glucose[c]	MAR05396	0.712049317897029
UDP-glucose[c]	MAR09727	0.787425789154439
glycogenin G11[c]	MAR05397	0.712049317897029
glycogenin G4G7[c]	MAR05398	0.712049317897029
Pi[c]	MAR05398	0.712049317897029
glycogenin G4G4[c]	MAR05399	0.710568292318546
glycogenin G7G1[c]	MAR05400	0.710568292318546
H2O[c]	MAR05400	0.710568292318546
glycogenin G7[c]	MAR05401	0.710513623315159
Pi[c]	MAR05401	0.710513623315159
H2O[c]	MAR08568	1
maltodecaose[c]	MAR08568	1
H2O[e]	MAR08569	1
maltodecaose[e]	MAR08569	1
H2O[c]	MAR08570	1
maltononaose[c]	MAR08570	1
H2O[e]	MAR08571	1
maltononaose[e]	MAR08571	1
H2O[c]	MAR08572	1
maltoheptaose[c]	MAR08572	1
H2O[e]	MAR08573	1
maltoheptaose[e]	MAR08573	1
H2O[c]	MAR08574	1
maltohexaose[c]	MAR08574	1
H2O[e]	MAR08575	1
maltohexaose[e]	MAR08575	1
H2O[c]	MAR08576	1
maltopentaose[c]	MAR08576	1
H2O[e]	MAR08577	1
maltopentaose[e]	MAR08577	1
H2O[c]	MAR08578	1
maltotetraose[c]	MAR08578	1
H2O[e]	MAR08579	1
maltotetraose[e]	MAR08579	1
H2O[e]	MAR08581	1
maltotriose[e]	MAR08581	1
H2O[c]	MAR08591	1
maltotriose[c]	MAR08591	1
H2O[l]	MAR08592	1
maltotriose[l]	MAR08592	1
H2O[c]	MAR08580	1
maltotriose[c]	MAR08580	1
H2O[c]	MAR08582	1
maltose[c]	MAR08582	1
H2O[c]	MAR08587	1
maltose[c]	MAR08587	1
H2O[l]	MAR08589	1
maltose[l]	MAR08589	1
H2O[e]	MAR08583	1
starch structure 1[e]	MAR08583	1
H2O[e]	MAR08584	1
starch structure 2[e]	MAR08584	1
1,3-bisphospho-D-glycerate[c]	MAR08585	0.730193651133607
glucose-1-phosphate[c]	MAR08585	0.730193651133607
glucose-1-phosphate[c]	MAR03944	0.86566136293106
H+[c]	MAR03944	0.86566136293106
UTP[c]	MAR03944	0.86566136293106
UDP-galactose[c]	MAR04128	0.954641214547466
MAR04128	UDP-glucose[c]	0.684385784784018
ATP[c]	MAR04130	0.71746501256746
galactose[c]	MAR04130	0.71746501256746
glucose-1-phosphate[c]	MAR04131	0.834196980005403
UDP-galactose[c]	MAR04131	0.834196980005403
MAR04131	alpha-D-galactose-1-phosphate[c]	0.717312704592253
MAR04131	UDP-glucose[c]	0.717312704592253
galactose-1-phosphate[c]	MAR04132	0.717312704592258
UDP-glucose[c]	MAR04132	0.717312704592258
H2O[e]	MAR04303	1
sucrose[e]	MAR04303	1
ATP[c]	MAR04414	0.717312704592258
galactose[c]	MAR04414	0.717312704592258
H2O[e]	MAR04415	0.613701167430653
lactose[e]	MAR04415	0.613701167430653
galactosylglycerol[e]	MAR04416	1
H2O[e]	MAR04416	1
CDP[c]	MAR04774	0.824689799459108
H+[c]	MAR04774	0.824689799459108
tagatose-1,6-bisphosphate[c]	MAR04774	0.824689799459108
MAR04774	CTP[c]	0.824689799459108
MAR04774	D-tagatose-6-phosphate[c]	0.824689799459108
D-tagatose-6-phosphate[c]	MAR04775	0.824689799459108
ITP[c]	MAR04775	0.824689799459108
MAR04775	H+[c]	0.824689799459108
MAR04775	IDP[c]	0.824689799459108
MAR04775	tagatose-1,6-bisphosphate[c]	0.824689799459108
lactose[e]	MAR04831	0.981292463092891
NAD+[e]	MAR04831	0.981292463092891
MAR04831	3-ketolactose[e]	0.263377381869988
MAR04831	H+[e]	0.263377381869988
MAR04831	NADH[e]	0.263377381869988
3-keto-beta-D-galactose[e]	MAR04832	1
glucose[e]	MAR04832	1
MAR04832	3-ketolactose[e]	0.971834314574116
MAR04832	H2O[e]	0.971834314574116
glucose[g]	MAR07674	0.613431089063266
UDP-galactose[g]	MAR07674	0.613431089063266
ATP[c]	MAR08761	1
D-tagatose[c]	MAR08761	1
D-tagatose-6-phosphate[c]	MAR08762	1
MAR08762	DHAP[c]	0.263377381869988
MAR08762	glyceraldehyde[c]	0.263377381869988
H2O[l]	MAR08764	0.599937131182529
lactose[l]	MAR08764	0.599937131182529
galactose[c]	MAR08766	0.736973415072509
H+[c]	MAR08766	0.736973415072509
NADPH[c]	MAR08766	0.736973415072509
MAR08766	galactitol[c]	1
MAR08766	NADP+[c]	1
alpha-D-galactose-1-phosphate[c]	MAR08767	0.831787841189946
H+[c]	MAR08767	0.831787841189946
UTP[c]	MAR08767	0.831787841189946
ATP[c]	MAR00454	0.640257356909112
glyceraldehyde[c]	MAR00454	0.640257356909112
ATP[c]	MAR04297	0.792421019965869
fructose-6-phosphate[c]	MAR04297	0.792421019965869
ATP[c]	MAR04310	0.263377381869988
fructose[c]	MAR04310	0.263377381869988
D-glucitol[c]	MAR04315	0.643004977847339
NAD+[c]	MAR04315	0.643004977847339
MAR04315	fructose[c]	0.797609589976921
MAR04315	H+[c]	0.797609589976921
MAR04315	NADH[c]	0.797609589976921
D-glucitol[c]	MAR04316	0.876901105797682
NADP+[c]	MAR04316	0.876901105797682
MAR04316	glucose[c]	0.876901105797682
MAR04316	H+[c]	0.876901105797682
MAR04316	NADPH[c]	0.876901105797682
ATP[c]	MAR04317	0.263377381869988
D-glucitol[c]	MAR04317	0.263377381869988
ATP[c]	MAR04318	0.263377381869988
fructose[c]	MAR04318	0.263377381869988
ATP[c]	MAR04319	0.647370815161795
fructose[c]	MAR04319	0.647370815161795
ATP[c]	MAR04320	0.263377381869988
mannose-1-phosphate[c]	MAR04320	0.263377381869988
DHAP[c]	MAR04356	0.263377381869988
glyceraldehyde[c]	MAR04356	0.263377381869988
fructose-6-phosphate[c]	MAR04383	0.752729058979267
MAR04383	mannose-6-phosphate[c]	1
mannose-6-phosphate[c]	MAR04385	0.625194272735191
GDP[c]	MAR04386	0.625323823161523
H+[c]	MAR04386	0.625323823161523
mannose-1-phosphate[c]	MAR04386	0.625323823161523
GTP[c]	MAR04387	0.603591074705876
H+[c]	MAR04387	0.603591074705876
mannose-1-phosphate[c]	MAR04387	0.603591074705876
GDP-mannose[c]	MAR04399	0.756443505216401
GDP-4-dehydro-6-deoxy-D-mannose[c]	MAR04400	0.756844980531633
H+[c]	MAR04400	0.756844980531633
NADH[c]	MAR04400	0.756844980531633
GDP-L-fucose[c]	MAR04401	0.263377381869988
PPi[c]	MAR04401	0.263377381869988
MAR04401	GTP[c]	0.263377381869988
MAR04401	H+[c]	0.263377381869988
MAR04401	L-fucose-1-phosphate[c]	0.263377381869988
6-deoxy-L-galactose[c]	MAR04402	0.622361080150847
