A	B	scaled_weight
ethanol[c]	MAR03905	1
NAD+[c]	MAR03905	1
ethanol[c]	MAR03907	1
NADP+[c]	MAR03907	1
acetate[c]	MAR04097	0.74963713611741
ATP[c]	MAR04097	0.74963713611741
CoA[c]	MAR04097	0.74963713611741
acetate[m]	MAR04099	0.761405253140784
ATP[m]	MAR04099	0.761405253140784
CoA[m]	MAR04099	0.761405253140784
acetyl adenylate[c]	MAR04108	0.748843636509471
CoA[c]	MAR04108	0.748843636509471
acetate[c]	MAR04133	0.748843636509471
ATP[c]	MAR04133	0.748843636509471
H+[c]	MAR04133	0.748843636509471
CoA[m]	MAR04137	0.878488498149041
NAD+[m]	MAR04137	0.878488498149041
pyruvate[m]	MAR04137	0.878488498149041
H+[x]	MAR04281	1
NADH[x]	MAR04281	1
pyruvate[x]	MAR04281	1
MAR04281	L-lactate[x]	1
MAR04281	NAD+[x]	1
H+[c]	MAR04388	1
NADH[c]	MAR04388	1
pyruvate[c]	MAR04388	1
MAR04388	L-lactate[c]	1
MAR04388	NAD+[c]	1
acetaldehyde[c]	MAR04283	0.831629949928038
H2O[c]	MAR04283	0.831629949928038
NADP+[c]	MAR04283	0.831629949928038
acetaldehyde[m]	MAR08357	0.810492003866309
H2O[m]	MAR08357	0.810492003866309
NAD+[m]	MAR08357	0.810492003866309
ATP[c]	MAR04379	0.899921980518193
fructose-6-phosphate[c]	MAR04379	0.899921980518193
fructose-6-phosphate[c]	MAR04301	0.899870330966414
UTP[c]	MAR04301	0.899870330966414
DHAP[c]	MAR04355	0.899870330966414
erythrose-4-phosphate[c]	MAR04355	0.899870330966414
ADP[c]	MAR04358	0.34312909664308
H+[c]	MAR04358	0.34312909664308
PEP[c]	MAR04358	0.34312909664308
H2O[c]	MAR04360	0.804938914979472
methylglyoxal[c]	MAR04360	0.804938914979472
NADP+[c]	MAR04360	0.804938914979472
2-phospho-D-glycerate[c]	MAR04363	0.855005053540789
MAR04363	H2O[c]	0.787953529655168
MAR04363	PEP[c]	0.787953529655168
2-phospho-D-glycerate[c]	MAR04365	0.836376712381657
MAR04365	3-phospho-D-glycerate[c]	0.854857740943264
1,3-bisphospho-D-glycerate[c]	MAR04368	0.880348201425414
ADP[c]	MAR04368	0.880348201425414
MAR04368	3-phospho-D-glycerate[c]	0.813475693259519
MAR04368	ATP[c]	0.813475693259519
1,3-bisphospho-D-glycerate[c]	MAR04370	0.843227710942695
H2O[c]	MAR04370	0.843227710942695
1,3-bisphospho-D-glycerate[c]	MAR04371	0.903847159695018
2,3-bisphospho-D-glycerate[c]	MAR04372	0.903847159695029
H2O[c]	MAR04372	0.903847159695029
1,3-bisphospho-D-glycerate[c]	MAR04373	0.754180582602867
H+[c]	MAR04373	0.754180582602867
NADH[c]	MAR04373	0.754180582602867
MAR04373	GAP[c]	0.880348201425414
MAR04373	NAD+[c]	0.880348201425414
MAR04373	Pi[c]	0.880348201425414
DHAP[c]	MAR04375	0.699727758213434
GAP[c]	MAR04375	0.699727758213434
MAR04375	fructose-1,6-bisphosphate[c]	0.899870330966414
fructose-1,6-bisphosphate[c]	MAR04377	0.85385054129139
H2O[c]	MAR04377	0.85385054129139
fructose-6-phosphate[c]	MAR04381	0.704029111668628
MAR04381	glucose-6-phosphate[c]	0.879081046043929
DHAP[c]	MAR04391	0.7206923518553
MAR04391	GAP[c]	0.805850466360618
ATP[c]	MAR04394	0.877431149237298
glucose[c]	MAR04394	0.877431149237298
glucose-1-phosphate[c]	MAR04396	0.889939322040661
MAR04396	glucose-6-phosphate[c]	0.705395437981908
glucose-6-phosphate[r]	MAR04521	0.877111896481099
H2O[r]	MAR04521	0.877111896481099
H+[m]	MAR06410	0.872072224295862
lipoamide[m]	MAR06410	0.872072224295862
pyruvate[m]	MAR06410	0.872072224295862
CoA[m]	MAR06412	0.872072224295862
S-acetyldihydrolipoamide[m]	MAR06412	0.872072224295862
beta-D-glucose[c]	MAR07745	0.275885509109729
MAR07745	glucose[c]	0.275885509109729
ADP[c]	MAR07747	0.874432978330962
glucose[c]	MAR07747	0.874432978330962
ethanol[x]	MAR08360	1
H2O2[x]	MAR08360	1
carbamoyl-phosphate[r]	MAR08652	0.275885509109729
glucose[r]	MAR08652	0.275885509109729
ethanol[c]	MAR08757	1
H+[c]	MAR08757	1
NADPH[c]	MAR08757	1
O2[c]	MAR08757	1
H2O[e]	MAR03989	1
maltose[e]	MAR03989	1
H2O[c]	MAR04122	0.66246364036116
NAD+[c]	MAR04122	0.66246364036116
UDP-glucose[c]	MAR04122	0.66246364036116
H2O[e]	MAR04837	1
trehalose[e]	MAR04837	1
glycogenin[c]	MAR05395	0.707276189581354
UDP-glucose[c]	MAR05395	0.707276189581354
glycogenin G8[c]	MAR05396	0.707276189581354
UDP-glucose[c]	MAR05396	0.707276189581354
UDP-glucose[c]	MAR09727	0.858844113371718
glycogenin G11[c]	MAR05397	0.707276189581354
glycogenin G4G7[c]	MAR05398	0.707276189581354
Pi[c]	MAR05398	0.707276189581354
glycogenin G4G4[c]	MAR05399	0.706127612391873
glycogenin G7G1[c]	MAR05400	0.706127612391873
H2O[c]	MAR05400	0.706127612391873
glycogenin G7[c]	MAR05401	0.706418208518407
Pi[c]	MAR05401	0.706418208518407
H2O[c]	MAR08568	1
maltodecaose[c]	MAR08568	1
H2O[e]	MAR08569	1
maltodecaose[e]	MAR08569	1
H2O[c]	MAR08570	1
maltononaose[c]	MAR08570	1
H2O[e]	MAR08571	1
maltononaose[e]	MAR08571	1
H2O[c]	MAR08572	1
maltoheptaose[c]	MAR08572	1
H2O[e]	MAR08573	1
maltoheptaose[e]	MAR08573	1
H2O[c]	MAR08574	1
maltohexaose[c]	MAR08574	1
H2O[e]	MAR08575	1
maltohexaose[e]	MAR08575	1
H2O[c]	MAR08576	1
maltopentaose[c]	MAR08576	1
H2O[e]	MAR08577	1
maltopentaose[e]	MAR08577	1
H2O[c]	MAR08578	1
maltotetraose[c]	MAR08578	1
H2O[e]	MAR08579	1
maltotetraose[e]	MAR08579	1
H2O[e]	MAR08581	1
maltotriose[e]	MAR08581	1
H2O[c]	MAR08591	1
maltotriose[c]	MAR08591	1
H2O[l]	MAR08592	1
maltotriose[l]	MAR08592	1
H2O[c]	MAR08580	1
maltotriose[c]	MAR08580	1
H2O[c]	MAR08582	1
maltose[c]	MAR08582	1
H2O[c]	MAR08587	1
maltose[c]	MAR08587	1
H2O[l]	MAR08589	1
maltose[l]	MAR08589	1
H2O[e]	MAR08583	1
starch structure 1[e]	MAR08583	1
H2O[e]	MAR08584	1
starch structure 2[e]	MAR08584	1
1,3-bisphospho-D-glycerate[c]	MAR08585	0.786769552521747
glucose-1-phosphate[c]	MAR08585	0.786769552521747
glucose-1-phosphate[c]	MAR03944	0.785081330204473
H+[c]	MAR03944	0.785081330204473
UTP[c]	MAR03944	0.785081330204473
UDP-galactose[c]	MAR04128	0.935659238539883
MAR04128	UDP-glucose[c]	0.712115668070473
ATP[c]	MAR04130	0.723400212873374
galactose[c]	MAR04130	0.723400212873374
glucose-1-phosphate[c]	MAR04131	0.752682786926692
UDP-galactose[c]	MAR04131	0.752682786926692
MAR04131	alpha-D-galactose-1-phosphate[c]	0.722043724522878
MAR04131	UDP-glucose[c]	0.722043724522878
galactose-1-phosphate[c]	MAR04132	0.722043724522894
UDP-glucose[c]	MAR04132	0.722043724522894
H2O[e]	MAR04303	1
sucrose[e]	MAR04303	1
ATP[c]	MAR04414	0.722043724522894
galactose[c]	MAR04414	0.722043724522894
H2O[e]	MAR04415	0.691551721397841
lactose[e]	MAR04415	0.691551721397841
galactosylglycerol[e]	MAR04416	1
H2O[e]	MAR04416	1
CDP[c]	MAR04774	0.652129233511798
H+[c]	MAR04774	0.652129233511798
tagatose-1,6-bisphosphate[c]	MAR04774	0.652129233511798
MAR04774	CTP[c]	0.652129233511798
MAR04774	D-tagatose-6-phosphate[c]	0.652129233511798
D-tagatose-6-phosphate[c]	MAR04775	0.652129233511798
ITP[c]	MAR04775	0.652129233511798
MAR04775	H+[c]	0.652129233511798
MAR04775	IDP[c]	0.652129233511798
MAR04775	tagatose-1,6-bisphosphate[c]	0.652129233511798
lactose[e]	MAR04831	1
NAD+[e]	MAR04831	1
MAR04831	3-ketolactose[e]	0.275885509109729
MAR04831	H+[e]	0.275885509109729
MAR04831	NADH[e]	0.275885509109729
3-keto-beta-D-galactose[e]	MAR04832	1
glucose[e]	MAR04832	1
MAR04832	3-ketolactose[e]	1
MAR04832	H2O[e]	1
glucose[g]	MAR07674	0.691351863228454
UDP-galactose[g]	MAR07674	0.691351863228454
ATP[c]	MAR08761	1
D-tagatose[c]	MAR08761	1
D-tagatose-6-phosphate[c]	MAR08762	1
MAR08762	DHAP[c]	0.275885509109729
MAR08762	glyceraldehyde[c]	0.275885509109729
H2O[l]	MAR08764	0.684250996577445
lactose[l]	MAR08764	0.684250996577445
galactose[c]	MAR08766	0.821773630231269
H+[c]	MAR08766	0.821773630231269
NADPH[c]	MAR08766	0.821773630231269
MAR08766	galactitol[c]	1
MAR08766	NADP+[c]	1
alpha-D-galactose-1-phosphate[c]	MAR08767	0.753507687410965
H+[c]	MAR08767	0.753507687410965
UTP[c]	MAR08767	0.753507687410965
ATP[c]	MAR00454	0.722488088442399
glyceraldehyde[c]	MAR00454	0.722488088442399
ATP[c]	MAR04297	0.918304542325755
fructose-6-phosphate[c]	MAR04297	0.918304542325755
ATP[c]	MAR04310	0.275885509109729
fructose[c]	MAR04310	0.275885509109729
D-glucitol[c]	MAR04315	0.658065809452439
NAD+[c]	MAR04315	0.658065809452439
MAR04315	fructose[c]	0.754774786865491
MAR04315	H+[c]	0.754774786865491
MAR04315	NADH[c]	0.754774786865491
D-glucitol[c]	MAR04316	0.846026270090658
NADP+[c]	MAR04316	0.846026270090658
MAR04316	glucose[c]	0.846026270090658
MAR04316	H+[c]	0.846026270090658
MAR04316	NADPH[c]	0.846026270090658
ATP[c]	MAR04317	0.275885509109729
D-glucitol[c]	MAR04317	0.275885509109729
ATP[c]	MAR04318	0.275885509109729
fructose[c]	MAR04318	0.275885509109729
ATP[c]	MAR04319	0.663312295061078
fructose[c]	MAR04319	0.663312295061078
ATP[c]	MAR04320	0.275885509109729
mannose-1-phosphate[c]	MAR04320	0.275885509109729
DHAP[c]	MAR04356	0.275885509109729
glyceraldehyde[c]	MAR04356	0.275885509109729
fructose-6-phosphate[c]	MAR04383	0.822445669910232
MAR04383	mannose-6-phosphate[c]	1
mannose-6-phosphate[c]	MAR04385	0.714005834001725
GDP[c]	MAR04386	0.714124733861271
H+[c]	MAR04386	0.714124733861271
mannose-1-phosphate[c]	MAR04386	0.714124733861271
GTP[c]	MAR04387	0.658927110769609
H+[c]	MAR04387	0.658927110769609
mannose-1-phosphate[c]	MAR04387	0.658927110769609
GDP-mannose[c]	MAR04399	0.860884622097885
GDP-4-dehydro-6-deoxy-D-mannose[c]	MAR04400	0.860345443878704
H+[c]	MAR04400	0.860345443878704
NADH[c]	MAR04400	0.860345443878704
GDP-L-fucose[c]	MAR04401	0.275885509109729
PPi[c]	MAR04401	0.275885509109729
MAR04401	GTP[c]	0.275885509109729
MAR04401	H+[c]	0.275885509109729
MAR04401	L-fucose-1-phosphate[c]	0.275885509109729
6-deoxy-L-galactose[c]	MAR04402	0.70295843958841
ATP[c]	MAR04402	0.70295843958841
