"TF"	"size"	"nes"	"pval"	"pval.fdr"
"USP16"	47	3.18434302653371	0.00145082974866529	0.618982843976322
"RCAN3"	10	-3.14209004812103	0.00167746437007782	0.618982843976322
"FOXR1"	4	3.13765598510239	0.00170304629967056	0.618982843976322
"NDST1"	24	-3.12031767069847	0.00180656098642947	0.618982843976322
"ZC3H18"	39	3.07390411360622	0.00211277326872863	0.618982843976322
"EIF2AK2"	82	-3.04722781683723	0.00230962590167365	0.618982843976322
"APOE"	35	-3.04586887652207	0.00232008990764358	0.618982843976322
"TAS1R1"	21	3.03734990245752	0.00238668234092973	0.618982843976322
"ARHGAP42"	20	3.03352053703901	0.00241718258118377	0.618982843976322
"PIK3CG"	36	3.01527094834694	0.00256749782515604	0.618982843976322
"PRKCB"	39	3.01212702179575	0.00259424018933726	0.618982843976322
"HTR2A"	16	-2.99527733318518	0.00274195413654618	0.618982843976322
"MEOX2"	14	-2.98832971533256	0.00280506763063921	0.618982843976322
"MAP2K4"	23	-2.98803990943629	0.00280772888031212	0.618982843976322
"FGF18"	11	2.96421575203063	0.0030345544682827	0.618982843976322
"AMHR2"	18	-2.95075883157254	0.00316994322809138	0.618982843976322
"CD79B"	23	2.94544104607366	0.00322494598564326	0.618982843976322
"GNA11"	29	-2.93190290710364	0.00336892053677396	0.618982843976322
"RNF2"	55	2.92469070525392	0.00344798737466495	0.618982843976322
"GRAP2"	36	2.9194929098917	0.00350601369541044	0.618982843976322
"ARHGEF10"	48	2.90365392581146	0.00368835613374319	0.618982843976322
"SIRT3"	120	2.89979653465674	0.00373404958362503	0.618982843976322
"CBLC"	4	2.89423545037274	0.00380083039111435	0.618982843976322
"PRDX2"	33	-2.88880152782784	0.00386713070643836	0.618982843976322
"VGLL2"	5	2.88770790947606	0.0038806004832322	0.618982843976322
"GULP1"	17	-2.88568174671853	0.00390566881588826	0.618982843976322
"ELL3"	67	-2.88473488346771	0.00391743406375934	0.618982843976322
"PTGES2"	133	-2.88282999210159	0.00394120085878526	0.618982843976322
"DFFA"	46	2.87699753478367	0.00401478731788183	0.618982843976322
"DST"	28	-2.87004888841041	0.00410408339669815	0.618982843976322
"KDR"	19	-2.86494375100488	0.00417083321431014	0.618982843976322
"MAPK9"	65	2.85815103664139	0.00426117513796317	0.618982843976322
"PBX1"	99	-2.84711612333092	0.00441172662806414	0.618982843976322
"RUNX2"	18	-2.83483607700757	0.00458492047156936	0.618982843976322
"APPL2"	49	2.82964695784901	0.00465993934754305	0.618982843976322
"DGKA"	22	2.82921986498092	0.00466616304057146	0.618982843976322
"GATA1"	68	-2.8261732807865	0.00471077730796159	0.618982843976322
"GPR176"	19	-2.82543382314512	0.00472166401981785	0.618982843976322
"PRKG1"	17	-2.82511621212732	0.00472634705589327	0.618982843976322
"TDP2"	69	2.82148346373625	0.00478021018950474	0.618982843976322
"TNXB"	72	-2.81827542658097	0.00482823732320963	0.618982843976322
"ITGAD"	20	-2.81323334090456	0.00490460463220463	0.618982843976322
"ITGA2B"	20	-2.8129349003673	0.00490915887028629	0.618982843976322
"SOX6"	154	-2.8126070897709	0.00491416570706669	0.618982843976322
"HEY2"	12	-2.80339422816165	0.00505678159716939	0.618982843976322
"TAF13"	68	2.80261381596983	0.0050690326916536	0.618982843976322
"STK39"	23	2.79376470887295	0.00520983702181466	0.618982843976322
"PRKAG2"	33	2.78768285550499	0.00530864854740864	0.618982843976322
"GRHL1"	31	-2.78635583672658	0.00533043222404917	0.618982843976322
"MXD3"	24	-2.77257511132873	0.00556146830373196	0.627220828370901
"CCL2"	15	2.76824780676629	0.00563585849933168	0.627220828370901
"CHUK"	17	2.74480340161232	0.00605471576595162	0.627220828370901
"EEF1D"	37	-2.73947518617045	0.00615373598407555	0.627220828370901
