	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa00630	hsa00630	Glyoxylate and dicarboxylate metabolism	4/80	30/8219	0.000188155862651495	84532/847/5096/6470	4
hsa00640	hsa00640	Propanoate metabolism	4/80	32/8219	0.000243272246711009	84532/1629/5096/8803	4
hsa01200	hsa01200	Carbon metabolism	6/80	115/8219	0.000852442893486201	84532/847/5096/6470/8803/6888	6
hsa03430	hsa03430	Mismatch repair	3/80	23/8219	0.00136673922050608	4436/2956/5985	3
hsa03040	hsa03040	Spliceosome	6/80	154/8219	0.00377000761447985	151903/51690/9410/6429/6431/10915	6
hsa03030	hsa03030	DNA replication	3/80	36/8219	0.00503202655191753	2237/5985/84153	3
hsa05225	hsa05225	Hepatocellular carcinoma	6/80	168/8219	0.00575623130147977	86/324/57492/29117/55193/55274	6
hsa03018	hsa03018	RNA degradation	4/80	79/8219	0.00719809366654471	4848/246175/55802/51690	4
hsa01232	hsa01232	Nucleotide metabolism	4/80	85/8219	0.00928491196737595	100/8623/1854/84284	4
hsa00280	hsa00280	Valine, leucine and isoleucine degradation	3/80	48/8219	0.0112146915759481	1629/64087/5096	3
hsa03015	hsa03015	mRNA surveillance pathway	4/80	97/8219	0.014560187151664	10978/2733/11051/65109	4
hsa03460	hsa03460	Fanconi anemia pathway	3/80	54/8219	0.0154287514279044	2177/7156/57599	3
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	5/80	171/8219	0.0252626140449436	64215/5610/27248/10905/10277	5
hsa01230	hsa01230	Biosynthesis of amino acids	3/80	75/8219	0.0363523518698261	29920/6470/6888	3
hsa03410	hsa03410	Base excision repair	2/80	33/8219	0.0406648433802363	2237/4350	2
hsa00250	hsa00250	Alanine, aspartate and glutamate metabolism	2/80	37/8219	0.0500370842257771	7915/5471	2
hsa05210	hsa05210	Colorectal cancer	3/80	86/8219	0.0511077999524357	324/4436/2956	3
hsa03440	hsa03440	Homologous recombination	2/80	41/8219	0.0601031675695644	4683/7156	2
hsa04714	hsa04714	Thermogenesis	5/80	232/8219	0.0751365311539087	86/57492/1374/4519/55471	5
hsa00330	hsa00330	Arginine and proline metabolism	2/80	50/8219	0.0849551880911347	5033/29920	2
hsa01212	hsa01212	Fatty acid metabolism	2/80	57/8219	0.106051148065685	1374/201562	2
hsa00240	hsa00240	Pyrimidine metabolism	2/80	58/8219	0.109171890142373	8623/1854	2
hsa03450	hsa03450	Non-homologous end-joining	1/80	13/8219	0.119485866170524	2237	1
hsa03250	hsa03250	Viral life cycle - HIV-1	2/80	63/8219	0.125126670001095	9582/200316	2
hsa00230	hsa00230	Purine metabolism	3/80	128/8219	0.128437511942208	100/84284/5471	3
hsa00730	hsa00730	Thiamine metabolism	1/80	15/8219	0.136571417572406	84284	1
hsa05162	hsa05162	Measles	3/80	139/8219	0.153160716687389	1460/5610/4940	3
hsa00450	hsa00450	Selenocompound metabolism	1/80	17/8219	0.153329504454315	51540	1
hsa01524	hsa01524	Platinum drug resistance	2/80	73/8219	0.158509308190449	4436/2956	2
hsa05010	hsa05010	Alzheimer disease	6/80	384/8219	0.169952759591772	324/1460/5610/4519/6263/292	6
hsa00670	hsa00670	One carbon pool by folate	1/80	20/8219	0.177866165845836	6470	1
hsa00532	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1/80	21/8219	0.185887962007848	126792	1
hsa00534	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1/80	24/8219	0.209492473833211	126792	1
hsa04310	hsa04310	Wnt signaling pathway	3/80	170/8219	0.229433574251064	324/1460/1488	3
hsa05164	hsa05164	Influenza A	3/80	171/8219	0.232013993254446	5610/4940/292	3
hsa00062	hsa00062	Fatty acid elongation	1/80	27/8219	0.232420901523412	201562	1
hsa00650	hsa00650	Butanoate metabolism	1/80	27/8219	0.232420901523412	7915	1
hsa01040	hsa01040	Biosynthesis of unsaturated fatty acids	1/80	27/8219	0.232420901523412	201562	1
hsa00020	hsa00020	Citrate cycle (TCA cycle)	1/80	30/8219	0.2546923714156	8803	1
hsa00030	hsa00030	Pentose phosphate pathway	1/80	30/8219	0.2546923714156	6888	1
hsa01523	hsa01523	Antifolate resistance	1/80	30/8219	0.2546923714156	6470	1
hsa05020	hsa05020	Prion disease	4/80	273/8219	0.274792168192813	1460/4519/6263/292	4
hsa03013	hsa03013	Nucleocytoplasmic transport	2/80	108/8219	0.283263006758454	2733/65109	2
hsa03020	hsa03020	RNA polymerase	1/80	34/8219	0.2833977894536	10623	1
hsa05202	hsa05202	Transcriptional misregulation in cancer	3/80	193/8219	0.289898022820794	5546/860/6929	3
hsa05340	hsa05340	Primary immunodeficiency	1/80	38/8219	0.311010914713265	100	1
hsa05415	hsa05415	Diabetic cardiomyopathy	3/80	203/8219	0.316639352086895	4519/5164/292	3
hsa05022	hsa05022	Pathways of neurodegeneration - multiple diseases	6/80	476/8219	0.317622463780878	324/847/1460/4519/6263/292	6
hsa00513	hsa00513	Various types of N-glycan biosynthesis	1/80	39/8219	0.317748370626105	10905	1
hsa00260	hsa00260	Glycine, serine and threonine metabolism	1/80	40/8219	0.324420758199443	6470	1
hsa00380	hsa00380	Tryptophan metabolism	1/80	42/8219	0.337572804612633	847	1
hsa00071	hsa00071	Fatty acid degradation	1/80	43/8219	0.34405368704274	1374	1
hsa00860	hsa00860	Porphyrin metabolism	1/80	43/8219	0.34405368704274	7390	1
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/80	44/8219	0.35047194842197	8655	1
hsa00620	hsa00620	Pyruvate metabolism	1/80	47/8219	0.369356953017398	84532	1
hsa03420	hsa03420	Nucleotide excision repair	1/80	47/8219	0.369356953017398	5985	1
hsa04973	hsa04973	Carbohydrate digestion and absorption	1/80	47/8219	0.369356953017398	6518	1
hsa05208	hsa05208	Chemical carcinogenesis - reactive oxygen species	3/80	223/8219	0.370196635949811	847/4519/292	3
hsa00510	hsa00510	N-Glycan biosynthesis	1/80	50/8219	0.387699542734266	10905	1
hsa00600	hsa00600	Sphingolipid metabolism	1/80	53/8219	0.405515105207492	29956	1
hsa04550	hsa04550	Signaling pathways regulating pluripotency of stem cells	2/80	143/8219	0.407194053688216	324/6929	2
hsa05017	hsa05017	Spinocerebellar ataxia	2/80	143/8219	0.407194053688216	23369/292	2
hsa00480	hsa00480	Glutathione metabolism	1/80	57/8219	0.428475158571141	10314	1
hsa05213	hsa05213	Endometrial cancer	1/80	58/8219	0.434076970297961	324	1
hsa04330	hsa04330	Notch signaling pathway	1/80	59/8219	0.439624555443919	1488	1
hsa01240	hsa01240	Biosynthesis of cofactors	2/80	153/8219	0.440888115079457	6470/7390	2
hsa04934	hsa04934	Cushing syndrome	2/80	155/8219	0.447504981925971	324/9070	2
hsa04218	hsa04218	Cellular senescence	2/80	156/8219	0.45079740705587	4683/292	2
hsa05160	hsa05160	Hepatitis C	2/80	157/8219	0.454079017828542	5610/4940	2
hsa04213	hsa04213	Longevity regulating pathway - multiple species	1/80	62/8219	0.455947110406262	847	1
hsa04217	hsa04217	Necroptosis	2/80	159/8219	0.460609387886698	5610/292	2
hsa05217	hsa05217	Basal cell carcinoma	1/80	63/8219	0.461282923961184	324	1
hsa04623	hsa04623	Cytosolic DNA-sensing pathway	1/80	66/8219	0.476982237293845	10623	1
hsa05012	hsa05012	Parkinson disease	3/80	266/8219	0.481971258840064	4519/6263/292	3
hsa00010	hsa00010	Glycolysis / Gluconeogenesis	1/80	67/8219	0.482114264893071	84532	1
hsa04920	hsa04920	Adipocytokine signaling pathway	1/80	69/8219	0.49222959452401	1374	1
hsa05211	hsa05211	Renal cell carcinoma	1/80	69/8219	0.49222959452401	5546	1
hsa04520	hsa04520	Adherens junction	1/80	71/8219	0.50214977377011	1460	1
hsa04137	hsa04137	Mitophagy - animal	1/80	72/8219	0.507037846683511	1460	1
hsa03320	hsa03320	PPAR signaling pathway	1/80	75/8219	0.521419483947656	1374	1
hsa05220	hsa05220	Chronic myeloid leukemia	1/80	76/8219	0.526120667798857	1488	1
hsa00983	hsa00983	Drug metabolism - other enzymes	1/80	80/8219	0.544473662585611	1854	1
hsa04146	hsa04146	Peroxisome	1/80	82/8219	0.553385132127101	847	1
hsa04260	hsa04260	Cardiac muscle contraction	1/80	87/8219	0.574917610244383	4519	1
hsa04211	hsa04211	Longevity regulating pathway	1/80	89/8219	0.583240627663238	847	1
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/80	89/8219	0.583240627663238	1460	1
hsa05169	hsa05169	Epstein-Barr virus infection	2/80	202/8219	0.589354285840235	5610/4940	2
hsa04970	hsa04970	Salivary secretion	1/80	92/8219	0.595424307033371	6263	1
hsa04713	hsa04713	Circadian entrainment	1/80	97/8219	0.614953500138161	6263	1
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	2/80	212/8219	0.615900163340952	9582/200316	2
hsa04064	hsa04064	NF-kappa B signaling pathway	1/80	104/8219	0.640739401642517	1460	1
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	2/80	222/8219	0.641136649357151	292/6929	2
hsa04928	hsa04928	Parathyroid hormone synthesis, secretion and action	1/80	106/8219	0.647788307054476	860	1
hsa04922	hsa04922	Glucagon signaling pathway	1/80	107/8219	0.65126136701203	1374	1
hsa04931	hsa04931	Insulin resistance	1/80	108/8219	0.654700604023746	1374	1
hsa04810	hsa04810	Regulation of actin cytoskeleton	2/80	229/8219	0.658028285559057	324/54961	2
hsa05171	hsa05171	Coronavirus disease - COVID-19	2/80	232/8219	0.665074163221268	5610/4940	2
hsa04020	hsa04020	Calcium signaling pathway	2/80	240/8219	0.683301937504323	6263/292	2
hsa03008	hsa03008	Ribosome biogenesis in eukaryotes	1/80	118/8219	0.687302763512609	1460	1
hsa04071	hsa04071	Sphingolipid signaling pathway	1/80	119/8219	0.69039075004748	29956	1
hsa05014	hsa05014	Amyotrophic lateral sclerosis	3/80	364/8219	0.694728460593873	847/2733/4519	3
hsa04152	hsa04152	AMPK signaling pathway	1/80	121/8219	0.696476660973821	1374	1
hsa04919	hsa04919	Thyroid hormone signaling pathway	1/80	121/8219	0.696476660973821	9282	1
hsa04068	hsa04068	FoxO signaling pathway	1/80	131/8219	0.725178448034472	847	1
hsa00190	hsa00190	Oxidative phosphorylation	1/80	134/8219	0.733253982671394	4519	1
hsa04371	hsa04371	Apelin signaling pathway	1/80	139/8219	0.74619560768232	6263	1
hsa04120	hsa04120	Ubiquitin mediated proteolysis	1/80	142/8219	0.753660872132516	10277	1
hsa04936	hsa04936	Alcoholic liver disease	1/80	142/8219	0.753660872132516	1374	1
hsa05224	hsa05224	Breast cancer	1/80	147/8219	0.765624029037398	324	1
hsa05226	hsa05226	Gastric cancer	1/80	149/8219	0.770247000686279	324	1
hsa04921	hsa04921	Oxytocin signaling pathway	1/80	154/8219	0.781414161355553	6263	1
hsa04932	hsa04932	Non-alcoholic fatty liver disease	1/80	155/8219	0.783582402780421	4519	1
hsa04150	hsa04150	mTOR signaling pathway	1/80	156/8219	0.785729402752837	6249	1
hsa04390	hsa04390	Hippo signaling pathway	1/80	157/8219	0.787855366758762	324	1
hsa05016	hsa05016	Huntington disease	2/80	306/8219	0.804709018402188	4519/292	2
hsa04022	hsa04022	cGMP-PKG signaling pathway	1/80	167/8219	0.808001855839877	292	1
hsa04360	hsa04360	Axon guidance	1/80	182/8219	0.834730395640975	54961	1
