	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
GO:0016798	GO:0016798	hydrolase activity, acting on glycosyl bonds	8/101	40/3981	5.10702221255366e-06	BST1/EDEM3/FUCA2/GLB1/GM2A/LYZ/MAN2B1/NAGA	8
GO:0004553	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	7/101	29/3981	5.42092953388956e-06	EDEM3/FUCA2/GLB1/GM2A/LYZ/MAN2B1/NAGA	7
GO:0038024	GO:0038024	cargo receptor activity	4/101	13/3981	0.00023407268548643	APOBR/ITGB2/LGALS3BP/SORL1	4
GO:0038023	GO:0038023	signaling receptor activity	7/101	64/3981	0.00104206789633148	AGTRAP/HLA-DRA/ITGB2/NPC1/RRBP1/SORL1/TSPO	7
GO:0060089	GO:0060089	molecular transducer activity	7/101	64/3981	0.00104206789633148	AGTRAP/HLA-DRA/ITGB2/NPC1/RRBP1/SORL1/TSPO	7
GO:0004888	GO:0004888	transmembrane signaling receptor activity	5/101	33/3981	0.00128417283582851	AGTRAP/HLA-DRA/ITGB2/NPC1/SORL1	5
GO:0023026	GO:0023026	MHC class II protein complex binding	3/101	11/3981	0.00225549018300831	ANXA11/HLA-DRA/HLA-DRB5	3
GO:0023023	GO:0023023	MHC protein complex binding	3/101	12/3981	0.00295223408640947	ANXA11/HLA-DRA/HLA-DRB5	3
GO:0015485	GO:0015485	cholesterol binding	3/101	18/3981	0.00980475402567354	ERLIN1/NPC1/TSPO	3
GO:0005319	GO:0005319	lipid transporter activity	4/101	34/3981	0.0100905833689953	ABCD1/GM2A/NPC1/TSPO	4
GO:0032934	GO:0032934	sterol binding	3/101	20/3981	0.0132048009089903	ERLIN1/NPC1/TSPO	3
GO:0042277	GO:0042277	peptide binding	6/101	83/3981	0.0179426934585619	HLA-DRA/HLA-DRB5/ITGB2/PPIB/SEC61A1/SORL1	6
GO:0043178	GO:0043178	alcohol binding	3/101	23/3981	0.0194194706628315	ERLIN1/NPC1/TSPO	3
GO:0005496	GO:0005496	steroid binding	3/101	24/3981	0.021792770931406	ERLIN1/NPC1/TSPO	3
GO:0008200	GO:0008200	ion channel inhibitor activity	2/101	10/3981	0.0251156000714595	STX7/VAMP8	2
GO:0051082	GO:0051082	unfolded protein binding	5/101	69/3981	0.029696501934679	DNAJB11/HSP90B1/PPIB/RP2/TRAP1	5
GO:0000217	GO:0000217	DNA secondary structure binding	2/101	11/3981	0.0301956244911154	HMGA1/HMGB3	2
GO:0015248	GO:0015248	sterol transporter activity	2/101	11/3981	0.0301956244911154	NPC1/TSPO	2
GO:0016248	GO:0016248	channel inhibitor activity	2/101	11/3981	0.0301956244911154	STX7/VAMP8	2
GO:0004180	GO:0004180	carboxypeptidase activity	2/101	12/3981	0.0356443025720566	CTSZ/SCPEP1	2
GO:0042605	GO:0042605	peptide antigen binding	2/101	12/3981	0.0356443025720566	HLA-DRA/HLA-DRB5	2
GO:0050840	GO:0050840	extracellular matrix binding	2/101	12/3981	0.0356443025720566	CTSS/LGALS1	2
GO:0050660	GO:0050660	flavin adenine dinucleotide binding	3/101	30/3981	0.0392041272736495	ACAD9/ETFDH/MICAL1	3
GO:0005518	GO:0005518	collagen binding	2/101	15/3981	0.0539905992571591	CTSS/PPIB	2
GO:0033218	GO:0033218	amide binding	6/101	111/3981	0.0613417531149697	HLA-DRA/HLA-DRB5/ITGB2/PPIB/SEC61A1/SORL1	6
GO:0005544	GO:0005544	calcium-dependent phospholipid binding	2/101	18/3981	0.0749266543586792	ANXA11/DYSF	2
GO:0048487	GO:0048487	beta-tubulin binding	2/101	18/3981	0.0749266543586792	ARL8A/LRPPRC	2
GO:0001618	GO:0001618	virus receptor activity	2/101	19/3981	0.0823966643893076	NPC1/SELPLG	2
GO:0030246	GO:0030246	carbohydrate binding	4/101	67/3981	0.0889735160070132	HLA-DRA/LGALS1/LMAN2/MAN2B1	4
GO:0001540	GO:0001540	amyloid-beta binding	2/101	20/3981	0.0900846492204539	ITGB2/SORL1	2
GO:0003823	GO:0003823	antigen binding	2/101	20/3981	0.0900846492204539	HLA-DRA/HLA-DRB5	2
GO:0003925	GO:0003925	G protein activity	2/101	20/3981	0.0900846492204539	RAB27A/RAB5B	2
GO:0051539	GO:0051539	4 iron, 4 sulfur cluster binding	2/101	20/3981	0.0900846492204539	ETFDH/ISCA2	2
GO:0140272	GO:0140272	exogenous protein binding	2/101	20/3981	0.0900846492204539	NPC1/SELPLG	2
GO:0016829	GO:0016829	lyase activity	4/101	69/3981	0.0966605202537086	BST1/MGST2/RNASE2/TBXAS1	4
GO:0003735	GO:0003735	structural constituent of ribosome	6/101	126/3981	0.0990459847713337	MRPS15/MRPS16/MRPS2/MRPS34/MRPS6/RPL13	6
GO:0043022	GO:0043022	ribosome binding	3/101	44/3981	0.0995145225590515	MRPS27/NCLN/SEC61A1	3
GO:0005484	GO:0005484	SNAP receptor activity	2/101	23/3981	0.11430353594584	STX7/VAMP8	2
GO:0019905	GO:0019905	syntaxin binding	2/101	23/3981	0.11430353594584	STX7/VAMP8	2
GO:0048306	GO:0048306	calcium-dependent protein binding	2/101	23/3981	0.11430353594584	ANXA11/S100A11	2
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	2/101	25/3981	0.13126977078553	MICAL1/TBXAS1	2
GO:0140662	GO:0140662	ATP-dependent protein folding chaperone	2/101	25/3981	0.13126977078553	HSP90B1/TRAP1	2
GO:0004601	GO:0004601	peroxidase activity	2/101	27/3981	0.148770400141535	EPX/MGST2	2
GO:0005506	GO:0005506	iron ion binding	2/101	27/3981	0.148770400141535	ISCA2/TBXAS1	2
GO:0016684	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	2/101	27/3981	0.148770400141535	EPX/MGST2	2
GO:0020037	GO:0020037	heme binding	2/101	27/3981	0.148770400141535	EPX/TBXAS1	2
GO:0099106	GO:0099106	ion channel regulator activity	2/101	27/3981	0.148770400141535	STX7/VAMP8	2
GO:0046906	GO:0046906	tetrapyrrole binding	2/101	28/3981	0.15769118979547	EPX/TBXAS1	2
GO:0016247	GO:0016247	channel regulator activity	2/101	29/3981	0.166710689782685	STX7/VAMP8	2
GO:0016796	GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	2/101	29/3981	0.166710689782685	PARN/PLD3	2
GO:0016627	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	2/101	30/3981	0.175818301390473	ACAD9/TBXAS1	2
GO:0042626	GO:0042626	ATPase-coupled transmembrane transporter activity	2/101	31/3981	0.18500389035002	ABCD1/ATP6V0D1	2
