	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa03010	hsa03010	Ribosome	10/63	167/8586	3.11095357197668e-07	64928/63875/29074/51069/63931/51021/51116/64969/64968/9349	10
hsa00650	hsa00650	Butanoate metabolism	3/63	27/8586	0.000971273950490498	38/1892/79944	3
hsa03083	hsa03083	Polycomb repressive complex	4/63	84/8586	0.00327546335162644	1460/3607/22823/10389	4
hsa03040	hsa03040	Spliceosome	6/63	216/8586	0.00486761278710585	151903/10084/10285/9410/6429/6431	6
hsa00280	hsa00280	Valine, leucine and isoleucine degradation	3/63	48/8586	0.00514822036707912	38/1892/64087	3
hsa03015	hsa03015	mRNA surveillance pathway	4/63	97/8586	0.00547994006456475	10978/1477/81608/65109	4
hsa01212	hsa01212	Fatty acid metabolism	3/63	57/8586	0.00831215300679536	38/1892/27349	3
hsa00230	hsa00230	Purine metabolism	4/63	128/8586	0.0142615136368777	4832/29922/84284/53343	4
hsa01232	hsa01232	Nucleotide metabolism	3/63	85/8586	0.0242851749379464	4832/29922/84284	3
hsa01240	hsa01240	Biosynthesis of cofactors	4/63	153/8586	0.0256389702152875	51805/4832/29922/64802	4
hsa03008	hsa03008	Ribosome biogenesis in eukaryotes	4/63	164/8586	0.0319880623716571	1460/55127/84135/10885	4
hsa00380	hsa00380	Tryptophan metabolism	2/63	42/8586	0.0378046208039051	38/1892	2
hsa00071	hsa00071	Fatty acid degradation	2/63	43/8586	0.0394648438556095	38/1892	2
hsa00240	hsa00240	Pyrimidine metabolism	2/63	58/8586	0.0673974798716589	4832/29922	2
hsa00310	hsa00310	Lysine degradation	2/63	63/8586	0.0778178217177816	38/1892	2
hsa00130	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1/63	11/8586	0.0778595633836695	51805	1
hsa05211	hsa05211	Renal cell carcinoma	2/63	69/8586	0.0909389387650847	1398/5546	2
hsa03450	hsa03450	Non-homologous end-joining	1/63	13/8586	0.0913603915638099	5591	1
hsa00730	hsa00730	Thiamine metabolism	1/63	15/8586	0.104666649722683	84284	1
hsa03018	hsa03018	RNA degradation	2/63	79/8586	0.114098830064764	3313/5073	2
hsa00983	hsa00983	Drug metabolism - other enzymes	2/63	80/8586	0.116492977757834	4832/29922	2
hsa00061	hsa00061	Fatty acid biosynthesis	1/63	18/8586	0.124267244037801	27349	1
hsa00511	hsa00511	Other glycan degradation	1/63	18/8586	0.124267244037801	4126	1
hsa00900	hsa00900	Terpenoid backbone biosynthesis	1/63	23/8586	0.156000597777516	38	1
hsa05202	hsa05202	Transcriptional misregulation in cancer	3/63	193/8586	0.168231124012859	5546/860/8148	3
hsa00062	hsa00062	Fatty acid elongation	1/63	27/8586	0.180570094417435	1892	1
hsa00630	hsa00630	Glyoxylate and dicarboxylate metabolism	1/63	30/8586	0.198533982471277	38	1
hsa00410	hsa00410	beta-Alanine metabolism	1/63	31/8586	0.204435380216054	1892	1
hsa01200	hsa01200	Carbon metabolism	2/63	115/8586	0.206416655617572	38/1892	2
hsa00640	hsa00640	Propanoate metabolism	1/63	32/8586	0.210294009210372	1892	1
hsa03082	hsa03082	ATP-dependent chromatin remodeling	2/63	117/8586	0.211796915633	86/29117	2
hsa04130	hsa04130	SNARE interactions in vesicular transport	1/63	33/8586	0.21611017444532	6811	1
hsa00760	hsa00760	Nicotinate and nicotinamide metabolism	1/63	37/8586	0.238956223038658	64802	1
hsa00513	hsa00513	Various types of N-glycan biosynthesis	1/63	42/8586	0.266594068445248	79796	1
hsa04975	hsa04975	Fat digestion and absorption	1/63	43/8586	0.272001907125954	38	1
hsa03410	hsa03410	Base excision repair	1/63	44/8586	0.277370498938089	4350	1
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/63	44/8586	0.277370498938089	8655	1
hsa03022	hsa03022	Basal transcription factors	1/63	45/8586	0.28270012415079	8148	1
hsa00620	hsa00620	Pyruvate metabolism	1/63	47/8586	0.293243586023687	38	1
hsa04110	hsa04110	Cell cycle	2/63	157/8586	0.320639869513189	29882/5591	2
hsa00510	hsa00510	N-Glycan biosynthesis	1/63	53/8586	0.323967317083011	79796	1
hsa05225	hsa05225	Hepatocellular carcinoma	2/63	168/8586	0.35026437732997	86/29117	2
hsa00970	hsa00970	Aminoacyl-tRNA biosynthesis	1/63	66/8586	0.38609697047038	10667	1
hsa05016	hsa05016	Huntington disease	3/63	306/8586	0.390783568334716	55860/23186/292	3
hsa04137	hsa04137	Mitophagy - animal	1/63	72/8586	0.412842661543694	1460	1
hsa04814	hsa04814	Motor proteins	2/63	193/8586	0.415854082140957	55860/8655	2
hsa05220	hsa05220	Chronic myeloid leukemia	1/63	76/8586	0.430032576276926	1398	1
hsa05100	hsa05100	Bacterial invasion of epithelial cells	1/63	77/8586	0.434252076593559	1398	1
hsa05415	hsa05415	Diabetic cardiomyopathy	2/63	203/8586	0.441209013198605	5164/292	2
hsa05022	hsa05022	Pathways of neurodegeneration - multiple diseases	4/63	476/8586	0.465164823180119	55860/1460/292/10131	4
hsa04012	hsa04012	ErbB signaling pathway	1/63	85/8586	0.466919581738269	1398	1
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/63	89/8586	0.482549918051454	1460	1
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	2/63	222/8586	0.487715502544267	29882/292	2
hsa04658	hsa04658	Th1 and Th2 cell differentiation	1/63	92/8586	0.493975843353948	864	1
hsa04520	hsa04520	Adherens junction	1/63	93/8586	0.49772902464294	1460	1
hsa04714	hsa04714	Thermogenesis	2/63	232/8586	0.511238628455819	86/28958	2
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	1/63	97/8586	0.512469723872445	1398	1
hsa04914	hsa04914	Progesterone-mediated oocyte maturation	1/63	102/8586	0.530298042036405	29882	1
hsa04064	hsa04064	NF-kappa B signaling pathway	1/63	104/8586	0.537248321655705	1460	1
hsa04928	hsa04928	Parathyroid hormone synthesis, secretion and action	1/63	106/8586	0.544097365167744	860	1
hsa05132	hsa05132	Salmonella infection	2/63	249/8586	0.549617183485605	55860/8655	2
hsa03013	hsa03013	Nucleocytoplasmic transport	1/63	108/8586	0.550846623711075	65109	1
hsa05012	hsa05012	Parkinson disease	2/63	266/8586	0.585892704324349	292/10131	2
hsa04722	hsa04722	Neurotrophin signaling pathway	1/63	119/8586	0.586246817856461	1398	1
hsa04935	hsa04935	Growth hormone synthesis, secretion and action	1/63	120/8586	0.589325411275033	1398	1
hsa05020	hsa05020	Prion disease	2/63	272/8586	0.598184268650623	1460/292	2
hsa04114	hsa04114	Oocyte meiosis	1/63	131/8586	0.621737094932677	29882	1
hsa04142	hsa04142	Lysosome	1/63	132/8586	0.624555612143705	4126	1
hsa04910	hsa04910	Insulin signaling pathway	1/63	137/8586	0.638341108777461	1398	1
hsa05135	hsa05135	Yersinia infection	1/63	137/8586	0.638341108777461	1398	1
hsa05162	hsa05162	Measles	1/63	138/8586	0.641037819648218	1460	1
hsa04120	hsa04120	Ubiquitin mediated proteolysis	1/63	142/8586	0.651628175263779	29882	1
hsa05017	hsa05017	Spinocerebellar ataxia	1/63	143/8586	0.654227349228533	292	1
hsa04218	hsa04218	Cellular senescence	1/63	156/8586	0.686328957169251	292	1
hsa04217	hsa04217	Necroptosis	1/63	159/8586	0.693309836588451	292	1
hsa04022	hsa04022	cGMP-PKG signaling pathway	1/63	167/8586	0.711186683882842	292	1
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	1/63	170/8586	0.717622680423924	54788	1
hsa05164	hsa05164	Influenza A	1/63	171/8586	0.719736484028165	292	1
hsa04310	hsa04310	Wnt signaling pathway	1/63	174/8586	0.725984901235241	1460	1
hsa05152	hsa05152	Tuberculosis	1/63	180/8586	0.73807326460897	3313	1
hsa04613	hsa04613	Neutrophil extracellular trap formation	1/63	191/8586	0.758887463542035	292	1
hsa04062	hsa04062	Chemokine signaling pathway	1/63	192/8586	0.760696884601815	1398	1
hsa05169	hsa05169	Epstein-Barr virus infection	1/63	202/8586	0.778071831674898	864	1
hsa04510	hsa04510	Focal adhesion	1/63	203/8586	0.779739469390127	1398	1
hsa05010	hsa05010	Alzheimer disease	2/63	384/8586	0.779971161369711	1460/292	2
hsa05203	hsa05203	Viral carcinogenesis	1/63	204/8586	0.781394773389701	28973	1
