"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP5053"	"WP5053"	"Development of ureteric collection system"	"5/43"	"60/8701"	1.03626361701183e-05	0.00103626361701183	0.000992631464716595	"8516/653/80144/9353/6092"	5
"WP4823"	"WP4823"	"Genes controlling nephrogenesis"	"3/43"	"44/8701"	0.00129305775718657	0.0646528878593283	0.0619306610020934	"8516/9353/6092"	3
"WP4830"	"WP4830"	"GDNF/RET signaling axis"	"2/43"	"23/8701"	0.00565115497305135	0.148207428983141	0.141967116183851	"9353/6092"	2
"WP2118"	"WP2118"	"Arrhythmogenic right ventricular cardiomyopathy"	"3/43"	"75/8701"	0.00592829715932566	0.148207428983141	0.141967116183851	"8516/2697/781"	3
"WP716"	"WP716"	"Vitamin A and carotenoid metabolism"	"2/43"	"43/8701"	0.0189509716270249	0.33054636288536	0.316628621290187	"1381/220"	2
"WP2431"	"WP2431"	"Spinal cord injury"	"3/43"	"121/8701"	0.0216170538500762	0.33054636288536	0.316628621290187	"1280/9353/2697"	3
"WP2267"	"WP2267"	"Synaptic vesicle pathway"	"2/43"	"51/8701"	0.0261020191416335	0.33054636288536	0.316628621290187	"6581/774"	2
"WP5265"	"WP5265"	"Neurogenesis regulation in the olfactory epithelium"	"2/43"	"57/8701"	0.0320723450601699	0.33054636288536	0.316628621290187	"7436/2066"	2
"WP536"	"WP536"	"Calcium regulation in cardiac cells"	"3/43"	"152/8701"	0.0387839507449779	0.33054636288536	0.316628621290187	"774/2697/3760"	3
"WP3584"	"WP3584"	"MECP2 and associated Rett syndrome"	"2/43"	"73/8701"	0.0502681841052411	0.33054636288536	0.316628621290187	"2250/5457"	2
"WP2596"	"WP2596"	"Gastric acid production"	"1/43"	"11/8701"	0.0530677758682951	0.33054636288536	0.316628621290187	"643834"	1
"WP3297"	"WP3297"	"EV release from cardiac cells and their functional effects"	"1/43"	"11/8701"	0.0530677758682951	0.33054636288536	0.316628621290187	"2066"	1
"WP3672"	"WP3672"	"lncRNA-mediated mechanisms of therapeutic resistance"	"1/43"	"11/8701"	0.0530677758682951	0.33054636288536	0.316628621290187	"55384"	1
"WP5409"	"WP5409"	"PAFAH1B1 copy number variation"	"1/43"	"11/8701"	0.0530677758682951	0.33054636288536	0.316628621290187	"7436"	1
"WP5199"	"WP5199"	"PtdIns(4,5)P2 in cytokinesis pathway"	"1/43"	"12/8701"	0.0577534013732039	0.33054636288536	0.316628621290187	"4633"	1
"WP5324"	"WP5324"	"Octadecanoid formation from linoleic acid"	"1/43"	"12/8701"	0.0577534013732039	0.33054636288536	0.316628621290187	"1557"	1
"WP3888"	"WP3888"	"VEGFA-VEGFR2 signaling"	"5/43"	"432/8701"	0.0603018104126442	0.33054636288536	0.316628621290187	"4633/8828/2697/781/56999"	5
"WP5110"	"WP5110"	"Familial hyperlipidemia type 3"	"1/43"	"13/8701"	0.0624163779805185	0.33054636288536	0.316628621290187	"7436"	1
