"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa05171"	"hsa05171"	"Coronavirus disease - COVID-19"	"4/26"	"232/8485"	0.00507165067659056	0.290414413468834	0.255216915747599	"CCL2/RPL3L/EGFR/C1QA"	4
"hsa05418"	"hsa05418"	"Fluid shear stress and atherosclerosis"	"3/26"	"138/8485"	0.00832384404483219	0.290414413468834	0.255216915747599	"SELE/CCL2/KDR"	3
"hsa05144"	"hsa05144"	"Malaria"	"2/26"	"50/8485"	0.0101060335668593	0.290414413468834	0.255216915747599	"SELE/CCL2"	2
"hsa00982"	"hsa00982"	"Drug metabolism - cytochrome P450"	"2/26"	"66/8485"	0.017173730924533	0.290414413468834	0.255216915747599	"FMO3/CYP2C9"	2
"hsa05230"	"hsa05230"	"Central carbon metabolism in cancer"	"2/26"	"70/8485"	0.0191914531456276	0.290414413468834	0.255216915747599	"EGFR/LDHAL6A"	2
"hsa05218"	"hsa05218"	"Melanoma"	"2/26"	"72/8485"	0.0202362037209462	0.290414413468834	0.255216915747599	"FGF5/EGFR"	2
"hsa01521"	"hsa01521"	"EGFR tyrosine kinase inhibitor resistance"	"2/26"	"79/8485"	0.0240760463402547	0.290414413468834	0.255216915747599	"KDR/EGFR"	2
"hsa04015"	"hsa04015"	"Rap1 signaling pathway"	"3/26"	"210/8485"	0.0255571666776536	0.290414413468834	0.255216915747599	"KDR/FGF5/EGFR"	3
"hsa05417"	"hsa05417"	"Lipid and atherosclerosis"	"3/26"	"214/8485"	0.0268358764992711	0.290414413468834	0.255216915747599	"SELE/CCL2/CYP2C9"	3
"hsa04014"	"hsa04014"	"Ras signaling pathway"	"3/26"	"236/8485"	0.0344797605607762	0.290414413468834	0.255216915747599	"KDR/FGF5/EGFR"	3
"hsa04061"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	"2/26"	"100/8485"	0.0371974836547729	0.290414413468834	0.255216915747599	"CCL2/CCL1"	2
"hsa04933"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"2/26"	"100/8485"	0.0371974836547729	0.290414413468834	0.255216915747599	"SELE/CCL2"	2
"hsa05142"	"hsa05142"	"Chagas disease"	"2/26"	"102/8485"	0.0385642927580942	0.290414413468834	0.255216915747599	"CCL2/C1QA"	2
"hsa04020"	"hsa04020"	"Calcium signaling pathway"	"3/26"	"253/8485"	0.0410897031996367	0.290414413468834	0.255216915747599	"KDR/FGF5/EGFR"	3
"hsa04928"	"hsa04928"	"Parathyroid hormone synthesis, secretion and action"	"2/26"	"106/8485"	0.0413553340864019	0.290414413468834	0.255216915747599	"CYP24A1/EGFR"	2
"hsa04066"	"hsa04066"	"HIF-1 signaling pathway"	"2/26"	"109/8485"	0.0434978166371115	0.290414413468834	0.255216915747599	"EGFR/LDHAL6A"	2
"hsa04668"	"hsa04668"	"TNF signaling pathway"	"2/26"	"114/8485"	0.0471597277916169	0.290414413468834	0.255216915747599	"SELE/CCL2"	2
"hsa00430"	"hsa00430"	"Taurine and hypotaurine metabolism"	"1/26"	"16/8485"	0.0479583435086147	0.290414413468834	0.255216915747599	"FMO3"	1
"hsa00100"	"hsa00100"	"Steroid biosynthesis"	"1/26"	"20/8485"	0.0595978157557767	0.326835826683291	0.287224145129691	"CYP24A1"	1
"hsa00770"	"hsa00770"	"Pantothenate and CoA biosynthesis"	"1/26"	"21/8485"	0.0624862335691672	0.326835826683291	0.287224145129691	"DPYS"	1
"hsa04010"	"hsa04010"	"MAPK signaling pathway"	"3/26"	"301/8485"	0.0629683702784323	0.326835826683291	0.287224145129691	"KDR/FGF5/EGFR"	3
"hsa05206"	"hsa05206"	"MicroRNAs in cancer"	"3/26"	"310/8485"	0.0675800705828003	0.334828531523874	0.294248154212193	"CYP24A1/EGFR/COMMD3-BMI1"	3
"hsa05224"	"hsa05224"	"Breast cancer"	"2/26"	"147/8485"	0.0739183451649744	0.334851633350162	0.29426845615514	"FGF5/EGFR"	2
"hsa05226"	"hsa05226"	"Gastric cancer"	"2/26"	"148/8485"	0.0747928823919344	0.334851633350162	0.29426845615514	"FGF5/EGFR"	2
"hsa04950"	"hsa04950"	"Maturity onset diabetes of the young"	"1/26"	"26/8485"	0.0768008333371932	0.334851633350162	0.29426845615514	"MNX1"	1
"hsa04514"	"hsa04514"	"Cell adhesion molecules"	"2/26"	"156/8485"	0.0819098335627154	0.343391225320615	0.301773071020531	"SELE/CNTN1"	2
"hsa00591"	"hsa00591"	"Linoleic acid metabolism"	"1/26"	"30/8485"	0.0881009668343309	0.344085364858537	0.302383082589347	"CYP2C9"	1
"hsa00410"	"hsa00410"	"beta-Alanine metabolism"	"1/26"	"31/8485"	0.0909051507328887	0.344085364858537	0.302383082589347	"DPYS"	1
"hsa00640"	"hsa00640"	"Propanoate metabolism"	"1/26"	"32/8485"	0.0937010421548123	0.344085364858537	0.302383082589347	"LDHAL6A"	1
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	"3/26"	"358/8485"	0.0947023939977626	0.344085364858537	0.302383082589347	"KDR/FGF5/EGFR"	3
"hsa05143"	"hsa05143"	"African trypanosomiasis"	"1/26"	"37/8485"	0.107556933924291	0.356715141607703	0.313482162108169	"SELE"	1
"hsa04062"	"hsa04062"	"Chemokine signaling pathway"	"2/26"	"192/8485"	0.116284581273364	0.356715141607703	0.313482162108169	"CCL2/CCL1"	2
"hsa05202"	"hsa05202"	"Transcriptional misregulation in cancer"	"2/26"	"193/8485"	0.117287514058607	0.356715141607703	0.313482162108169	"HOXA11/COMMD3-BMI1"	2
"hsa05219"	"hsa05219"	"Bladder cancer"	"1/26"	"41/8485"	0.118494767236628	0.356715141607703	0.313482162108169	"EGFR"	1
"hsa00513"	"hsa00513"	"Various types of N-glycan biosynthesis"	"1/26"	"42/8485"	0.121209018308613	0.356715141607703	0.313482162108169	"TUSC3"	1
"hsa04510"	"hsa04510"	"Focal adhesion"	"2/26"	"203/8485"	0.127440039833869	0.356715141607703	0.313482162108169	"KDR/EGFR"	2
"hsa05415"	"hsa05415"	"Diabetic cardiomyopathy"	"2/26"	"203/8485"	0.127440039833869	0.356715141607703	0.313482162108169	"PDK4/ATP8"	2
"hsa02010"	"hsa02010"	"ABC transporters"	"1/26"	"45/8485"	0.129303640937772	0.356715141607703	0.313482162108169	"ABCA8"	1
"hsa05205"	"hsa05205"	"Proteoglycans in cancer"	"2/26"	"205/8485"	0.129496300739606	0.356715141607703	0.313482162108169	"KDR/EGFR"	2
"hsa05207"	"hsa05207"	"Chemical carcinogenesis - receptor activation"	"2/26"	"209/8485"	0.133633222817118	0.356715141607703	0.313482162108169	"FGF5/EGFR"	2
"hsa00620"	"hsa00620"	"Pyruvate metabolism"	"1/26"	"47/8485"	0.134660174910053	0.356715141607703	0.313482162108169	"LDHAL6A"	1
"hsa00565"	"hsa00565"	"Ether lipid metabolism"	"1/26"	"50/8485"	0.142635606827733	0.356715141607703	0.313482162108169	"PLA2G7"	1
"hsa05208"	"hsa05208"	"Chemical carcinogenesis - reactive oxygen species"	"2/26"	"221/8485"	0.146227392827801	0.356715141607703	0.313482162108169	"EGFR/ATP8"	2
"hsa00270"	"hsa00270"	"Cysteine and methionine metabolism"	"1/26"	"52/8485"	0.147913244317128	0.356715141607703	0.313482162108169	"LDHAL6A"	1
"hsa05163"	"hsa05163"	"Human cytomegalovirus infection"	"2/26"	"225/8485"	0.150482328238712	0.356715141607703	0.313482162108169	"CCL2/EGFR"	2
"hsa00510"	"hsa00510"	"N-Glycan biosynthesis"	"1/26"	"53/8485"	0.150540334990407	0.356715141607703	0.313482162108169	"TUSC3"	1
"hsa04810"	"hsa04810"	"Regulation of actin cytoskeleton"	"2/26"	"229/8485"	0.154763636013277	0.358919921818025	0.315419728492905	"FGF5/EGFR"	2
"hsa00240"	"hsa00240"	"Pyrimidine metabolism"	"1/26"	"58/8485"	0.163559395157252	0.359715497038206	0.316118881993981	"DPYS"	1
"hsa05213"	"hsa05213"	"Endometrial cancer"	"1/26"	"58/8485"	0.163559395157252	0.359715497038206	0.316118881993981	"EGFR"	1
