"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa04814"	"hsa04814"	"Motor proteins"	"3/24"	"193/8485"	0.0164988455033765	0.511587471485299	0.501374291473795	"DNAH5/KIF6/TUBAL3"	3
"hsa04350"	"hsa04350"	"TGF-beta signaling pathway"	"2/24"	"108/8485"	0.0369284433013599	0.511587471485299	0.501374291473795	"GREM1/GREM2"	2
"hsa04931"	"hsa04931"	"Insulin resistance"	"2/24"	"108/8485"	0.0369284433013599	0.511587471485299	0.501374291473795	"GFPT2/FOXO1"	2
"hsa00061"	"hsa00061"	"Fatty acid biosynthesis"	"1/24"	"18/8485"	0.049756238245528	0.511587471485299	0.501374291473795	"OLAH"	1
"hsa04950"	"hsa04950"	"Maturity onset diabetes of the young"	"1/24"	"26/8485"	0.0711003948413612	0.511587471485299	0.501374291473795	"BHLHA15"	1
"hsa04744"	"hsa04744"	"Phototransduction"	"1/24"	"28/8485"	0.0763642035260276	0.511587471485299	0.501374291473795	"SAG"	1
"hsa04530"	"hsa04530"	"Tight junction"	"2/24"	"170/8485"	0.0826374154708551	0.511587471485299	0.501374291473795	"PARD6G/TUBAL3"	2
"hsa04215"	"hsa04215"	"Apoptosis - multiple species"	"1/24"	"32/8485"	0.0868061922903529	0.511587471485299	0.501374291473795	"BOK"	1
"hsa00250"	"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"1/24"	"37/8485"	0.0996996503338726	0.511587471485299	0.501374291473795	"GFPT2"	1
"hsa01250"	"hsa01250"	"Biosynthesis of nucleotide sugars"	"1/24"	"37/8485"	0.0996996503338726	0.511587471485299	0.501374291473795	"GFPT2"	1
"hsa00260"	"hsa00260"	"Glycine, serine and threonine metabolism"	"1/24"	"40/8485"	0.107351790272531	0.511587471485299	0.501374291473795	"BHMT"	1
"hsa00520"	"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"1/24"	"49/8485"	0.129936040309024	0.511587471485299	0.501374291473795	"GFPT2"	1
"hsa00330"	"hsa00330"	"Arginine and proline metabolism"	"1/24"	"50/8485"	0.132411328956794	0.511587471485299	0.501374291473795	"CKM"	1
"hsa00270"	"hsa00270"	"Cysteine and methionine metabolism"	"1/24"	"52/8485"	0.137341675498199	0.511587471485299	0.501374291473795	"BHMT"	1
"hsa04213"	"hsa04213"	"Longevity regulating pathway - multiple species"	"1/24"	"60/8485"	0.15679588605071	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa00590"	"hsa00590"	"Arachidonic acid metabolism"	"1/24"	"61/8485"	0.159197891835254	0.511587471485299	0.501374291473795	"ALOXE3"	1
"hsa05204"	"hsa05204"	"Chemical carcinogenesis - DNA adducts"	"1/24"	"67/8485"	0.173472802733325	0.511587471485299	0.501374291473795	"CYP3A43"	1
"hsa05016"	"hsa05016"	"Huntington disease"	"2/24"	"305/8485"	0.212839005229286	0.511587471485299	0.501374291473795	"DNAH5/TUBAL3"	2
"hsa04742"	"hsa04742"	"Taste transduction"	"1/24"	"86/8485"	0.217160531239	0.511587471485299	0.501374291473795	"HTR3A"	1
"hsa04211"	"hsa04211"	"Longevity regulating pathway"	"1/24"	"88/8485"	0.221628305796993	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04540"	"hsa04540"	"Gap junction"	"1/24"	"88/8485"	0.221628305796993	0.511587471485299	0.501374291473795	"TUBAL3"	1
"hsa04512"	"hsa04512"	"ECM-receptor interaction"	"1/24"	"89/8485"	0.223853019463882	0.511587471485299	0.501374291473795	"SV2C"	1
"hsa05165"	"hsa05165"	"Human papillomavirus infection"	"2/24"	"331/8485"	0.240224762992701	0.511587471485299	0.501374291473795	"FOXO1/PARD6G"	2
"hsa05215"	"hsa05215"	"Prostate cancer"	"1/24"	"97/8485"	0.241432667659276	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04933"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"1/24"	"100/8485"	0.24792613463292	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04972"	"hsa04972"	"Pancreatic secretion"	"1/24"	"102/8485"	0.252225482184973	0.511587471485299	0.501374291473795	"PRSS3"	1
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	"1/24"	"103/8485"	0.254366313441989	0.511587471485299	0.501374291473795	"PRSS3"	1
"hsa04922"	"hsa04922"	"Glucagon signaling pathway"	"1/24"	"107/8485"	0.262871048600292	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04726"	"hsa04726"	"Serotonergic synapse"	"1/24"	"112/8485"	0.273371289632073	0.511587471485299	0.501374291473795	"HTR3A"	1
"hsa05014"	"hsa05014"	"Amyotrophic lateral sclerosis"	"2/24"	"364/8485"	0.275298607954122	0.511587471485299	0.501374291473795	"DNAH5/TUBAL3"	2
"hsa04152"	"hsa04152"	"AMPK signaling pathway"	"1/24"	"121/8485"	0.291911549190474	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04919"	"hsa04919"	"Thyroid hormone signaling pathway"	"1/24"	"121/8485"	0.291911549190474	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04068"	"hsa04068"	"FoxO signaling pathway"	"1/24"	"129/8485"	0.308010449228523	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04210"	"hsa04210"	"Apoptosis"	"1/24"	"136/8485"	0.321808721006623	0.511587471485299	0.501374291473795	"TUBAL3"	1
"hsa04910"	"hsa04910"	"Insulin signaling pathway"	"1/24"	"137/8485"	0.323758246781667	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04936"	"hsa04936"	"Alcoholic liver disease"	"1/24"	"142/8485"	0.333425589693681	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa05017"	"hsa05017"	"Spinocerebellar ataxia"	"1/24"	"142/8485"	0.333425589693681	0.511587471485299	0.501374291473795	"DAB1"	1
"hsa04145"	"hsa04145"	"Phagosome"	"1/24"	"149/8485"	0.346737623036531	0.511587471485299	0.501374291473795	"TUBAL3"	1
"hsa04218"	"hsa04218"	"Cellular senescence"	"1/24"	"156/8485"	0.359794668874262	0.511587471485299	0.501374291473795	"FOXO1"	1
"hsa04514"	"hsa04514"	"Cell adhesion molecules"	"1/24"	"156/8485"	0.359794668874262	0.511587471485299	0.501374291473795	"CDH4"	1
"hsa04390"	"hsa04390"	"Hippo signaling pathway"	"1/24"	"157/8485"	0.361639419498228	0.511587471485299	0.501374291473795	"PARD6G"	1
"hsa05164"	"hsa05164"	"Influenza A"	"1/24"	"169/8485"	0.383382860253446	0.52943347368333	0.518864021395641	"PRSS3"	1
"hsa05022"	"hsa05022"	"Pathways of neurodegeneration - multiple diseases"	"2/24"	"476/8485"	0.393138253894679	0.530279505253289	0.51969316304315	"DNAH5/TUBAL3"	2
"hsa04360"	"hsa04360"	"Axon guidance"	"1/24"	"182/8485"	0.406136878958136	0.533120083513444	0.522477032844391	"PARD6G"	1
"hsa05202"	"hsa05202"	"Transcriptional misregulation in cancer"	"1/24"	"193/8485"	0.424759703977407	0.533120083513444	0.522477032844391	"FOXO1"	1
"hsa05130"	"hsa05130"	"Pathogenic Escherichia coli infection"	"1/24"	"198/8485"	0.433038390164831	0.533120083513444	0.522477032844391	"TUBAL3"	1
"hsa05203"	"hsa05203"	"Viral carcinogenesis"	"1/24"	"203/8485"	0.441202827735264	0.533120083513444	0.522477032844391	"HPN"	1
"hsa05415"	"hsa05415"	"Diabetic cardiomyopathy"	"1/24"	"203/8485"	0.441202827735264	0.533120083513444	0.522477032844391	"GFPT2"	1
"hsa04015"	"hsa04015"	"Rap1 signaling pathway"	"1/24"	"210/8485"	0.452443972210144	0.535545926289559	0.524854446817353	"PARD6G"	1
"hsa05131"	"hsa05131"	"Shigellosis"	"1/24"	"247/8485"	0.508352057513873	0.571787496293827	0.560372500905021	"FOXO1"	1
"hsa05132"	"hsa05132"	"Salmonella infection"	"1/24"	"249/8485"	0.511212721947591	0.571787496293827	0.560372500905021	"TUBAL3"	1
"hsa04144"	"hsa04144"	"Endocytosis"	"1/24"	"250/8485"	0.512637065642742	0.571787496293827	0.560372500905021	"PARD6G"	1
"hsa05012"	"hsa05012"	"Parkinson disease"	"1/24"	"266/8485"	0.534892702586476	0.583205838221931	0.571562890453435	"TUBAL3"	1
"hsa05020"	"hsa05020"	"Prion disease"	"1/24"	"272/8485"	0.542984745930764	0.583205838221931	0.571562890453435	"TUBAL3"	1
"hsa04060"	"hsa04060"	"Cytokine-cytokine receptor interaction"	"1/24"	"297/8485"	0.575272562198738	0.606651065591396	0.594540064281949	"BMP3"	1
"hsa04080"	"hsa04080"	"Neuroactive ligand-receptor interaction"	"1/24"	"366/8485"	0.653439833043053	0.676776969937448	0.663265995945956	"PRSS3"	1
"hsa05010"	"hsa05010"	"Alzheimer disease"	"1/24"	"384/8485"	0.671442068843626	0.683221754261935	0.669582118514419	"TUBAL3"	1
"hsa04740"	"hsa04740"	"Olfactory transduction"	"1/24"	"431/8485"	0.714321684743814	0.714321684743814	0.700061179240762	"OR14K1"	1
