"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"WP3942"	"WP3942"	"PPAR signaling pathway"	64	-0.625277100031777	-1.85947320050987	0.000158973244989245	0.108101806592687	0.107934466334803	2202	"tags=38%, list=10%, signal=34%"	"SLC27A6/APOC3/ACSL6/APOA2/OLR1/ANGPTL4/UCP1/RXRA/SORBS1/ADIPOQ/ACOX2/CYP8B1/ACSBG1/CD36/PPARG/FABP6/LPL/CYP27A1/FABP3/APOA5/FABP2/FABP4/MMP1/HMGCS2"
"WP5072"	"WP5072"	"Modulators of TCR signaling and T cell activation"	61	0.583743705023145	1.81456957774745	0.000706477044720141	0.240202195204848	0.239830365181311	6307	"tags=52%, list=28%, signal=38%"	"SOCS1/CD5/CD8A/ITK/CD28/CD3E/UBASH3A/CD247/RHOH/PLCG1/CD3D/CD3G/ZAP70/LCK/MAP4K1/TNFAIP3/NFKBIA/GRAP2/CARD11/FIBP/DGKA/LAT/RNF7/IKBKG/MAP3K14/AKT1/CDKN1B/SH2D1A/ZFP36L1/RASA2/CBLB/MALT1"
"WP2369"	"WP2369"	"Histone modifications"	63	-0.585686599281394	-1.74433446315534	0.00149444719486211	0.338741364168746	0.338216996731952	4559	"tags=40%, list=20%, signal=32%"	"H4C6/H3C4/SUV39H2/H4C2/H4C11/NSD1/H4C3/H4C8/H4C5/EZH2/H3C11/KMT5B/H3C12/SMYD3/H3C13/H3C10/H4C1/H3C14/H4C9/H4C13/H3C7/H3C8/H4C4/H4C12/H3C15"
"WP4156"	"WP4156"	"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine"	15	0.774937416755012	1.79097601862944	0.00363075007892874	0.491603614679339	0.490842618371786	1960	"tags=40%, list=9%, signal=37%"	"PAH/TH/MAOA/PNMT/DBH/ASMT"
"WP550"	"WP550"	"Biogenic amine synthesis"	14	0.752578406203627	1.72053966344229	0.00722946492175499	0.491603614679339	0.490842618371786	1960	"tags=64%, list=9%, signal=59%"	"CHAT/PAH/TH/MAOA/HDC/PNMT/DDC/DBH/ASMT"
"WP5061"	"WP5061"	"Fatty acid transporters"	15	-0.764656040471996	-1.70004199402873	0.00615059259675534	0.491603614679339	0.490842618371786	2093	"tags=47%, list=9%, signal=42%"	"ACSL6/ACSBG1/CD36/FABP6/FABP3/FABP2/FABP4"
"WP4553"	"WP4553"	"FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma"	33	-0.635459779955294	-1.66471598622728	0.00615082319839278	0.491603614679339	0.490842618371786	3226	"tags=42%, list=14%, signal=36%"	"EZH2/H3C11/RNF2/MAPK3/H3C12/H3C13/H3C10/H2AX/H3C14/DUSP6/H2AB3/H3C7/H3C8/H3C15"
"WP5130"	"WP5130"	"Th17 cell differentiation pathway"	70	0.498590577736831	1.60535861953163	0.00513660842735833	0.491603614679339	0.490842618371786	2807	"tags=30%, list=12%, signal=26%"	"IL21/IL22/SOCS3/RORA/PER1/RORC/IL2RA/GATA3/IL23A/IFNG/IRF4/IL2/CD3E/CD247/PLCG1/FOXP3/CD3D/CD3G/IL6/ZAP70/LCK"
"WP5366"	"WP5366"	"NF1 copy number variation syndrome "	106	-0.488024901728162	-1.57625944997086	0.00665255169556225	0.491603614679339	0.490842618371786	4559	"tags=37%, list=20%, signal=29%"	"H4C6/CCNE2/H3C4/CCNE1/OMG/LOC101927057/H4C2/METAP2/H4C11/H4C3/H4C8/RFC3/EXOC6/ADAP2/H4C5/NF1/H3C11/ATAD5/MAPK3/RTN4R/H3C12/H3C13/H3C10/HOXA1/H4C1/H3C14/H4C9/H4C14/CCNA2/H3C2/H4C13/H3C7/SDC2/H3C8/H4C4/H4C12/H3C15/H3C3/EGFR"
"WP706"	"WP706"	"Sudden infant death syndrome (SIDS) susceptibility pathways"	151	0.405742264248313	1.45266525573274	0.00536964300325609	0.491603614679339	0.490842618371786	1824	"tags=18%, list=8%, signal=17%"	"HTR3A/ADCYAP1/AQP4/CHAT/TPPP/SSTR1/PAH/TH/MAP2/MAOA/POU3F2/GCK/HTR1A/SLC6A4/SNAP25/SOX2/IL13/NKX3-1/NANOG/RORA/DDC/GATA3/ASCL1/SNTA1/TPH2/AVP/RYR2"
