	NodeIn	baitName	oeName	NodeOut	oeName_changed
1	chr1:5861508-5877773	AL356693.1	.	chr1:4536215-4538229	chr1:4536215-4538229
2	chr1:8265143-8268856	RNU1-7P;RP11-431K24.3	.	chr1:8078323-8078938	chr1:8078323-8078938
3	chr1:8351923-8354157	RNU6-991P	.	chr1:8078323-8078938	chr1:8078323-8078938
4	chr1:8375879-8381244	SLC45A1	.	chr1:8078323-8078938	chr1:8078323-8078938
5	chr1:9336978-9341933	Z98044.1	.	chr1:9530811-9541282	chr1:9530811-9541282
6	chr1:12288289-12294700	VPS13D	.	chr1:12166554-12168022	chr1:12166554-12168022
7	chr1:12288289-12294700	VPS13D	.	chr1:12716610-12722479	chr1:12716610-12722479
8	chr1:12566709-12567962	SNORA59A	.	chr1:12363249-12363426	chr1:12363249-12363426
9	chr1:12566709-12567962	SNORA59A	.	chr1:12716610-12722479	chr1:12716610-12722479
10	chr1:12627258-12642357	RNU6ATAC18P	.	chr1:12363249-12363426	chr1:12363249-12363426
11	chr1:12673527-12691643	DHRS3;RP11-474O21.5	.	chr1:12363249-12363426	chr1:12363249-12363426
12	chr1:12700924-12716452	AADACL4	.	chr1:12363249-12363426	chr1:12363249-12363426
13	chr1:12794756-12801844	snoU13	PDPN	chr1:13905567-13912090	PDPN
14	chr1:12801845-12807472	C1orf158	PDPN	chr1:13905567-13912090	PDPN
15	chr1:12832196-12836206	PRAMEF12	PDPN	chr1:13905567-13912090	PDPN
16	chr1:13905567-13912090	PDPN	.	chr1:14125217-14129149	chr1:14125217-14129149
17	chr1:13905567-13912090	PDPN	.	chr4:108340488-108344868	chr4:108340488-108344868
18	chr1:14019820-14033291	PRDM2;SCARNA11	PDPN	chr1:13905567-13912090	PDPN
19	chr1:15908460-15915579	AGMAT	RSC1A1	chr1:15985644-15986908	RSC1A1
20	chr1:15942535-15948857	DDI2	RSC1A1	chr1:15985644-15986908	RSC1A1
21	chr1:15985644-15986908	RSC1A1	SCARNA21	chr1:15855326-15870456	SCARNA21
22	chr1:15985644-15986908	RSC1A1	.	chr1:15881526-15889707	chr1:15881526-15889707
23	chr1:15985644-15986908	RSC1A1	.	chr1:15889708-15892652	chr1:15889708-15892652
24	chr1:15985644-15986908	RSC1A1	.	chr1:15892653-15893973	chr1:15892653-15893973
25	chr1:15985644-15986908	RSC1A1	.	chr1:15893974-15904570	chr1:15893974-15904570
26	chr1:15985644-15986908	RSC1A1	.	chr1:15904571-15905902	chr1:15904571-15905902
27	chr1:15985644-15986908	RSC1A1	.	chr1:15905903-15908459	chr1:15905903-15908459
28	chr1:15985644-15986908	RSC1A1	.	chr1:15936843-15938613	chr1:15936843-15938613
29	chr1:15985644-15986908	RSC1A1	.	chr1:15948858-15949341	chr1:15948858-15949341
30	chr1:15985644-15986908	RSC1A1	.	chr1:15949342-15951233	chr1:15949342-15951233
31	chr1:15985644-15986908	RSC1A1	.	chr1:15971704-15974867	chr1:15971704-15974867
32	chr1:15985644-15986908	RSC1A1	.	chr1:15979610-15981315	chr1:15979610-15981315
33	chr1:15985644-15986908	RSC1A1	.	chr1:15988470-15989675	chr1:15988470-15989675
34	chr1:15985644-15986908	RSC1A1	.	chr1:15989741-15990260	chr1:15989741-15990260
35	chr1:15985644-15986908	RSC1A1	.	chr1:16023604-16027972	chr1:16023604-16027972
36	chr1:15985644-15986908	RSC1A1	.	chr1:16042430-16047938	chr1:16042430-16047938
37	chr1:15985644-15986908	RSC1A1	.	chr1:16047939-16048415	chr1:16047939-16048415
38	chr1:15985644-15986908	RSC1A1	.	chr1:16048416-16055395	chr1:16048416-16055395
39	chr1:15985644-15986908	RSC1A1	RP11-288I21.1;SLC25A34	chr1:16059770-16064295	RP11-288I21.1;SLC25A34
40	chr1:16059770-16064295	RP11-288I21.1;SLC25A34	RSC1A1	chr1:15985644-15986908	RSC1A1
41	chr1:16064296-16081772	RP11-169K16.4;SLC25A34;TMEM82	RSC1A1	chr1:15985644-15986908	RSC1A1
42	chr1:16170816-16186303	RP11-169K16.9;SPEN	.	chr1:16152546-16165334	chr1:16152546-16165334
43	chr1:16331358-16347268	CLCNKA;HSPB7;RP11-5P18.5	.	chr1:16152546-16165334	chr1:16152546-16165334
44	chr1:16358634-16372517	CLCNKB;RP11-5P18.10	RSC1A1	chr1:15985644-15986908	RSC1A1
45	chr1:20809456-20815185	CAMK2N1	.	chr1:20417306-20420505	chr1:20417306-20420505
46	chr1:20809456-20815185	CAMK2N1	.	chr1:20566551-20568484	chr1:20566551-20568484
47	chr1:21064878-21072569	RP5-930J4.4	.	chr1:21476613-21478998	chr1:21476613-21478998
48	chr1:21112234-21114520	HP1BP3	.	chr1:21476613-21478998	chr1:21476613-21478998
49	chr1:21314908-21317537	MIR1256	.	chr1:21385769-21399269	chr1:21385769-21399269
50	chr1:21314908-21317537	MIR1256	.	chr1:21476613-21478998	chr1:21476613-21478998
51	chr1:23150255-23167762	RP11-69E9.1	.	chr1:23034546-23035630	chr1:23034546-23035630
52	chr1:24387880-24394506	MYOM3;RP11-293P20.4	STPG1	chr1:24742861-24745558	STPG1
53	chr1:24505108-24516772	IFNLR1	STPG1	chr1:24742861-24745558	STPG1
54	chr1:24742131-24742860	NIPAL3;STPG1	.	chr1:24857768-24862521	chr1:24857768-24862521
55	chr1:24742131-24742860	NIPAL3;STPG1	.	chr1:24862522-24863825	chr1:24862522-24863825
56	chr1:24742861-24745558	STPG1	.	chr1:24474965-24476969	chr1:24474965-24476969
57	chr1:24742861-24745558	STPG1	IFNLR1	chr1:24505108-24516772	IFNLR1
58	chr1:24742861-24745558	STPG1	.	chr1:24516773-24520477	chr1:24516773-24520477
59	chr1:24742861-24745558	STPG1	.	chr1:24520478-24521576	chr1:24520478-24521576
60	chr1:24742861-24745558	STPG1	.	chr1:24521577-24525905	chr1:24521577-24525905
61	chr1:24742861-24745558	STPG1	.	chr1:24525906-24543595	chr1:24525906-24543595
62	chr1:24742861-24745558	STPG1	.	chr1:24826071-24828116	chr1:24826071-24828116
63	chr1:24742861-24745558	STPG1	.	chr1:24844717-24846430	chr1:24844717-24846430
64	chr1:24742861-24745558	STPG1	.	chr1:24846431-24852542	chr1:24846431-24852542
65	chr1:24742861-24745558	STPG1	.	chr1:24852543-24855159	chr1:24852543-24855159
66	chr1:24742861-24745558	STPG1	.	chr1:24855160-24857767	chr1:24855160-24857767
67	chr1:24742861-24745558	STPG1	.	chr1:24857768-24862521	chr1:24857768-24862521
68	chr1:24742861-24745558	STPG1	.	chr1:24862522-24863825	chr1:24862522-24863825
69	chr1:24742861-24745558	STPG1	.	chr1:24863826-24864826	chr1:24863826-24864826
70	chr1:24742861-24745558	STPG1	.	chr1:24958743-24962062	chr1:24958743-24962062
71	chr1:24742861-24745558	STPG1	.	chr1:24962063-24963565	chr1:24962063-24963565
72	chr1:24742861-24745558	STPG1	.	chr1:24963566-24965285	chr1:24963566-24965285
73	chr1:24828117-24830589	RCAN3	STPG1	chr1:24742861-24745558	STPG1
74	chr1:24956915-24958408	SRRM1	STPG1	chr1:24742861-24745558	STPG1
75	chr1:24992621-24996135	snoU13;SRRM1	.	chr1:24978908-24979980	chr1:24978908-24979980
76	chr1:25531683-25536069	RP4-706G24.1	.	chr1:24978908-24979980	chr1:24978908-24979980
77	chr1:25549730-25582405	C1orf63;RP3-465N24.6;SYF2	.	chr1:24978908-24979980	chr1:24978908-24979980
78	chr1:26436399-26441817	PDIK1L	.	chr1:26665338-26667921	chr1:26665338-26667921
79	chr1:26495199-26499657	RP11-96L14.7;ZNF593	.	chr1:26665338-26667921	chr1:26665338-26667921
80	chr1:27112453-27115733	PIGV	.	chr1:27054123-27062454	chr1:27054123-27062454
81	chr1:27992231-27997240	RP11-288L9.4	.	chr1:28159492-28160589	chr1:28159492-28160589
82	chr1:28284312-28303696	RP11-460I13.2;XKR8	.	chr1:28159492-28160589	chr1:28159492-28160589
83	chr1:28408564-28415241	EYA3	.	chr1:28159492-28160589	chr1:28159492-28160589
84	chr1:28511770-28522951	PTAFR	.	chr1:28159492-28160589	chr1:28159492-28160589
85	chr1:28522952-28531626	AL353354.1;AL353354.2	.	chr1:28159492-28160589	chr1:28159492-28160589
86	chr1:28549095-28561123	DNAJC8	.	chr1:28159492-28160589	chr1:28159492-28160589
87	chr1:28561124-28564810	ATPIF1	.	chr1:28159492-28160589	chr1:28159492-28160589
88	chr1:31193344-31205317	MATN1-AS1;MATN1	.	chr1:31255155-31259114	chr1:31255155-31259114
89	chr1:31379889-31383989	SDC3	.	chr1:31255155-31259114	chr1:31255155-31259114
90	chr1:32794627-32814702	HDAC1;MARCKSL1	.	chr1:32705892-32711308	chr1:32705892-32711308
91	chr1:32814703-32825453	RP4-811H24.9;TSSK3	.	chr1:32705892-32711308	chr1:32705892-32711308
92	chr1:33546157-33562510	ADC;AK2	.	chr1:33424722-33427391	chr1:33424722-33427391
93	chr1:33546157-33562510	ADC;AK2	.	chr1:34092366-34095209	chr1:34092366-34095209
94	chr1:33771424-33781316	A3GALT2;RP11-415J8.3	.	chr1:33579202-33580963	chr1:33579202-33580963
95	chr1:33771424-33781316	A3GALT2;RP11-415J8.3	.	chr1:33846956-33850492	chr1:33846956-33850492
96	chr1:33771424-33781316	A3GALT2;RP11-415J8.3	AL138837.1	chr1:33905019-33907985	AL138837.1
97	chr1:33771424-33781316	A3GALT2;RP11-415J8.3	.	chr1:33908100-33912969	chr1:33908100-33912969
98	chr1:33771424-33781316	A3GALT2;RP11-415J8.3	.	chr1:33912970-33913805	chr1:33912970-33913805
