#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
SMAD3	FOS	1851536	1848822	9606.ENSP00000332973	9606.ENSP00000306245	0	0	0	0	0	0.812	0.900	0.962	0	0.999
MAPK8	ATF2	1853988	1845482	9606.ENSP00000353483	9606.ENSP00000264110	0	0	0	0	0	0.999	0.900	0.977	0	0.999
ABL1	BCR	1855665	1848539	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0	0.983	0.800	0.981	0	0.999
MAPK9	JUND	1859420	1844164	9606.ENSP00000389338	9606.ENSP00000252818	0	0	0	0	0	0.962	0.900	0.898	0	0.999
JUN	SMAD3	1855436	1851536	9606.ENSP00000360266	9606.ENSP00000332973	0	0	0	0	0	0.983	0.900	0.960	0	0.999
TP53	EP300	1846083	1845316	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.999	0.900	0.961	0	0.999
MAPK8	JUND	1853988	1844164	9606.ENSP00000353483	9606.ENSP00000252818	0	0	0	0	0	0.982	0.900	0.983	0	0.999
GRB2	CBL	1852164	1845465	9606.ENSP00000339007	9606.ENSP00000264033	0	0	0	0	0	0.999	0.900	0.901	0	0.999
MET	HGF	1849944	1842916	9606.ENSP00000317272	9606.ENSP00000222390	0	0	0	0	0	0.999	0.900	0.973	0	0.999
FOSL1	JUND	1849266	1844164	9606.ENSP00000310170	9606.ENSP00000252818	0	0	0	0	0	0.715	0.900	0.991	0	0.999
MAPK8	MAPK8IP1	1853988	1843584	9606.ENSP00000353483	9606.ENSP00000241014	0	0	0	0	0	0.996	0.900	0.983	0	0.999
ABL1	CRKL	1855665	1853038	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.647	0	0.999	0.800	0.986	0	0.999
JUN	FOSL1	1855436	1849266	9606.ENSP00000360266	9606.ENSP00000310170	0	0	0	0	0	0.989	0.900	0.988	0	0.999
ABL1	ATM	1855665	1846577	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.992	0.900	0.974	0	0.999
JUN	FOSL2	1855436	1845606	9606.ENSP00000360266	9606.ENSP00000264716	0	0	0	0	0	0.871	0.900	0.988	0	0.999
ABL1	GRB2	1855665	1852164	9606.ENSP00000361423	9606.ENSP00000339007	0	0	0	0.778	0.106	0.999	0.800	0.963	0	0.999
CRKL	CBL	1853038	1845465	9606.ENSP00000346300	9606.ENSP00000264033	0	0	0	0	0	0.999	0.900	0.768	0	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.168	0.999	0.900	0.998	0	0.999
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0	0.999	0.900	0.987	0	0.999
ATM	TP53	1846577	1846083	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0.974	0	0.999
ABL1	CBL	1855665	1845465	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0	0.999	0.800	0.623	0	0.999
ABI1	ABL1	1856444	1855665	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.999	0.900	0.913	0	0.999
MAPK8	MAP2K4	1853988	1845147	9606.ENSP00000353483	9606.ENSP00000262445	0	0	0.315	0.636	0	0.999	0.900	0.962	0	0.999
MAPK9	ATF2	1859420	1845482	9606.ENSP00000389338	9606.ENSP00000264110	0	0	0	0	0	0.995	0.900	0.971	0	0.999
SMAD3	EP300	1851536	1845316	9606.ENSP00000332973	9606.ENSP00000263253	0	0	0	0	0	0.998	0.900	0.879	0	0.999
MAP2K7	MAPK8	1858552	1853988	9606.ENSP00000381066	9606.ENSP00000353483	0	0	0.241	0.627	0	0.997	0.900	0.981	0	0.999
JUN	EP300	1855436	1845316	9606.ENSP00000360266	9606.ENSP00000263253	0	0	0	0	0	0.996	0.900	0.780	0	0.999
GRB2	MET	1852164	1849944	9606.ENSP00000339007	9606.ENSP00000317272	0	0	0	0	0	0.988	0.900	0.936	0	0.999
FOS	JUND	1848822	1844164	9606.ENSP00000306245	9606.ENSP00000252818	0	0	0	0	0.168	0.986	0.900	0.996	0	0.999
MAPK9	JUN	1859420	1855436	9606.ENSP00000389338	9606.ENSP00000360266	0	0	0	0	0	0.999	0.900	0.993	0	0.999
MET	CBL	1849944	1845465	9606.ENSP00000317272	9606.ENSP00000264033	0	0	0	0	0	0.999	0.900	0.561	0	0.999
JUN	ATF3	1855436	1852803	9606.ENSP00000360266	9606.ENSP00000344352	0	0	0	0	0.239	0.996	0.900	0.982	0	0.999
MAPK8	FOS	1853988	1848822	9606.ENSP00000353483	9606.ENSP00000306245	0	0	0	0	0	0.651	0.900	0.989	0	0.999
MAPK8	TP53	1853988	1846083	9606.ENSP00000353483	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0.942	0	0.999
ABL1	imatinib	1855665	-5291	9606.ENSP00000361423	-1.CID000005291	0	0	0	0	0	0.963	0.900	0.983	0	0.999
JUN	MAPK10	1855436	1853804	9606.ENSP00000360266	9606.ENSP00000352157	0	0	0	0	0	0.996	0.900	0.987	0	0.999
JUN	MAPK8	1855436	1853988	9606.ENSP00000360266	9606.ENSP00000353483	0	0	0	0	0	0.999	0.900	0.996	0	0.999
MAPK9	TP53	1859420	1846083	9606.ENSP00000389338	9606.ENSP00000269305	0	0	0	0	0	0.912	0.900	0.913	0	0.999
GRB2	BCR	1852164	1848539	9606.ENSP00000339007	9606.ENSP00000303507	0	0	0	0	0	0.999	0.900	0.701	0	0.999
MAPK10	JUND	1853804	1844164	9606.ENSP00000352157	9606.ENSP00000252818	0	0	0	0	0	0.915	0.900	0.879	0	0.998
MAPK9	MAPK8IP1	1859420	1843584	9606.ENSP00000389338	9606.ENSP00000241014	0	0	0	0	0	0.925	0	0.976	0	0.998
ATF3	TP53	1852803	1846083	9606.ENSP00000344352	9606.ENSP00000269305	0	0	0	0	0	0.818	0.900	0.909	0	0.998
CRKL	BCR	1853038	1848539	9606.ENSP00000346300	9606.ENSP00000303507	0	0	0	0	0	0.961	0.900	0.677	0	0.998
FOSL2	JUND	1845606	1844164	9606.ENSP00000264716	9606.ENSP00000252818	0	0	0	0	0	0.717	0.900	0.962	0	0.998
ATF3	SMAD3	1852803	1851536	9606.ENSP00000344352	9606.ENSP00000332973	0	0	0	0	0	0.812	0.900	0.948	0	0.998
JUN	TP53	1855436	1846083	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.972	0	0.997
MAPK9	FOS	1859420	1848822	9606.ENSP00000389338	9606.ENSP00000306245	0	0	0	0	0	0.651	0.900	0.923	0	0.997
MAPK8	JNK inhibitor .	1853988	-8515	9606.ENSP00000353483	-1.CID000008515	0	0	0	0	0	0.800	0.800	0.930	0	0.997
MAPK10	ATF2	1853804	1845482	9606.ENSP00000352157	9606.ENSP00000264110	0	0	0	0	0	0.851	0.900	0.835	0	0.997
ATF3	ATF2	1852803	1845482	9606.ENSP00000344352	9606.ENSP00000264110	0	0	0	0	0	0.758	0.900	0.909	0	0.997
MAP2K7	MAPK8IP1	1858552	1843584	9606.ENSP00000381066	9606.ENSP00000241014	0	0	0	0	0	0.966	0.900	0.414	0	0.997
MAPK9	MAP2K4	1859420	1845147	9606.ENSP00000389338	9606.ENSP00000262445	0	0	0.282	0.639	0	0.950	0.900	0.759	0	0.996
FOS	EP300	1848822	1845316	9606.ENSP00000306245	9606.ENSP00000263253	0	0	0	0	0	0.804	0.900	0.812	0	0.996
FOS	TP53	1848822	1846083	9606.ENSP00000306245	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.962	0	0.996
EP300	JUND	1845316	1844164	9606.ENSP00000263253	9606.ENSP00000252818	0	0	0	0	0	0.921	0.900	0.535	0	0.996
MMP9	JUN	1855661	1855436	9606.ENSP00000361405	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.964	0	0.996
ABL2	imatinib	1861715	-5291	9606.ENSP00000427562	-1.CID000005291	0	0	0	0	0	0.956	0.800	0.505	0	0.995
MAPK9	MAP2K7	1859420	1858552	9606.ENSP00000389338	9606.ENSP00000381066	0	0	0.225	0.626	0	0.922	0.900	0.895	0	0.995
MAPK10	MAP2K4	1853804	1845147	9606.ENSP00000352157	9606.ENSP00000262445	0	0	0.286	0.637	0	0.938	0.900	0.647	0	0.995
GRB2	HGF	1852164	1842916	9606.ENSP00000339007	9606.ENSP00000222390	0	0	0	0	0	0.626	0.900	0.892	0	0.995
MAPK10	FOS	1853804	1848822	9606.ENSP00000352157	9606.ENSP00000306245	0	0	0	0	0	0.651	0.900	0.871	0	0.995
BCR	CBL	1848539	1845465	9606.ENSP00000303507	9606.ENSP00000264033	0	0	0	0	0	0.935	0.800	0.581	0	0.994
SMAD3	ATF2	1851536	1845482	9606.ENSP00000332973	9606.ENSP00000264110	0	0	0	0	0	0.576	0.900	0.874	0	0.994
ABL1	JUN	1855665	1855436	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0	0.924	0	0.919	0	0.993
MAPK9	JNK inhibitor .	1859420	-8515	9606.ENSP00000389338	-1.CID000008515	0	0	0	0	0	0.639	0.800	0.908	0	0.993
